"rank","fragment_id","fragment_smiles","total_compounds","tp_count","tn_count","fp_count","fn_count","avg_attribution","min_attribution","inactivity_rate_percent","negative_appearances","total_appearances","negative_consistency_percent","min_attribution_ever","max_attribution_ever","example_tn_compounds","lowest_attribution_example","highest_attribution_example","active_negative_attribution_example","inactive_positive_attribution_example"
11,206522,CCCCNC1=CC=NC2=CC(Cl)=CC=C12,9,0,9,0,0,-0.1917,-0.2348,100.00,9,9,100.0,-0.235,-0.100,Compound: CHEMBL4089638 | SMILES: O=C1CCSC(C2=CC=C(F)C=C2)N1CCCCNC1=CC=NC2=CC(Cl)=CC=C12 | Attribution: -0.232 | Prediction: 0.117 | MW: 444.0 | LogP: 5.88 || Compound: CHEMBL4064248 | SMILES: O=C1CCSC(C2=CC=CC(F)=C2)N1CCCCNC1=CC=NC2=CC(Cl)=CC=C12 | Attribution: -0.217 | Prediction: 0.119 | MW: 444.0 | LogP: 5.88 || Compound: CHEMBL4092035 | SMILES: CC1=CC=C(C2SCCC(=O)N2CCCCNC2=CC=NC3=CC(Cl)=CC=C23)C=C1 | Attribution: -0.235 | Prediction: 0.092 | MW: 440.0 | LogP: 6.05,LOWEST ATTR (INACTIVE): CHEMBL4092035 | SMILES: CC1=CC=C(C2SCCC(=O)N2CCCCNC2=CC=NC3=CC(Cl)=CC=C23)C=C1 | Attribution: -0.235 | Prediction: 0.092 | MW: 440.0 | LogP: 6.05,HIGHEST ATTR (INACTIVE): CHEMBL4070176 | SMILES: COC1=CC=CC(C2SCCC(=O)N2CCCCNC2=CC=NC3=CC(Cl)=CC=C23)=C1 | Attribution: -0.100 | Prediction: 0.079 | MW: 456.0 | LogP: 5.75,,
12,204790,CCCNC1=CC=NC2=CC(Cl)=CC=C12,9,0,9,0,0,-0.1672,-0.2072,100.00,8,9,88.9,-0.207,-0.076,Compound: CHEMBL4084279 | SMILES: O=C1CCSC(C2=CC=CC(F)=C2)N1CCCNC1=CC=NC2=CC(Cl)=CC=C12 | Attribution: -0.189 | Prediction: 0.098 | MW: 429.9 | LogP: 5.49 || Compound: CHEMBL4084984 | SMILES: O=C1CCSC(C2=CC=C(Br)C=C2)N1CCCNC1=CC=NC2=CC(Cl)=CC=C12 | Attribution: -0.206 | Prediction: 0.090 | MW: 490.9 | LogP: 6.12 || Compound: CHEMBL4098961 | SMILES: CC1=CC=C(C2SCCC(=O)N2CCCNC2=CC=NC3=CC(Cl)=CC=C23)C=C1 | Attribution: -0.207 | Prediction: 0.080 | MW: 426.0 | LogP: 5.66,LOWEST ATTR (INACTIVE): CHEMBL4098961 | SMILES: CC1=CC=C(C2SCCC(=O)N2CCCNC2=CC=NC3=CC(Cl)=CC=C23)C=C1 | Attribution: -0.207 | Prediction: 0.080 | MW: 426.0 | LogP: 5.66,HIGHEST ATTR (INACTIVE): CHEMBL4066615 | SMILES: COC1=CC=CC(C2SCCC(=O)N2CCCNC2=CC=NC3=CC(Cl)=CC=C23)=C1 | Attribution: -0.076 | Prediction: 0.072 | MW: 442.0 | LogP: 5.36,,
13,207211,O=[N+]([O-])C-C-S,8,0,8,0,0,-0.3227,-0.3808,100.00,8,8,100.0,-0.381,-0.232,Compound: CHEMBL4587934 | SMILES: CC1=NC2=C(SC=C2[N+](=O)[O-])C(=O)N1CC1=CC=CC=C1 | Attribution: -0.381 | Prediction: 0.091 | MW: 301.3 | LogP: 2.72 || Compound: CHEMBL4515301 | SMILES: CC1=NC2=C(SC=C2[N+](=O)[O-])C(=O)N1 | Attribution: -0.381 | Prediction: 0.048 | MW: 211.2 | LogP: 1.20 || Compound: CHEMBL4559840 | SMILES: CC1=NC2=C(SC=C2[N+](=O)[O-])C(=O)N1CCCC1=CC=CC=C1 | Attribution: -0.381 | Prediction: 0.041 | MW: 329.4 | LogP: 3.31,LOWEST ATTR (INACTIVE): CHEMBL4559840 | SMILES: CC1=NC2=C(SC=C2[N+](=O)[O-])C(=O)N1CCCC1=CC=CC=C1 | Attribution: -0.381 | Prediction: 0.041 | MW: 329.4 | LogP: 3.31,HIGHEST ATTR (INACTIVE): CHEMBL4538370 | SMILES: O=C1NC(/C=C/C2=CC=C(Cl)C=C2)=NC2=C1SC=C2[N+](=O)[O-] | Attribution: -0.232 | Prediction: 0.372 | MW: 333.8 | LogP: 3.72,,
14,208643,C[C@@H](O)[C@H]1O[C@H](O[C@H]2[C@H](O)[C@@H](O)[C@H](N)C[C@@H]2N)[C@H](N)[C@@H](O)[C@@H]1O,8,0,8,0,0,-0.1910,-0.2142,100.00,8,8,100.0,-0.214,-0.157,Compound: CHEMBL5272873 | SMILES: C[C@@H](O)[C@H]1O[C@H](O[C@H]2[C@H](O[C@@H]3O[C@H](CNC[C@H](O)CO)[C@@H](O)[C@H]3O)[C@@H](O)[C@H](N)C[C@@H]2N)[C@H](N)[C@@H](O)[C@@H]1O | Attribution: -0.206 | Prediction: 0.123 | MW: 542.6 | LogP: -7.28 || Compound: CHEMBL5279472 | SMILES: C[C@H](NCCO)[C@H]1O[C@@H](O[C@@H]2[C@@H](O)[C@H](N)C[C@H](N)[C@H]2O[C@H]2O[C@H]([C@@H](C)O)[C@@H](O)[C@H](O)[C@H]2N)[C@H](O)[C@@H]1O | Attribution: -0.209 | Prediction: 0.167 | MW: 526.6 | LogP: -6.25 || Compound: CHEMBL5289990 | SMILES: C[C@@H](O)[C@H]1O[C@H](O[C@H]2[C@H](O[C@@H]3O[C@H]([C@H](C)N(CCO)CCO)[C@@H](O)[C@H]3O)[C@@H](O)[C@H](N)C[C@@H]2N)[C@H](N)[C@@H](O)[C@@H]1O | Attribution: -0.214 | Prediction: 0.122 | MW: 570.6 | LogP: -6.55,LOWEST ATTR (INACTIVE): CHEMBL5289990 | SMILES: C[C@@H](O)[C@H]1O[C@H](O[C@H]2[C@H](O[C@@H]3O[C@H]([C@H](C)N(CCO)CCO)[C@@H](O)[C@H]3O)[C@@H](O)[C@H](N)C[C@@H]2N)[C@H](N)[C@@H](O)[C@@H]1O | Attribution: -0.214 | Prediction: 0.122 | MW: 570.6 | LogP: -6.55,HIGHEST ATTR (INACTIVE): CHEMBL2220350 | SMILES: C[C@H](N)[C@H]1O[C@@H](O[C@@H]2[C@@H](O)[C@H](N)C[C@H](N)[C@H]2O[C@H]2O[C@H]([C@@H](C)O)[C@@H](O)[C@H](O)[C@H]2N)[C@H](O)[C@@H]1O | Attribution: -0.157 | Prediction: 0.102 | MW: 482.5 | LogP: -5.88,,
15,207111,CCNC1=CC=NC2=CC(Cl)=CC=C12,8,0,8,0,0,-0.1406,-0.1715,100.00,7,8,87.5,-0.172,-0.059,Compound: CHEMBL4096927 | SMILES: O=C1CCSC(C2=CC=C(Br)C=C2)N1CCNC1=CC=NC2=CC(Cl)=CC=C12 | Attribution: -0.172 | Prediction: 0.088 | MW: 476.8 | LogP: 5.73 || Compound: CHEMBL4067015 | SMILES: CC1=CC=C(C2SCCC(=O)N2CCNC2=CC=NC3=CC(Cl)=CC=C23)C=C1 | Attribution: -0.171 | Prediction: 0.079 | MW: 412.0 | LogP: 5.27 || Compound: CHEMBL4068035 | SMILES: O=C1CCSC(C2=CC=C(O)C=C2)N1CCNC1=CC=NC2=CC(Cl)=CC=C12 | Attribution: -0.165 | Prediction: 0.080 | MW: 413.9 | LogP: 4.67,LOWEST ATTR (INACTIVE): CHEMBL4096927 | SMILES: O=C1CCSC(C2=CC=C(Br)C=C2)N1CCNC1=CC=NC2=CC(Cl)=CC=C12 | Attribution: -0.172 | Prediction: 0.088 | MW: 476.8 | LogP: 5.73,HIGHEST ATTR (INACTIVE): CHEMBL4090924 | SMILES: COC1=CC=CC(C2SCCC(=O)N2CCNC2=CC=NC3=CC(Cl)=CC=C23)=C1 | Attribution: -0.059 | Prediction: 0.068 | MW: 428.0 | LogP: 4.97,,
16,207110,O=C1CCSCN1CCNC1=CC=NC2=CC(Cl)=CC=C12,8,0,8,0,0,-0.1058,-0.1815,100.00,3,8,37.5,-0.181,-0.061,Compound: CHEMBL219444 | SMILES: O=C1CCSC(C2=CC=C(Cl)C=C2)N1CCNC1=CC=NC2=CC(Cl)=CC=C12 | Attribution: -0.163 | Prediction: 0.086 | MW: 432.4 | LogP: 5.62 || Compound: CHEMBL4073218 | SMILES: O=C1CCSC(C2=CC=CC(Cl)=C2)N1CCNC1=CC=NC2=CC(Cl)=CC=C12 | Attribution: -0.181 | Prediction: 0.079 | MW: 432.4 | LogP: 5.62 || Compound: CHEMBL4096927 | SMILES: O=C1CCSC(C2=CC=C(Br)C=C2)N1CCNC1=CC=NC2=CC(Cl)=CC=C12 | Attribution: -0.148 | Prediction: 0.088 | MW: 476.8 | LogP: 5.73,LOWEST ATTR (INACTIVE): CHEMBL4073218 | SMILES: O=C1CCSC(C2=CC=CC(Cl)=C2)N1CCNC1=CC=NC2=CC(Cl)=CC=C12 | Attribution: -0.181 | Prediction: 0.079 | MW: 432.4 | LogP: 5.62,HIGHEST ATTR (INACTIVE): CHEMBL4090924 | SMILES: COC1=CC=CC(C2SCCC(=O)N2CCNC2=CC=NC3=CC(Cl)=CC=C23)=C1 | Attribution: -0.061 | Prediction: 0.068 | MW: 428.0 | LogP: 4.97,,
17,209719,CC[C@H](C)[C@H](NC=O)C(=O)O,7,0,7,0,0,-0.3808,-0.3808,100.00,7,7,100.0,-0.381,-0.381,Compound: CHEMBL265962 | SMILES: CCCCCCCCCCCCCCCCCC(=O)NCC1=CC=C(C(=O)N[C@H](C(=O)O)[C@@H](C)CC)C=C1 | Attribution: -0.381 | Prediction: 0.038 | MW: 530.8 | LogP: 7.79 || Compound: CHEMBL1171457 | SMILES: CCCCCCCCCCCCCCCCC(=O)NCC1=CC=C(C(=O)N[C@H](C(=O)O)[C@@H](C)CC)C=C1 | Attribution: -0.381 | Prediction: 0.038 | MW: 516.8 | LogP: 7.40 || Compound: CHEMBL411428 | SMILES: CCCCCCCCCCCCCCCC(=O)NCC1=CC=C(C(=O)N[C@H](C(=O)O)[C@@H](C)CC)C=C1 | Attribution: -0.381 | Prediction: 0.037 | MW: 502.7 | LogP: 7.01,LOWEST ATTR (INACTIVE): CHEMBL265962 | SMILES: CCCCCCCCCCCCCCCCCC(=O)NCC1=CC=C(C(=O)N[C@H](C(=O)O)[C@@H](C)CC)C=C1 | Attribution: -0.381 | Prediction: 0.038 | MW: 530.8 | LogP: 7.79,HIGHEST ATTR (INACTIVE): CHEMBL411902 | SMILES: CCCCCCCCCCCCCC(=O)NCCC1=CC=C(C(=O)N[C@H](C(=O)O)[C@@H](C)CC)C=C1 | Attribution: -0.381 | Prediction: 0.041 | MW: 488.7 | LogP: 6.28,,
18,209597,C=N/N1C(S)=NN=C1CCNC1=NC2=CC=CC=C2S1,7,0,7,0,0,-0.3772,-0.3808,100.00,7,7,100.0,-0.381,-0.356,Compound: CHEMBL1171168 | SMILES: CN(C)C1=CC=C(/C=N/N2C(S)=NN=C2CCNC2=NC3=CC=CC=C3S2)C=C1 | Attribution: -0.381 | Prediction: 0.319 | MW: 423.6 | LogP: 3.78 || Compound: CHEMBL1172684 | SMILES: SC1=NN=C(CCNC2=NC3=CC=CC=C3S2)N1/N=C/C1=CC=CC=C1 | Attribution: -0.381 | Prediction: 0.312 | MW: 380.5 | LogP: 3.71 || Compound: CHEMBL1170141 | SMILES: SC1=NN=C(CCNC2=NC3=CC=CC=C3S2)N1/N=C/C1=CC=CC=C1Cl | Attribution: -0.381 | Prediction: 0.311 | MW: 414.9 | LogP: 4.37,LOWEST ATTR (INACTIVE): CHEMBL1170141 | SMILES: SC1=NN=C(CCNC2=NC3=CC=CC=C3S2)N1/N=C/C1=CC=CC=C1Cl | Attribution: -0.381 | Prediction: 0.311 | MW: 414.9 | LogP: 4.37,HIGHEST ATTR (INACTIVE): CHEMBL1169948 | SMILES: O=[N+]([O-])C1=CC=CC(/C=N/N2C(S)=NN=C2CCNC2=NC3=CC=CC=C3S2)=C1 | Attribution: -0.356 | Prediction: 0.380 | MW: 425.5 | LogP: 3.62,,
19,207996,C=C/C1=C(C)CCCC1(C)C,7,0,7,0,0,-0.3060,-0.3808,100.00,6,7,85.7,-0.381,0.045,Compound: CHEMBL450594 | SMILES: CC1=C(/C=C/C2=CC=C(C=O)C(C)C2)C(C)(C)CCC1 | Attribution: -0.381 | Prediction: 0.024 | MW: 270.4 | LogP: 5.16 || Compound: CHEMBL497498 | SMILES: CC1=C(/C=C/C2=CC=C(C=O)C(C3=CC=C(N(C)C)C=C3)C2)C(C)(C)CCC1 | Attribution: -0.379 | Prediction: 0.019 | MW: 375.6 | LogP: 6.37 || Compound: CHEMBL525359 | SMILES: CC1=C(/C=C/C2=CC=C(C=O)C(C3=CC=C([N+](=O)[O-])C=C3)C2)C(C)(C)CCC1 | Attribution: -0.380 | Prediction: 0.011 | MW: 377.5 | LogP: 6.22,LOWEST ATTR (INACTIVE): CHEMBL450594 | SMILES: CC1=C(/C=C/C2=CC=C(C=O)C(C)C2)C(C)(C)CCC1 | Attribution: -0.381 | Prediction: 0.024 | MW: 270.4 | LogP: 5.16,HIGHEST ATTR (INACTIVE): CHEMBL438349 | SMILES: CC1=C(/C=C/C2=CC(N)=C(C#N)C(C)(/C=C/C3=C(C)CCCC3(C)C)C2)C(C)(C)CCC1 | Attribution: 0.045 | Prediction: 0.190 | MW: 430.7 | LogP: 8.22,,INACTIVE w/ POS ATTR: CHEMBL438349 | SMILES: CC1=C(/C=C/C2=CC(N)=C(C#N)C(C)(/C=C/C3=C(C)CCCC3(C)C)C2)C(C)(C)CCC1 | Attribution: 0.045 | Prediction: 0.190 | MW: 430.7
20,205529,N-C-C(/C=C/C(=O)O)-CC1CC1,7,0,7,0,0,-0.2436,-0.3305,100.00,7,7,100.0,-0.331,-0.159,Compound: CHEMBL5077512 | SMILES: C[C@H](OC1=CC(CO)=C2N=CC(/C=C/C(=O)O)=C(C3CC3)C2=C1)C1=C(Cl)C=CC(F)=C1Cl | Attribution: -0.331 | Prediction: 0.224 | MW: 476.3 | LogP: 6.29 || Compound: CHEMBL5082873 | SMILES: CC(C)OC1=CC=C2N=CC(/C=C/C(=O)O)=C(C3CC3)C2=C1 | Attribution: -0.317 | Prediction: 0.147 | MW: 297.4 | LogP: 4.00 || Compound: CHEMBL5085967 | SMILES: C[C@H](OC1=CC=C2N=CC(/C=C/C(=O)O)=C(C3CC3)C2=C1)C1=C(Cl)C=CN=C1Cl | Attribution: -0.260 | Prediction: 0.176 | MW: 429.3 | LogP: 6.05,LOWEST ATTR (INACTIVE): CHEMBL5077512 | SMILES: C[C@H](OC1=CC(CO)=C2N=CC(/C=C/C(=O)O)=C(C3CC3)C2=C1)C1=C(Cl)C=CC(F)=C1Cl | Attribution: -0.331 | Prediction: 0.224 | MW: 476.3 | LogP: 6.29,HIGHEST ATTR (INACTIVE): CHEMBL5091255 | SMILES: CC1=C([C@H](C)OC2=CC=C3N=CC(/C=C/C(=O)O)=C(C4CC4)C3=C2)N(C)N=C1 | Attribution: -0.159 | Prediction: 0.104 | MW: 377.4 | LogP: 4.39,,
21,207350,CC1=CC=C(C(=O)NCCC=O)C=C1,6,0,6,0,0,-0.3322,-0.3467,100.00,6,6,100.0,-0.347,-0.324,Compound: CHEMBL5413516 | SMILES: C=C1C(C2=CC=C(F)C=C2)=C(CNC(=O)C2=CC=C(C)C=C2)C(=O)N1C1=CC=CC=C1Cl | Attribution: -0.345 | Prediction: 0.009 | MW: 446.9 | LogP: 5.53 || Compound: CHEMBL5399771 | SMILES: C=C1C(C2=CC=C(F)C=C2)=C(CNC(=O)C2=CC=C(C)C=C2)C(=O)N1C1=CC=CC(Cl)=C1 | Attribution: -0.347 | Prediction: 0.007 | MW: 446.9 | LogP: 5.53 || Compound: CHEMBL5394111 | SMILES: C=C1C(C2=CC=C(F)C=C2)=C(CNC(=O)C2=CC=C(C)C=C2)C(=O)N1C1=CC=CC=C1C | Attribution: -0.327 | Prediction: 0.006 | MW: 426.5 | LogP: 5.19,LOWEST ATTR (INACTIVE): CHEMBL5399771 | SMILES: C=C1C(C2=CC=C(F)C=C2)=C(CNC(=O)C2=CC=C(C)C=C2)C(=O)N1C1=CC=CC(Cl)=C1 | Attribution: -0.347 | Prediction: 0.007 | MW: 446.9 | LogP: 5.53,HIGHEST ATTR (INACTIVE): CHEMBL5428769 | SMILES: C=C1C(C2=CC=C(F)C=C2)=C(CNC(=O)C2=CC=C(C)C=C2)C(=O)N1C1CCCC1 | Attribution: -0.324 | Prediction: 0.010 | MW: 404.5 | LogP: 4.62,,
22,213987,CCCCCCCCCCCCCC(=O)NC,6,0,6,0,0,-0.3218,-0.3808,100.00,5,6,83.3,-0.381,-0.027,Compound: CHEMBL260879 | SMILES: CCCCCCCCCCCCCC(=O)NCC1=CC=C(C(=O)N[C@@H](CCC(N)=O)C(=O)O)C=C1 | Attribution: -0.381 | Prediction: 0.028 | MW: 489.7 | LogP: 4.45 || Compound: CHEMBL264407 | SMILES: CCCCCCCCCCCCCC(=O)NCC1=CC=CC(C(=O)N[C@H](C(=O)O)[C@@H](C)CC)=C1 | Attribution: -0.381 | Prediction: 0.035 | MW: 474.7 | LogP: 6.23 || Compound: CHEMBL410457 | SMILES: CCCCCCCCCCCCCC(=O)NCC1=CC=C(C(=O)N[C@@H](CC(N)=O)C(=O)O)C=C1 | Attribution: -0.381 | Prediction: 0.032 | MW: 475.6 | LogP: 4.06,LOWEST ATTR (INACTIVE): CHEMBL410457 | SMILES: CCCCCCCCCCCCCC(=O)NCC1=CC=C(C(=O)N[C@@H](CC(N)=O)C(=O)O)C=C1 | Attribution: -0.381 | Prediction: 0.032 | MW: 475.6 | LogP: 4.06,HIGHEST ATTR (INACTIVE): CHEMBL409893 | SMILES: CCCCCCCCCCCCCC(=O)NCC1=CC=C(C(=O)N[C@@H](CC2=CC=CC=C2)C(=O)O)C=C1 | Attribution: -0.027 | Prediction: 0.026 | MW: 508.7 | LogP: 6.43,,
23,212548,C[C@H](N)[C@H]1O[C@@H](O)[C@H](O)[C@@H]1O,6,0,6,0,0,-0.1488,-0.2193,100.00,4,6,66.7,-0.219,-0.026,Compound: CHEMBL3809763 | SMILES: C[C@H](N)[C@H]1O[C@@H](O[C@H]2[C@H](O)[C@@H](N)C[C@@H](N)[C@@H]2O[C@H]2O[C@H]([C@H](O)CO)[C@@H](O)[C@H](O)[C@H]2N)[C@H](O)[C@@H]1O | Attribution: -0.219 | Prediction: 0.095 | MW: 498.5 | LogP: -6.90 || Compound: CHEMBL2220350 | SMILES: C[C@H](N)[C@H]1O[C@@H](O[C@@H]2[C@@H](O)[C@H](N)C[C@H](N)[C@H]2O[C@H]2O[C@H]([C@@H](C)O)[C@@H](O)[C@H](O)[C@H]2N)[C@H](O)[C@@H]1O | Attribution: -0.195 | Prediction: 0.102 | MW: 482.5 | LogP: -5.88 || Compound: CHEMBL2206190 | SMILES: C[C@H](N)[C@H]1O[C@@H](O[C@@H]2[C@@H](O)[C@H](N)C[C@H](N)[C@H]2O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2N)[C@H](O)[C@@H]1O | Attribution: -0.219 | Prediction: 0.097 | MW: 468.5 | LogP: -6.26,LOWEST ATTR (INACTIVE): CHEMBL2206190 | SMILES: C[C@H](N)[C@H]1O[C@@H](O[C@@H]2[C@@H](O)[C@H](N)C[C@H](N)[C@H]2O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2N)[C@H](O)[C@@H]1O | Attribution: -0.219 | Prediction: 0.097 | MW: 468.5 | LogP: -6.26,HIGHEST ATTR (INACTIVE): CHEMBL2206184 | SMILES: C[C@H](N)[C@H]1O[C@@H](O[C@@H]2[C@@H](O)[C@H](NC(=O)[C@@H](O)CCN)C[C@H](N)[C@H]2O[C@H]2O[C@H]([C@@H](C)O)[C@@H](O)[C@H](O)[C@H]2N)[C@H](O)[C@@H]1O | Attribution: -0.026 | Prediction: 0.317 | MW: 583.6 | LogP: -7.01,,
24,207351,C=CCC1=CC=C(F)C=C1,6,0,6,0,0,-0.1455,-0.1840,100.00,6,6,100.0,-0.184,-0.116,Compound: CHEMBL5394111 | SMILES: C=C1C(C2=CC=C(F)C=C2)=C(CNC(=O)C2=CC=C(C)C=C2)C(=O)N1C1=CC=CC=C1C | Attribution: -0.140 | Prediction: 0.006 | MW: 426.5 | LogP: 5.19 || Compound: CHEMBL5399771 | SMILES: C=C1C(C2=CC=C(F)C=C2)=C(CNC(=O)C2=CC=C(C)C=C2)C(=O)N1C1=CC=CC(Cl)=C1 | Attribution: -0.184 | Prediction: 0.007 | MW: 446.9 | LogP: 5.53 || Compound: CHEMBL5413516 | SMILES: C=C1C(C2=CC=C(F)C=C2)=C(CNC(=O)C2=CC=C(C)C=C2)C(=O)N1C1=CC=CC=C1Cl | Attribution: -0.172 | Prediction: 0.009 | MW: 446.9 | LogP: 5.53,LOWEST ATTR (INACTIVE): CHEMBL5399771 | SMILES: C=C1C(C2=CC=C(F)C=C2)=C(CNC(=O)C2=CC=C(C)C=C2)C(=O)N1C1=CC=CC(Cl)=C1 | Attribution: -0.184 | Prediction: 0.007 | MW: 446.9 | LogP: 5.53,HIGHEST ATTR (INACTIVE): CHEMBL5428769 | SMILES: C=C1C(C2=CC=C(F)C=C2)=C(CNC(=O)C2=CC=C(C)C=C2)C(=O)N1C1CCCC1 | Attribution: -0.116 | Prediction: 0.010 | MW: 404.5 | LogP: 4.62,,
25,205511,C=N/NC(=O)C1=CN(C2CC2)C2=CC(N3CCNCC3)=C(F)C=C2C1=O,6,0,6,0,0,-0.1245,-0.1578,100.00,5,6,83.3,-0.158,-0.093,Compound: CHEMBL4585836 | SMILES: O=C(N/N=C/C1=CC=C(F)C=C1)C1=CN(C2CC2)C2=CC(N3CCNCC3)=C(F)C=C2C1=O | Attribution: -0.135 | Prediction: 0.197 | MW: 451.5 | LogP: 2.79 || Compound: CHEMBL4519576 | SMILES: O=C(N/N=C/C1=CC=CC=C1)C1=CN(C2CC2)C2=CC(N3CCNCC3)=C(F)C=C2C1=O | Attribution: -0.158 | Prediction: 0.178 | MW: 433.5 | LogP: 2.65 || Compound: CHEMBL5274532 | SMILES: O=C(N/N=C/C1=CC=C([N+](=O)[O-])C=C1)C1=CN(C2CC2)C2=CC(N3CCNCC3)=C(F)C=C2C1=O | Attribution: -0.134 | Prediction: 0.208 | MW: 478.5 | LogP: 2.56,LOWEST ATTR (INACTIVE): CHEMBL4519576 | SMILES: O=C(N/N=C/C1=CC=CC=C1)C1=CN(C2CC2)C2=CC(N3CCNCC3)=C(F)C=C2C1=O | Attribution: -0.158 | Prediction: 0.178 | MW: 433.5 | LogP: 2.65,HIGHEST ATTR (INACTIVE): CHEMBL4475843 | SMILES: COC1=CC=C(/C=N/NC(=O)C2=CN(C3CC3)C3=CC(N4CCNCC4)=C(F)C=C3C2=O)C=C1O | Attribution: -0.093 | Prediction: 0.186 | MW: 479.5 | LogP: 2.36,,
26,206755,CN(O)C(=O)CSCP(=O)(O)O,5,0,5,0,0,-0.3559,-0.3808,100.00,5,5,100.0,-0.381,-0.256,Compound: CHEMBL4590343 | SMILES: CN(O)C(=O)CSC(C1=CC(F)=CC(F)=C1)P(=O)(O)O | Attribution: -0.381 | Prediction: 0.016 | MW: 327.2 | LogP: 1.72 || Compound: CHEMBL2431008 | SMILES: CN(O)C(=O)CSC(C1=CC=C(Cl)C(Cl)=C1)P(=O)(O)O | Attribution: -0.381 | Prediction: 0.020 | MW: 360.2 | LogP: 2.75 || Compound: CHEMBL2431010 | SMILES: CC1=CC=C(C(SCC(=O)N(C)O)P(=O)(O)O)C=C1 | Attribution: -0.381 | Prediction: 0.020 | MW: 305.3 | LogP: 1.75,LOWEST ATTR (INACTIVE): CHEMBL2431008 | SMILES: CN(O)C(=O)CSC(C1=CC=C(Cl)C(Cl)=C1)P(=O)(O)O | Attribution: -0.381 | Prediction: 0.020 | MW: 360.2 | LogP: 2.75,HIGHEST ATTR (INACTIVE): CHEMBL2431009 | SMILES: CN(O)C(=O)CSC(C1=CC=CC2=CC=CC=C12)P(=O)(O)O | Attribution: -0.256 | Prediction: 0.018 | MW: 341.3 | LogP: 2.60,,
27,204541,NC[C@H]1O[C@@H](O[C@@H]2[C@@H](O)[C@H](N)C[C@H](N)[C@H]2O)[C@H](O)[C@@H]1O,5,0,5,0,0,-0.2642,-0.2977,100.00,5,5,100.0,-0.298,-0.240,Compound: CHEMBL1164465 | SMILES: C[C@H](O)[C@H]1O[C@H](O[C@H]2[C@H](O[C@@H]3O[C@H](CN)[C@@H](O)[C@H]3O)[C@@H](O)[C@H](N)C[C@@H]2N)[C@H](N)[C@@H](O)[C@@H]1O | Attribution: -0.262 | Prediction: 0.112 | MW: 468.5 | LogP: -6.26 || Compound: CHEMBL373500 | SMILES: NC[C@H]1O[C@@H](O[C@@H]2[C@@H](O)[C@H](N)C[C@H](N)[C@H]2O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2N)[C@H](O)[C@@H]1O | Attribution: -0.298 | Prediction: 0.100 | MW: 454.5 | LogP: -6.65 || Compound: CHEMBL3808693 | SMILES: NC[C@H]1O[C@@H](O[C@H]2[C@H](O)[C@@H](N)C[C@@H](N)[C@@H]2O[C@H]2O[C@H]([C@H](O)CO)[C@@H](O)[C@H](O)[C@H]2N)[C@H](O)[C@@H]1O | Attribution: -0.262 | Prediction: 0.095 | MW: 484.5 | LogP: -7.29,LOWEST ATTR (INACTIVE): CHEMBL373500 | SMILES: NC[C@H]1O[C@@H](O[C@@H]2[C@@H](O)[C@H](N)C[C@H](N)[C@H]2O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2N)[C@H](O)[C@@H]1O | Attribution: -0.298 | Prediction: 0.100 | MW: 454.5 | LogP: -6.65,HIGHEST ATTR (INACTIVE): CHEMBL3808721 | SMILES: C[C@@H](O)[C@H]1O[C@H](O[C@@H]2[C@@H](O[C@@H]3O[C@H](CN)[C@@H](O)[C@H]3O)[C@H](O)[C@@H](N)C[C@H]2N)[C@H](N)[C@@H](O)[C@@H]1O | Attribution: -0.240 | Prediction: 0.093 | MW: 468.5 | LogP: -6.26,,
28,211180,C=N/NC(=O)C1=C(O)C2=CC=CC=C2S(=O)(=O)N1C,5,0,5,0,0,-0.1524,-0.1865,100.00,5,5,100.0,-0.186,-0.123,Compound: CHEMBL2262381 | SMILES: COC1=CC=C2C=C(/C=N/NC(=O)C3=C(O)C4=CC=CC=C4S(=O)(=O)N3C)C(Cl)=NC2=C1 | Attribution: -0.175 | Prediction: 0.049 | MW: 472.9 | LogP: 2.91 || Compound: CHEMBL2262380 | SMILES: COC1=CC=C2N=C(Cl)C(/C=N/NC(=O)C3=C(O)C4=CC=CC=C4S(=O)(=O)N3C)=CC2=C1 | Attribution: -0.186 | Prediction: 0.048 | MW: 472.9 | LogP: 2.91 || Compound: CHEMBL2262377 | SMILES: CC1=CC=C2N=C(Cl)C(/C=N/NC(=O)C3=C(O)C4=CC=CC=C4S(=O)(=O)N3C)=CC2=C1 | Attribution: -0.146 | Prediction: 0.038 | MW: 456.9 | LogP: 3.21,LOWEST ATTR (INACTIVE): CHEMBL2262380 | SMILES: COC1=CC=C2N=C(Cl)C(/C=N/NC(=O)C3=C(O)C4=CC=CC=C4S(=O)(=O)N3C)=CC2=C1 | Attribution: -0.186 | Prediction: 0.048 | MW: 472.9 | LogP: 2.91,HIGHEST ATTR (INACTIVE): CHEMBL2262379 | SMILES: CC1=CC=CC2=CC(/C=N/NC(=O)C3=C(O)C4=CC=CC=C4S(=O)(=O)N3C)=C(Cl)N=C12 | Attribution: -0.123 | Prediction: 0.052 | MW: 456.9 | LogP: 3.21,,
