"rank","fragment_id","fragment_smiles","total_compounds","tp_count","tn_count","fp_count","fn_count","avg_attribution","min_attribution","inactivity_rate_percent","negative_appearances","total_appearances","negative_consistency_percent","min_attribution_ever","max_attribution_ever","lowest_attribution_example","highest_attribution_example","active_negative_attribution_example","inactive_positive_attribution_example"
12,20974,C1CCCC[C@]23NC=C[C@]12CCN3,23,0,23,0,0,-0.4823,-0.7503,100.00,22,23,95.7,-0.750,-0.092,LOWEST ATTR (INACTIVE): CHEMBL3970004 | SMILES: C=C1CCCC[C@@]23N(C(=O)OCC)CC[C@@]12C1=CC(F)=C(OC)C=C1N3C | Attribution: -0.750 | Prediction: 0.005 | MW: 374.5 | LogP: 4.21,HIGHEST ATTR (INACTIVE): CHEMBL3890862 | SMILES: C=C1CCCC[C@@]23N(C(=N)N)CC[C@@]12C1=C(C)C=C(C)C=C1N3C | Attribution: -0.092 | Prediction: 0.048 | MW: 324.5 | LogP: 3.42,,
13,20971,C1CCCCC2NC=CC12,23,0,23,0,0,-0.4193,-0.7108,100.00,22,23,95.7,-0.711,-0.047,LOWEST ATTR (INACTIVE): CHEMBL3970004 | SMILES: C=C1CCCC[C@@]23N(C(=O)OCC)CC[C@@]12C1=CC(F)=C(OC)C=C1N3C | Attribution: -0.711 | Prediction: 0.005 | MW: 374.5 | LogP: 4.21,HIGHEST ATTR (INACTIVE): CHEMBL3890862 | SMILES: C=C1CCCC[C@@]23N(C(=N)N)CC[C@@]12C1=C(C)C=C(C)C=C1N3C | Attribution: -0.047 | Prediction: 0.048 | MW: 324.5 | LogP: 3.42,,
14,7430,C1NC[C@@H]2ON[C@H](C3=CC=CC=C3)[C@H]12,20,0,20,0,0,-0.4822,-0.6661,100.00,19,20,95.0,-0.666,-0.074,LOWEST ATTR (INACTIVE): CHEMBL390829 | SMILES: CN1C(=O)[C@H]2[C@@H](C3=CC=C([N+](=O)[O-])C=C3)N(C)O[C@H]2C1=O | Attribution: -0.666 | Prediction: 0.030 | MW: 291.3 | LogP: 0.50,HIGHEST ATTR (INACTIVE): CHEMBL387702 | SMILES: CCN(CC)C1=CC=C([C@@H]2[C@@H]3C(=O)N(C4=CC=CC=C4)C(=O)[C@@H]3ON2C)C=C1 | Attribution: -0.074 | Prediction: 0.021 | MW: 379.5 | LogP: 3.01,,
15,19984,C(OCC1=CC=CC=C1)C1CCC[C@H](CCC2CCCCC2)C1,20,0,20,0,0,-0.4687,-0.7241,100.00,20,20,100.0,-0.724,-0.245,LOWEST ATTR (INACTIVE): CHEMBL4592606 | SMILES: CC1(C)C(=O)C=C[C@]2(C)[C@H]3CC=C4[C@@H]5C[C@@](C)(C(=O)OCC6=CC=CC=C6)CC[C@]5(C)CC[C@@]4(C)[C@]3(C)CC[C@@H]12 | Attribution: -0.724 | Prediction: 0.012 | MW: 542.8 | LogP: 8.88,HIGHEST ATTR (INACTIVE): CHEMBL4550296 | SMILES: CC1(C)[C@@H](O)[C@@H](O)[C@H](O)[C@]2(C)[C@H]3CC=C4[C@@H]5C[C@@](C)(C(=O)OCC6=CC=C(Cl)C=C6)CC[C@]5(C)CC[C@@]4(C)[C@]3(C)CC[C@@H]12 | Attribution: -0.245 | Prediction: 0.179 | MW: 613.3 | LogP: 7.49,,
16,19985,C(CC[C@H]1CC(CCC1)C1CCCCC1)OCC1=CC=CC=C1,20,0,20,0,0,-0.4684,-0.7253,100.00,20,20,100.0,-0.725,-0.248,LOWEST ATTR (INACTIVE): CHEMBL4592606 | SMILES: CC1(C)C(=O)C=C[C@]2(C)[C@H]3CC=C4[C@@H]5C[C@@](C)(C(=O)OCC6=CC=CC=C6)CC[C@]5(C)CC[C@@]4(C)[C@]3(C)CC[C@@H]12 | Attribution: -0.725 | Prediction: 0.012 | MW: 542.8 | LogP: 8.88,HIGHEST ATTR (INACTIVE): CHEMBL4550296 | SMILES: CC1(C)[C@@H](O)[C@@H](O)[C@H](O)[C@]2(C)[C@H]3CC=C4[C@@H]5C[C@@](C)(C(=O)OCC6=CC=C(Cl)C=C6)CC[C@]5(C)CC[C@@]4(C)[C@]3(C)CC[C@@H]12 | Attribution: -0.248 | Prediction: 0.179 | MW: 613.3 | LogP: 7.49,,
17,19982,C(OCC1=CC=CC=C1)C1CCC2CCC(C[C@@H]2C1)C1CCCCC1,20,0,20,0,0,-0.4613,-0.7087,100.00,20,20,100.0,-0.709,-0.178,LOWEST ATTR (INACTIVE): CHEMBL4592606 | SMILES: CC1(C)C(=O)C=C[C@]2(C)[C@H]3CC=C4[C@@H]5C[C@@](C)(C(=O)OCC6=CC=CC=C6)CC[C@]5(C)CC[C@@]4(C)[C@]3(C)CC[C@@H]12 | Attribution: -0.709 | Prediction: 0.012 | MW: 542.8 | LogP: 8.88,HIGHEST ATTR (INACTIVE): CHEMBL4541317 | SMILES: CC1(C)[C@H](O)[C@@H]2O[C@@H]2[C@]2(C)[C@H]3CC=C4[C@@H]5C[C@@](C)(C(=O)OCC6=CC=CC=C6)CC[C@]5(C)CC[C@@]4(C)[C@]3(C)CC[C@@H]12 | Attribution: -0.178 | Prediction: 0.101 | MW: 560.8 | LogP: 7.88,,
18,39378,C(#CC1=CC=C(C2=NC3=CC=CC=C3N2)C=C1)C1=CC=CC=C1,21,1,20,0,0,-0.4277,-0.7353,95.24,20,21,95.2,-0.735,0.387,LOWEST ATTR (INACTIVE): CHEMBL470112 | SMILES: CC1=CC=C(S(=O)(=O)N2C(C3=CC=C(C#CC4=CC=CC=C4)C=C3)=NC3=CC=CC=C32)C=C1 | Attribution: -0.735 | Prediction: 0.026 | MW: 448.5 | LogP: 5.65,HIGHEST ATTR (ACTIVE): CHEMBL445181 | SMILES: CC(C)NC(=N)C1=CC=C2NC(C3=CC=C(C#CC4=CC=C(C5=NC6=CC(C(=N)NC(C)C)=CC=C6N5)C=C4)C=C3)=NC2=C1 | Attribution: 0.387 | Prediction: 0.987 | MW: 578.7 | LogP: 6.82,,
19,39377,C(#CC1=CC=C(C2=NC=CN2)C=C1)C1=CC=CC=C1,20,0,20,0,0,-0.4166,-0.7235,100.00,18,20,90.0,-0.723,0.011,LOWEST ATTR (INACTIVE): CHEMBL470112 | SMILES: CC1=CC=C(S(=O)(=O)N2C(C3=CC=C(C#CC4=CC=CC=C4)C=C3)=NC3=CC=CC=C32)C=C1 | Attribution: -0.723 | Prediction: 0.026 | MW: 448.5 | LogP: 5.65,HIGHEST ATTR (INACTIVE): CHEMBL460935 | SMILES: C(#CC1=CC=C(C2=NC3=CC=CC=C3N2)C=C1)C1=CC=CC=C1 | Attribution: 0.011 | Prediction: 0.077 | MW: 294.4 | LogP: 4.63,,INACTIVE w/ POS ATTR: CHEMBL460935 | SMILES: C(#CC1=CC=C(C2=NC3=CC=CC=C3N2)C=C1)C1=CC=CC=C1 | Attribution: 0.011 | Prediction: 0.077 | MW: 294.4
20,19976,C(OCC1=CC=CC=C1)C1CCC2CCC3C(=CC[C@@H]4CCCCC43)[C@@H]2C1,20,0,20,0,0,-0.3422,-0.6812,100.00,15,20,75.0,-0.681,0.051,LOWEST ATTR (INACTIVE): CHEMBL4588483 | SMILES: CC1(C)[C@@H](O)[C@@H](O)[C@H](O)[C@]2(C)[C@H]3C(=O)C=C4[C@@H]5C[C@@](C)(C(=O)OCC6=CC=C([N+](=O)[O-])C=C6)CC[C@]5(C)CC[C@@]4(C)[C@]3(C)CC[C@@H]12 | Attribution: -0.681 | Prediction: 0.023 | MW: 637.8 | LogP: 5.92,HIGHEST ATTR (INACTIVE): CHEMBL4541317 | SMILES: CC1(C)[C@H](O)[C@@H]2O[C@@H]2[C@]2(C)[C@H]3CC=C4[C@@H]5C[C@@](C)(C(=O)OCC6=CC=CC=C6)CC[C@]5(C)CC[C@@]4(C)[C@]3(C)CC[C@@H]12 | Attribution: 0.051 | Prediction: 0.101 | MW: 560.8 | LogP: 7.88,,INACTIVE w/ POS ATTR: CHEMBL4541317 | SMILES: CC1(C)[C@H](O)[C@@H]2O[C@@H]2[C@]2(C)[C@H]3CC=C4[C@@H]5C[C@@](C)(C(=O)OCC6=CC=CC=C6)CC[C@]5(C)CC[C@@]4(C)[C@]3(C)CC[C@@H]12 | Attribution: 0.051 | Prediction: 0.101 | MW: 560.8
21,19981,C(CC[C@@H]1CCCC2C1=CC[C@@H]1CCCCC12)OCC1=CC=CC=C1,20,0,20,0,0,-0.3390,-0.6403,100.00,15,20,75.0,-0.640,-0.006,LOWEST ATTR (INACTIVE): CHEMBL4588483 | SMILES: CC1(C)[C@@H](O)[C@@H](O)[C@H](O)[C@]2(C)[C@H]3C(=O)C=C4[C@@H]5C[C@@](C)(C(=O)OCC6=CC=C([N+](=O)[O-])C=C6)CC[C@]5(C)CC[C@@]4(C)[C@]3(C)CC[C@@H]12 | Attribution: -0.640 | Prediction: 0.023 | MW: 637.8 | LogP: 5.92,HIGHEST ATTR (INACTIVE): CHEMBL4550296 | SMILES: CC1(C)[C@@H](O)[C@@H](O)[C@H](O)[C@]2(C)[C@H]3CC=C4[C@@H]5C[C@@](C)(C(=O)OCC6=CC=C(Cl)C=C6)CC[C@]5(C)CC[C@@]4(C)[C@]3(C)CC[C@@H]12 | Attribution: -0.006 | Prediction: 0.179 | MW: 613.3 | LogP: 7.49,,
22,19980,C(OCC1=CC=CC=C1)C1CCC[C@@H](C1)C1=CC[C@@H]2CCCCC2C1,20,0,20,0,0,-0.3320,-0.6383,100.00,14,20,70.0,-0.638,0.006,LOWEST ATTR (INACTIVE): CHEMBL4588483 | SMILES: CC1(C)[C@@H](O)[C@@H](O)[C@H](O)[C@]2(C)[C@H]3C(=O)C=C4[C@@H]5C[C@@](C)(C(=O)OCC6=CC=C([N+](=O)[O-])C=C6)CC[C@]5(C)CC[C@@]4(C)[C@]3(C)CC[C@@H]12 | Attribution: -0.638 | Prediction: 0.023 | MW: 637.8 | LogP: 5.92,HIGHEST ATTR (INACTIVE): CHEMBL4550296 | SMILES: CC1(C)[C@@H](O)[C@@H](O)[C@H](O)[C@]2(C)[C@H]3CC=C4[C@@H]5C[C@@](C)(C(=O)OCC6=CC=C(Cl)C=C6)CC[C@]5(C)CC[C@@]4(C)[C@]3(C)CC[C@@H]12 | Attribution: 0.006 | Prediction: 0.179 | MW: 613.3 | LogP: 7.49,,INACTIVE w/ POS ATTR: CHEMBL4550296 | SMILES: CC1(C)[C@@H](O)[C@@H](O)[C@H](O)[C@]2(C)[C@H]3CC=C4[C@@H]5C[C@@](C)(C(=O)OCC6=CC=C(Cl)C=C6)CC[C@]5(C)CC[C@@]4(C)[C@]3(C)CC[C@@H]12 | Attribution: 0.006 | Prediction: 0.179 | MW: 613.3
23,49071,C(NCCCCCNCC1=CC=CC=C1)C1=CC=CC=C1,20,1,19,0,0,-0.6566,-0.7616,95.00,19,20,95.0,-0.762,0.523,LOWEST ATTR (INACTIVE): CHEMBL4096957 | SMILES: O=C(NC[C@@H]1CN[C@H](CNC(=O)C2=CC=CC=C2Cl)C1)C1=CC=CC=C1 | Attribution: -0.762 | Prediction: 0.013 | MW: 371.9 | LogP: 2.48,HIGHEST ATTR (ACTIVE): CHEMBL1926762 | SMILES: COC1=CC=C2N=CC=C(NC(=O)[C@H]3CC[C@H](NCC4=CC=C5OCCOC5=C4)CC3)C2=C1 | Attribution: 0.523 | Prediction: 0.923 | MW: 447.5 | LogP: 4.30,,
24,8120,C1NC[C@@H]2ON[C@@H](C3=CC=CC=C3)[C@H]12,19,0,19,0,0,-0.4611,-0.6903,100.00,18,19,94.7,-0.690,0.098,LOWEST ATTR (INACTIVE): CHEMBL387485 | SMILES: CN1C(=O)[C@@H]2[C@@H](ON(C)[C@H]2C2=CC=C([N+](=O)[O-])C=C2)C1=O | Attribution: -0.690 | Prediction: 0.034 | MW: 291.3 | LogP: 0.50,HIGHEST ATTR (INACTIVE): CHEMBL225684 | SMILES: CN1O[C@H]2C(=O)N(C3=CC=CC=C3)C(=O)[C@H]2[C@@H]1C1=CC=C(Cl)C=C1 | Attribution: 0.098 | Prediction: 0.096 | MW: 342.8 | LogP: 2.82,,INACTIVE w/ POS ATTR: CHEMBL225684 | SMILES: CN1O[C@H]2C(=O)N(C3=CC=CC=C3)C(=O)[C@H]2[C@@H]1C1=CC=C(Cl)C=C1 | Attribution: 0.098 | Prediction: 0.096 | MW: 342.8
25,7429,C1[C@@H]2ONC[C@@H]2CN1C1=CC=CC=C1,17,0,17,0,0,-0.4242,-0.7542,100.00,16,17,94.1,-0.754,-0.077,LOWEST ATTR (INACTIVE): CHEMBL225686 | SMILES: CN1O[C@H]2C(=O)N(C3=CC=CC=C3)C(=O)[C@H]2[C@@H]1C1=CC=C([N+](=O)[O-])C=C1 | Attribution: -0.754 | Prediction: 0.063 | MW: 353.3 | LogP: 2.07,HIGHEST ATTR (INACTIVE): CHEMBL225684 | SMILES: CN1O[C@H]2C(=O)N(C3=CC=CC=C3)C(=O)[C@H]2[C@@H]1C1=CC=C(Cl)C=C1 | Attribution: -0.077 | Prediction: 0.096 | MW: 342.8 | LogP: 2.82,,
26,7432,C1C[C@@H](CN1C1=CC=CC=C1)CC1=CC=CC=C1,18,1,17,0,0,-0.1402,-0.4408,94.44,12,18,66.7,-0.441,0.328,LOWEST ATTR (INACTIVE): CHEMBL390738 | SMILES: CN1O[C@H]2C(=O)N(C3=CC=CC=C3)C(=O)[C@H]2[C@H]1C1=CC=C([N+](=O)[O-])C=C1 | Attribution: -0.441 | Prediction: 0.031 | MW: 353.3 | LogP: 2.07,HIGHEST ATTR (INACTIVE): CHEMBL225684 | SMILES: CN1O[C@H]2C(=O)N(C3=CC=CC=C3)C(=O)[C@H]2[C@@H]1C1=CC=C(Cl)C=C1 | Attribution: 0.328 | Prediction: 0.096 | MW: 342.8 | LogP: 2.82,,INACTIVE w/ POS ATTR: CHEMBL225684 | SMILES: CN1O[C@H]2C(=O)N(C3=CC=CC=C3)C(=O)[C@H]2[C@@H]1C1=CC=C(Cl)C=C1 | Attribution: 0.328 | Prediction: 0.096 | MW: 342.8
27,10730,C1=CC=C(CCNC2=C3N=NNC3=NC=N2)C=C1,16,0,16,0,0,-0.4523,-0.7616,100.00,16,16,100.0,-0.762,-0.122,LOWEST ATTR (INACTIVE): CHEMBL4781858 | SMILES: CCN1N=NC2=C(N[C@@H]3C[C@H]3C3=CC=C(F)C(F)=C3)N=C(SC)N=C21 | Attribution: -0.762 | Prediction: 0.154 | MW: 362.4 | LogP: 3.21,HIGHEST ATTR (INACTIVE): CHEMBL4792212 | SMILES: CC(O)CSC1=NC(N[C@@H]2C[C@H]2C2=CC=C(F)C(F)=C2)=C2N=NN([C@@H]3C[C@H](OCCO)[C@@H](O)[C@H]3O)C2=N1 | Attribution: -0.122 | Prediction: 0.079 | MW: 538.6 | LogP: 0.98,,
28,776,C1=CC=C(C=C1)C1=CC(C2=CNC3=CC=CC=C23)=NC=C1,23,7,16,0,0,-0.1760,-0.7616,69.57,16,23,69.6,-0.762,0.701,LOWEST ATTR (INACTIVE): CHEMBL4289630 | SMILES: COC(=O)C1=CC2=C(C(C3=CN(C(C)=O)C4=CC=CC=C34)=N1)N(CC1=CC=CC=C1C(F)(F)F)C1=CC=CC=C21 | Attribution: -0.762 | Prediction: 0.056 | MW: 541.5 | LogP: 7.33,HIGHEST ATTR (ACTIVE): CHEMBL4286297 | SMILES: OCC1=CC2=C(C(C3=CNC4=CC=CC=C34)=N1)N(CC1=CC=C(Br)C=C1)C1=CC=CC=C21 | Attribution: 0.701 | Prediction: 0.972 | MW: 482.4 | LogP: 6.64,,
29,787,C1=CC=C(C=C1)C1=CC(C2=CNC=C2)=NC=C1,23,7,16,0,0,-0.1437,-0.7046,69.57,16,23,69.6,-0.705,0.704,LOWEST ATTR (INACTIVE): CHEMBL4289630 | SMILES: COC(=O)C1=CC2=C(C(C3=CN(C(C)=O)C4=CC=CC=C34)=N1)N(CC1=CC=CC=C1C(F)(F)F)C1=CC=CC=C21 | Attribution: -0.705 | Prediction: 0.056 | MW: 541.5 | LogP: 7.33,HIGHEST ATTR (ACTIVE): CHEMBL4286297 | SMILES: OCC1=CC2=C(C(C3=CNC4=CC=CC=C34)=N1)N(CC1=CC=C(Br)C=C1)C1=CC=CC=C21 | Attribution: 0.704 | Prediction: 0.972 | MW: 482.4 | LogP: 6.64,,
30,10725,C(NCCC1=CC=CC=C1)C1=CNN=N1,16,0,16,0,0,-0.1385,-0.5891,100.00,9,16,56.3,-0.589,0.298,LOWEST ATTR (INACTIVE): CHEMBL4795337 | SMILES: CCSC1=NC(N[C@@H]2C[C@H]2C2=CC=C(F)C(F)=C2)=C2N=NN(CC)C2=N1 | Attribution: -0.589 | Prediction: 0.062 | MW: 376.4 | LogP: 3.60,HIGHEST ATTR (INACTIVE): CHEMBL4792212 | SMILES: CC(O)CSC1=NC(N[C@@H]2C[C@H]2C2=CC=C(F)C(F)=C2)=C2N=NN([C@@H]3C[C@H](OCCO)[C@@H](O)[C@H]3O)C2=N1 | Attribution: 0.298 | Prediction: 0.079 | MW: 538.6 | LogP: 0.98,,INACTIVE w/ POS ATTR: CHEMBL4792212 | SMILES: CC(O)CSC1=NC(N[C@@H]2C[C@H]2C2=CC=C(F)C(F)=C2)=C2N=NN([C@@H]3C[C@H](OCCO)[C@@H](O)[C@H]3O)C2=N1 | Attribution: 0.298 | Prediction: 0.079 | MW: 538.6
31,25374,C(C1=CC=CC=C1)C1=CC=C(OCC2CCNCC2)C=C1,15,0,15,0,0,-0.7133,-0.7616,100.00,15,15,100.0,-0.762,-0.542,LOWEST ATTR (INACTIVE): CHEMBL2046520 | SMILES: CCCCCCC[C@H](O)C1=CC=CC(CN2CCC(COC3=CC=C(C(=O)C4=CC=C(Cl)C=C4)C(Cl)=C3)CC2)=C1 | Attribution: -0.762 | Prediction: 0.027 | MW: 582.6 | LogP: 8.91,HIGHEST ATTR (INACTIVE): CHEMBL2046511 | SMILES: CCCCC(O)CN1CCC(COC2=CC=C(C(=O)C3=CC=C(Cl)C=C3)C(Cl)=C2)CC1 | Attribution: -0.542 | Prediction: 0.015 | MW: 464.4 | LogP: 5.87,,
32,10728,C1=NC(N[C@@H]2CC2)=C2N=NNC2=N1,15,0,15,0,0,-0.4862,-0.7616,100.00,14,15,93.3,-0.762,-0.065,LOWEST ATTR (INACTIVE): CHEMBL4795337 | SMILES: CCSC1=NC(N[C@@H]2C[C@H]2C2=CC=C(F)C(F)=C2)=C2N=NN(CC)C2=N1 | Attribution: -0.762 | Prediction: 0.062 | MW: 376.4 | LogP: 3.60,HIGHEST ATTR (INACTIVE): CHEMBL4800478 | SMILES: O[C@@H]1[C@H](O)[C@@H](O)C[C@H]1N1N=NC2=C(N[C@@H]3C[C@H]3C3=CC=C(F)C(F)=C3)N=CN=C21 | Attribution: -0.065 | Prediction: 0.049 | MW: 404.4 | LogP: 0.50,,
