"query_type","rank","fragment_id","fragment_smiles","pathogen_combination","pathogen_count","total_compounds_both_pathogens","total_tp_count","total_tn_count","overall_avg_attribution","overall_min_attribution","avg_inactivity_rate_percent","pathogen_breakdown"
NEGATIVE SCAFFOLDS,13,11108,C(NC1=CC=CC=C1)SC1=NC2=CC=CC=C2C=C1,S. aureus + E. coli (NOT C. albicans),2,66,0,66,-0.6968,-0.7616,100.00,"e_coli: 32 compounds (0 TP, 32 TN) | Avg Attr: -0.741 | Inactivity: 100.00% || s_aureus: 34 compounds (0 TP, 34 TN) | Avg Attr: -0.652 | Inactivity: 100.00%"
NEGATIVE SCAFFOLDS,14,11110,C1=NN=C(NC2=CC=CC=C2)SC2=NC3=CC=CC=C3C=C12,S. aureus + E. coli (NOT C. albicans),2,66,0,66,-0.6838,-0.7616,100.00,"e_coli: 32 compounds (0 TP, 32 TN) | Avg Attr: -0.734 | Inactivity: 100.00% || s_aureus: 34 compounds (0 TP, 34 TN) | Avg Attr: -0.633 | Inactivity: 100.00%"
NEGATIVE SCAFFOLDS,15,15401,C(NC1=CC=CC=C1)SC1=CC=CC=N1,S. aureus + E. coli (NOT C. albicans),2,65,0,65,-0.6699,-0.7616,100.00,"e_coli: 31 compounds (0 TP, 31 TN) | Avg Attr: -0.681 | Inactivity: 100.00% || s_aureus: 34 compounds (0 TP, 34 TN) | Avg Attr: -0.658 | Inactivity: 100.00%"
NEGATIVE SCAFFOLDS,16,15402,C1=NN=C(NC2=CC=CC=C2)SC2=C1C=CC=N2,S. aureus + E. coli (NOT C. albicans),2,65,0,65,-0.6116,-0.7378,100.00,"e_coli: 31 compounds (0 TP, 31 TN) | Avg Attr: -0.601 | Inactivity: 100.00% || s_aureus: 34 compounds (0 TP, 34 TN) | Avg Attr: -0.622 | Inactivity: 100.00%"
NEGATIVE SCAFFOLDS,17,1603,C1=CC=C(NC2=NC=CO2)C=C1,S. aureus + E. coli (NOT C. albicans),2,64,1,63,-0.6209,-0.7609,98.22,"e_coli: 36 compounds (0 TP, 36 TN) | Avg Attr: -0.691 | Inactivity: 100.00% || s_aureus: 28 compounds (1 TP, 27 TN) | Avg Attr: -0.551 | Inactivity: 96.43%"
NEGATIVE SCAFFOLDS,18,1605,C1=CC=C(NC2=NC3=CC=CC=C3O2)C=C1,S. aureus + E. coli (NOT C. albicans),2,64,2,62,-0.6546,-0.7616,96.43,"e_coli: 36 compounds (0 TP, 36 TN) | Avg Attr: -0.757 | Inactivity: 100.00% || s_aureus: 28 compounds (2 TP, 26 TN) | Avg Attr: -0.552 | Inactivity: 92.86%"
NEGATIVE SCAFFOLDS,19,15400,C1=NN=CC2=C(N=CC=C2)S1,S. aureus + E. coli (NOT C. albicans),2,62,0,62,-0.4302,-0.6723,100.00,"e_coli: 20 compounds (0 TP, 20 TN) | Avg Attr: -0.306 | Inactivity: 100.00% || s_aureus: 42 compounds (0 TP, 42 TN) | Avg Attr: -0.554 | Inactivity: 100.00%"
NEGATIVE SCAFFOLDS,20,5502,C1=CC=C(OCC2=CC(C3=CC=CC=C3)=NO2)C=C1,S. aureus + E. coli (NOT C. albicans),2,57,0,57,-0.5288,-0.6943,100.00,"e_coli: 31 compounds (0 TP, 31 TN) | Avg Attr: -0.595 | Inactivity: 100.00% || s_aureus: 26 compounds (0 TP, 26 TN) | Avg Attr: -0.463 | Inactivity: 100.00%"
NEGATIVE SCAFFOLDS,21,31671,C(C1=CC=CC=C1)CCC1=CC=CC(NCC2=CC=CC=C2)=C1,S. aureus + E. coli (NOT C. albicans),2,56,0,56,-0.4993,-0.7616,100.00,"e_coli: 28 compounds (0 TP, 28 TN) | Avg Attr: -0.409 | Inactivity: 100.00% || s_aureus: 28 compounds (0 TP, 28 TN) | Avg Attr: -0.590 | Inactivity: 100.00%"
NEGATIVE SCAFFOLDS,22,19793,C(NCCC1=CN=CS1)C1=CC=CN1,S. aureus + E. coli (NOT C. albicans),2,53,0,53,-0.5631,-0.7616,100.00,"e_coli: 24 compounds (0 TP, 24 TN) | Avg Attr: -0.673 | Inactivity: 100.00% || s_aureus: 29 compounds (0 TP, 29 TN) | Avg Attr: -0.453 | Inactivity: 100.00%"
NEGATIVE SCAFFOLDS,23,28860,C(/C=C/C1=CC=C(/C=C2/CN(CC3=CC=CC=C3)CS2)C=C1)C1=CC=CC=C1,S. aureus + E. coli (NOT C. albicans),2,53,0,53,-0.3235,-0.6279,100.00,"e_coli: 35 compounds (0 TP, 35 TN) | Avg Attr: -0.385 | Inactivity: 100.00% || s_aureus: 18 compounds (0 TP, 18 TN) | Avg Attr: -0.262 | Inactivity: 100.00%"
NEGATIVE SCAFFOLDS,24,19792,C1=NC2=C(CCCC2)S1,S. aureus + E. coli (NOT C. albicans),2,52,0,52,-0.6214,-0.7616,100.00,"e_coli: 24 compounds (0 TP, 24 TN) | Avg Attr: -0.676 | Inactivity: 100.00% || s_aureus: 28 compounds (0 TP, 28 TN) | Avg Attr: -0.567 | Inactivity: 100.00%"
NEGATIVE SCAFFOLDS,25,11105,C1=NN=CC(=CS1)CC1=CC=CC=C1,S. aureus + E. coli (NOT C. albicans),2,52,0,52,-0.4178,-0.7493,100.00,"e_coli: 20 compounds (0 TP, 20 TN) | Avg Attr: -0.314 | Inactivity: 100.00% || s_aureus: 32 compounds (0 TP, 32 TN) | Avg Attr: -0.522 | Inactivity: 100.00%"
NEGATIVE SCAFFOLDS,26,31665,C(C1=CC=CC=C1)CCC1=CC=CC(NC2=CC=NC3=CC=CC=C23)=C1,S. aureus + E. coli (NOT C. albicans),2,51,0,51,-0.4054,-0.7616,100.00,"e_coli: 23 compounds (0 TP, 23 TN) | Avg Attr: -0.390 | Inactivity: 100.00% || s_aureus: 28 compounds (0 TP, 28 TN) | Avg Attr: -0.420 | Inactivity: 100.00%"
NEGATIVE SCAFFOLDS,27,31666,C(NC1=CC(C2CC(C3=CC=CC=C3)=NN2)=CC=C1)C1=CC=CC=C1,S. aureus + E. coli (NOT C. albicans),2,51,0,51,-0.3978,-0.6682,100.00,"e_coli: 23 compounds (0 TP, 23 TN) | Avg Attr: -0.346 | Inactivity: 100.00% || s_aureus: 28 compounds (0 TP, 28 TN) | Avg Attr: -0.449 | Inactivity: 100.00%"
NEGATIVE SCAFFOLDS,28,31676,C1=NNC(C2=CC=CC(NCC3=CC=CC=C3)=C2)C1,S. aureus + E. coli (NOT C. albicans),2,51,0,51,-0.3816,-0.7616,100.00,"e_coli: 23 compounds (0 TP, 23 TN) | Avg Attr: -0.326 | Inactivity: 100.00% || s_aureus: 28 compounds (0 TP, 28 TN) | Avg Attr: -0.438 | Inactivity: 100.00%"
NEGATIVE SCAFFOLDS,29,17066,C1=COC2=CC=CC=C2CC1,S. aureus + E. coli (NOT C. albicans),2,50,0,50,-0.6534,-0.7616,100.00,"e_coli: 35 compounds (0 TP, 35 TN) | Avg Attr: -0.621 | Inactivity: 100.00% || s_aureus: 15 compounds (0 TP, 15 TN) | Avg Attr: -0.685 | Inactivity: 100.00%"
NEGATIVE SCAFFOLDS,30,19794,C(N[C@@H]1CC=CCC1)C1=CC=CN1,S. aureus + E. coli (NOT C. albicans),2,51,1,50,-0.6293,-0.7616,97.83,"e_coli: 23 compounds (1 TP, 22 TN) | Avg Attr: -0.626 | Inactivity: 95.65% || s_aureus: 28 compounds (0 TP, 28 TN) | Avg Attr: -0.633 | Inactivity: 100.00%"
NEGATIVE SCAFFOLDS,31,12246,C1=CC=C(C=C1)C1CCNC1,S. aureus + E. coli (NOT C. albicans),2,49,0,49,-0.6723,-0.7616,100.00,"e_coli: 13 compounds (0 TP, 13 TN) | Avg Attr: -0.725 | Inactivity: 100.00% || s_aureus: 36 compounds (0 TP, 36 TN) | Avg Attr: -0.620 | Inactivity: 100.00%"
NEGATIVE SCAFFOLDS,32,19795,C(N[C@H]1CCC2=C(C1)SC=N2)C1=CC=CN1,S. aureus + E. coli (NOT C. albicans),2,49,0,49,-0.5641,-0.7616,100.00,"e_coli: 22 compounds (0 TP, 22 TN) | Avg Attr: -0.664 | Inactivity: 100.00% || s_aureus: 27 compounds (0 TP, 27 TN) | Avg Attr: -0.464 | Inactivity: 100.00%"
NEGATIVE SCAFFOLDS,33,9218,C1=CC=C(C2=CNN=C2)N=C1,S. aureus + E. coli (NOT C. albicans),2,55,7,48,-0.6625,-0.7616,85.42,"e_coli: 31 compounds (0 TP, 31 TN) | Avg Attr: -0.717 | Inactivity: 100.00% || s_aureus: 24 compounds (7 TP, 17 TN) | Avg Attr: -0.608 | Inactivity: 70.83%"
NEGATIVE SCAFFOLDS,34,9220,C1=CC=C(N2C=C(C3=CC=CC=N3)C=N2)C=C1,S. aureus + E. coli (NOT C. albicans),2,53,5,48,-0.6486,-0.7616,88.64,"e_coli: 31 compounds (0 TP, 31 TN) | Avg Attr: -0.701 | Inactivity: 100.00% || s_aureus: 22 compounds (5 TP, 17 TN) | Avg Attr: -0.596 | Inactivity: 77.27%"
NEGATIVE SCAFFOLDS,35,6303,C1=CSN=N1,S. aureus + E. coli (NOT C. albicans),2,50,2,48,-0.5988,-0.7616,95.65,"e_coli: 23 compounds (2 TP, 21 TN) | Avg Attr: -0.537 | Inactivity: 91.30% || s_aureus: 27 compounds (0 TP, 27 TN) | Avg Attr: -0.660 | Inactivity: 100.00%"
NEGATIVE SCAFFOLDS,36,31672,C(C1=CC=CC=C1)CCC1=CC=CC(NC2=CC=NC=C2)=C1,S. aureus + E. coli (NOT C. albicans),2,48,0,48,-0.3846,-0.7235,100.00,"e_coli: 20 compounds (0 TP, 20 TN) | Avg Attr: -0.368 | Inactivity: 100.00% || s_aureus: 28 compounds (0 TP, 28 TN) | Avg Attr: -0.402 | Inactivity: 100.00%"
NEGATIVE SCAFFOLDS,37,15399,C1=NN=CSC(=C1)NC1=CC=CC=C1,S. aureus + E. coli (NOT C. albicans),2,47,0,47,-0.4841,-0.7616,100.00,"e_coli: 23 compounds (0 TP, 23 TN) | Avg Attr: -0.326 | Inactivity: 100.00% || s_aureus: 24 compounds (0 TP, 24 TN) | Avg Attr: -0.642 | Inactivity: 100.00%"
NEGATIVE SCAFFOLDS,38,20976,C1=CC=C2C(=C1)NC1NCCC21,S. aureus + E. coli (NOT C. albicans),2,46,0,46,-0.6038,-0.7616,100.00,"e_coli: 11 compounds (0 TP, 11 TN) | Avg Attr: -0.562 | Inactivity: 100.00% || s_aureus: 35 compounds (0 TP, 35 TN) | Avg Attr: -0.646 | Inactivity: 100.00%"
NEGATIVE SCAFFOLDS,39,20972,C1=CC2CCNC2N1,S. aureus + E. coli (NOT C. albicans),2,44,0,44,-0.5592,-0.7423,100.00,"e_coli: 10 compounds (0 TP, 10 TN) | Avg Attr: -0.524 | Inactivity: 100.00% || s_aureus: 34 compounds (0 TP, 34 TN) | Avg Attr: -0.594 | Inactivity: 100.00%"
NEGATIVE SCAFFOLDS,40,28859,C(\C=C\C1=CC=C(/C=C/CC2=CC=CC=C2)C=C1)NCC1=CC=CC=C1,S. aureus + E. coli (NOT C. albicans),2,44,0,44,-0.4042,-0.7616,100.00,"e_coli: 13 compounds (0 TP, 13 TN) | Avg Attr: -0.196 | Inactivity: 100.00% || s_aureus: 31 compounds (0 TP, 31 TN) | Avg Attr: -0.613 | Inactivity: 100.00%"
NEGATIVE SCAFFOLDS,41,31663,C1=CC=C(C2=NNC(C3=CC=CC(NC4=CC=NC5=CC=CC=C45)=C3)C2)C=C1,S. aureus + E. coli (NOT C. albicans),2,44,0,44,-0.2459,-0.5813,100.00,"e_coli: 17 compounds (0 TP, 17 TN) | Avg Attr: -0.233 | Inactivity: 100.00% || s_aureus: 27 compounds (0 TP, 27 TN) | Avg Attr: -0.259 | Inactivity: 100.00%"
NEGATIVE SCAFFOLDS,42,6802,C(/C=C/C1=CC=CC=C1)C1=CC=C(NC2=NC3=CC=CC=C3O2)C=C1,S. aureus + E. coli (NOT C. albicans),2,43,0,43,-0.4290,-0.7616,100.00,"e_coli: 23 compounds (0 TP, 23 TN) | Avg Attr: -0.450 | Inactivity: 100.00% || s_aureus: 20 compounds (0 TP, 20 TN) | Avg Attr: -0.408 | Inactivity: 100.00%"
NEGATIVE SCAFFOLDS,43,2683,C1=CC=C2C(=C1)C=[N+]C1=CC=CC=C12,S. aureus + E. coli (NOT C. albicans),2,41,0,41,-0.5687,-0.7616,100.00,"e_coli: 37 compounds (0 TP, 37 TN) | Avg Attr: -0.581 | Inactivity: 100.00% || s_aureus: 4 compounds (0 TP, 4 TN) | Avg Attr: -0.557 | Inactivity: 100.00%"
NEGATIVE SCAFFOLDS,44,31674,C1=NNC(C2=CC=CC(NC3=CC=NC4=CC=CC=C34)=C2)C1,S. aureus + E. coli (NOT C. albicans),2,40,0,40,-0.2883,-0.6404,100.00,"e_coli: 19 compounds (0 TP, 19 TN) | Avg Attr: -0.214 | Inactivity: 100.00% || s_aureus: 21 compounds (0 TP, 21 TN) | Avg Attr: -0.362 | Inactivity: 100.00%"
NEGATIVE SCAFFOLDS,45,9221,C1OCCN1C1=CC=C(N2C=C(C3=CC=CC=N3)C=N2)C=C1,S. aureus + E. coli (NOT C. albicans),2,38,0,38,-0.4131,-0.7616,100.00,"e_coli: 25 compounds (0 TP, 25 TN) | Avg Attr: -0.475 | Inactivity: 100.00% || s_aureus: 13 compounds (0 TP, 13 TN) | Avg Attr: -0.351 | Inactivity: 100.00%"
NEGATIVE SCAFFOLDS,46,11387,C(CN1CCC1)OCC1=CC=CC=C1,S. aureus + E. coli (NOT C. albicans),2,37,0,37,-0.6553,-0.7616,100.00,"e_coli: 16 compounds (0 TP, 16 TN) | Avg Attr: -0.639 | Inactivity: 100.00% || s_aureus: 21 compounds (0 TP, 21 TN) | Avg Attr: -0.672 | Inactivity: 100.00%"
NEGATIVE SCAFFOLDS,47,22626,C1=COC(C2=NC=NC=C2)=C1,S. aureus + E. coli (NOT C. albicans),2,36,0,36,-0.5266,-0.7616,100.00,"e_coli: 22 compounds (0 TP, 22 TN) | Avg Attr: -0.520 | Inactivity: 100.00% || s_aureus: 14 compounds (0 TP, 14 TN) | Avg Attr: -0.533 | Inactivity: 100.00%"
NEGATIVE SCAFFOLDS,48,40784,C1=CC=C(OCC2=NOC=C2)C=C1,S. aureus + E. coli (NOT C. albicans),2,36,0,36,-0.4027,-0.7494,100.00,"e_coli: 19 compounds (0 TP, 19 TN) | Avg Attr: -0.482 | Inactivity: 100.00% || s_aureus: 17 compounds (0 TP, 17 TN) | Avg Attr: -0.323 | Inactivity: 100.00%"
NEGATIVE SCAFFOLDS,49,6801,C(/C=C/C1=CC=CC=C1)C1=CC=C(NC2=NC=CO2)C=C1,S. aureus + E. coli (NOT C. albicans),2,36,0,36,-0.3159,-0.7042,100.00,"e_coli: 21 compounds (0 TP, 21 TN) | Avg Attr: -0.298 | Inactivity: 100.00% || s_aureus: 15 compounds (0 TP, 15 TN) | Avg Attr: -0.334 | Inactivity: 100.00%"
NEGATIVE SCAFFOLDS,50,27195,C(NC1CCCCC1)C(NC1=CC=CC=C1)C1=CC=CC=C1,S. aureus + E. coli (NOT C. albicans),2,35,0,35,-0.6768,-0.7616,100.00,"e_coli: 17 compounds (0 TP, 17 TN) | Avg Attr: -0.696 | Inactivity: 100.00% || s_aureus: 18 compounds (0 TP, 18 TN) | Avg Attr: -0.658 | Inactivity: 100.00%"
NEGATIVE SCAFFOLDS,51,1657,C(C1=CNC=C1)C1=NC=NO1,S. aureus + E. coli (NOT C. albicans),2,34,0,34,-0.7295,-0.7616,100.00,"e_coli: 17 compounds (0 TP, 17 TN) | Avg Attr: -0.732 | Inactivity: 100.00% || s_aureus: 17 compounds (0 TP, 17 TN) | Avg Attr: -0.728 | Inactivity: 100.00%"
NEGATIVE SCAFFOLDS,52,1663,C(C1=NC=NO1)C1=CNC2=CC=CC=C12,S. aureus + E. coli (NOT C. albicans),2,34,0,34,-0.7061,-0.7616,100.00,"e_coli: 17 compounds (0 TP, 17 TN) | Avg Attr: -0.720 | Inactivity: 100.00% || s_aureus: 17 compounds (0 TP, 17 TN) | Avg Attr: -0.693 | Inactivity: 100.00%"
NEGATIVE SCAFFOLDS,53,1664,C1=CC=C2C(C3=NOC=N3)=CNC2=C1,S. aureus + E. coli (NOT C. albicans),2,34,0,34,-0.5817,-0.7492,100.00,"e_coli: 17 compounds (0 TP, 17 TN) | Avg Attr: -0.616 | Inactivity: 100.00% || s_aureus: 17 compounds (0 TP, 17 TN) | Avg Attr: -0.547 | Inactivity: 100.00%"
NEGATIVE SCAFFOLDS,54,1660,C(CC1=CC=CC=C1)C1=NC=NO1,S. aureus + E. coli (NOT C. albicans),2,34,0,34,-0.5775,-0.7616,100.00,"e_coli: 17 compounds (0 TP, 17 TN) | Avg Attr: -0.419 | Inactivity: 100.00% || s_aureus: 17 compounds (0 TP, 17 TN) | Avg Attr: -0.736 | Inactivity: 100.00%"
NEGATIVE SCAFFOLDS,55,1666,C(CC1=CC=CC=C1)C1=NC(CC2=CC=CC=C2)=NO1,S. aureus + E. coli (NOT C. albicans),2,34,0,34,-0.5348,-0.6609,100.00,"e_coli: 17 compounds (0 TP, 17 TN) | Avg Attr: -0.537 | Inactivity: 100.00% || s_aureus: 17 compounds (0 TP, 17 TN) | Avg Attr: -0.533 | Inactivity: 100.00%"
NEGATIVE SCAFFOLDS,56,1670,C(CC1=CC=CC=C1)C1=NC(C2=CNC3=CC=CC=C23)=NO1,S. aureus + E. coli (NOT C. albicans),2,34,0,34,-0.5266,-0.7616,100.00,"e_coli: 17 compounds (0 TP, 17 TN) | Avg Attr: -0.603 | Inactivity: 100.00% || s_aureus: 17 compounds (0 TP, 17 TN) | Avg Attr: -0.450 | Inactivity: 100.00%"
NEGATIVE SCAFFOLDS,57,1658,C1=CC(C2=NOC=N2)=CN1,S. aureus + E. coli (NOT C. albicans),2,34,0,34,-0.5228,-0.7291,100.00,"e_coli: 17 compounds (0 TP, 17 TN) | Avg Attr: -0.590 | Inactivity: 100.00% || s_aureus: 17 compounds (0 TP, 17 TN) | Avg Attr: -0.456 | Inactivity: 100.00%"
NEGATIVE SCAFFOLDS,58,1669,C(C1=NC(CC2=CC=CC=C2)=NO1)C1=CNC2=CC=CC=C12,S. aureus + E. coli (NOT C. albicans),2,34,0,34,-0.5114,-0.7616,100.00,"e_coli: 17 compounds (0 TP, 17 TN) | Avg Attr: -0.603 | Inactivity: 100.00% || s_aureus: 17 compounds (0 TP, 17 TN) | Avg Attr: -0.420 | Inactivity: 100.00%"
NEGATIVE SCAFFOLDS,59,40785,C1=CC=C(OCC2=NOC(C3=CC=CC=C3)=C2)C=C1,S. aureus + E. coli (NOT C. albicans),2,34,0,34,-0.5084,-0.7616,100.00,"e_coli: 19 compounds (0 TP, 19 TN) | Avg Attr: -0.551 | Inactivity: 100.00% || s_aureus: 15 compounds (0 TP, 15 TN) | Avg Attr: -0.466 | Inactivity: 100.00%"
NEGATIVE SCAFFOLDS,60,1671,C(C1=NC(C2=CNC3=CC=CC=C23)=NO1)C1=CNC2=CC=CC=C12,S. aureus + E. coli (NOT C. albicans),2,34,0,34,-0.4809,-0.7563,100.00,"e_coli: 17 compounds (0 TP, 17 TN) | Avg Attr: -0.590 | Inactivity: 100.00% || s_aureus: 17 compounds (0 TP, 17 TN) | Avg Attr: -0.372 | Inactivity: 100.00%"
NEGATIVE SCAFFOLDS,61,1659,C(C1=NOC=N1)C1=CC=CC=C1,S. aureus + E. coli (NOT C. albicans),2,34,0,34,-0.4695,-0.7616,100.00,"e_coli: 17 compounds (0 TP, 17 TN) | Avg Attr: -0.326 | Inactivity: 100.00% || s_aureus: 17 compounds (0 TP, 17 TN) | Avg Attr: -0.613 | Inactivity: 100.00%"
NEGATIVE SCAFFOLDS,62,1665,C(CC1=CC=CC=C1)C1=NC(C2=CNC=C2)=NO1,S. aureus + E. coli (NOT C. albicans),2,34,0,34,-0.4510,-0.7068,100.00,"e_coli: 17 compounds (0 TP, 17 TN) | Avg Attr: -0.518 | Inactivity: 100.00% || s_aureus: 17 compounds (0 TP, 17 TN) | Avg Attr: -0.384 | Inactivity: 100.00%"
NEGATIVE SCAFFOLDS,63,1662,C(C1=CNC=C1)C1=NC(CC2=CC=CC=C2)=NO1,S. aureus + E. coli (NOT C. albicans),2,34,0,34,-0.4393,-0.7068,100.00,"e_coli: 17 compounds (0 TP, 17 TN) | Avg Attr: -0.533 | Inactivity: 100.00% || s_aureus: 17 compounds (0 TP, 17 TN) | Avg Attr: -0.346 | Inactivity: 100.00%"
NEGATIVE SCAFFOLDS,64,1668,C(C1=NC(C2=CNC=C2)=NO1)C1=CNC2=CC=CC=C12,S. aureus + E. coli (NOT C. albicans),2,34,0,34,-0.4060,-0.6836,100.00,"e_coli: 17 compounds (0 TP, 17 TN) | Avg Attr: -0.509 | Inactivity: 100.00% || s_aureus: 17 compounds (0 TP, 17 TN) | Avg Attr: -0.303 | Inactivity: 100.00%"
NEGATIVE SCAFFOLDS,65,1667,C(C1=CNC=C1)C1=NC(C2=CNC3=CC=CC=C23)=NO1,S. aureus + E. coli (NOT C. albicans),2,34,0,34,-0.4009,-0.6836,100.00,"e_coli: 17 compounds (0 TP, 17 TN) | Avg Attr: -0.511 | Inactivity: 100.00% || s_aureus: 17 compounds (0 TP, 17 TN) | Avg Attr: -0.291 | Inactivity: 100.00%"
NEGATIVE SCAFFOLDS,66,1661,C(C1=CNC=C1)C1=NC(C2=CNC=C2)=NO1,S. aureus + E. coli (NOT C. albicans),2,34,0,34,-0.3904,-0.6378,100.00,"e_coli: 17 compounds (0 TP, 17 TN) | Avg Attr: -0.468 | Inactivity: 100.00% || s_aureus: 17 compounds (0 TP, 17 TN) | Avg Attr: -0.312 | Inactivity: 100.00%"
NEGATIVE SCAFFOLDS,67,19279,C1=CN([C@H]2CC[C@@H](CO[C@H]3CCCO3)O2)CNC1,S. aureus + E. coli (NOT C. albicans),2,35,2,33,-0.6502,-0.7616,94.25,"e_coli: 19 compounds (1 TP, 18 TN) | Avg Attr: -0.696 | Inactivity: 94.74% || s_aureus: 16 compounds (1 TP, 15 TN) | Avg Attr: -0.604 | Inactivity: 93.75%"
NEGATIVE SCAFFOLDS,68,8676,C1=CC=C(CNCCCCCNCC2=CC=CC=C2)C=C1,S. aureus + E. coli (NOT C. albicans),2,33,0,33,-0.5745,-0.7616,100.00,"e_coli: 17 compounds (0 TP, 17 TN) | Avg Attr: -0.510 | Inactivity: 100.00% || s_aureus: 16 compounds (0 TP, 16 TN) | Avg Attr: -0.639 | Inactivity: 100.00%"
