feature,combo1,combo2,comparison,combo1_name,combo2_name,p_value,effect_size,mean_diff,fold_change,weighted_mean1,weighted_mean2,raw_mean1,raw_mean2,n1,n2,weight1,weight2,direction,biological_context,weighting_strategy,corrected_p_value
num_atoms,SA+CA,SA+EC,SA+CA_vs_SA+EC,S.aureus + C.albicans,S.aureus + E.coli,0.0,0.3496882697402699,2.358936828245092,1.120954651779515,21.86159169550173,19.502654867256638,21.86159169550173,19.502654867256638,289,5650,1.0,1.0,higher,Fungi vs Gram- (both with Gram+),fragment_based,0.0
num_atoms,SA+CA,CA+EC,SA+CA_vs_CA+EC,S.aureus + C.albicans,C.albicans + E.coli,0.0001,0.4097608718050294,3.0845646684747017,1.1642733252732118,21.86159169550173,18.777027027027028,21.86159169550173,18.777027027027028,289,148,1.0,1.0,higher,Gram+ vs Gram- (both with Fungi),fragment_based,0.00024285714285714289
num_heavy_atoms,SA+CA,SA+EC,SA+CA_vs_SA+EC,S.aureus + C.albicans,S.aureus + E.coli,0.0,0.3496882697402699,2.358936828245092,1.120954651779515,21.86159169550173,19.502654867256638,21.86159169550173,19.502654867256638,289,5650,1.0,1.0,higher,Fungi vs Gram- (both with Gram+),fragment_based,0.0
num_heavy_atoms,SA+CA,CA+EC,SA+CA_vs_CA+EC,S.aureus + C.albicans,C.albicans + E.coli,0.0,0.4097608718050294,3.0845646684747017,1.1642733252732118,21.86159169550173,18.777027027027028,21.86159169550173,18.777027027027028,289,148,1.0,1.0,higher,Gram+ vs Gram- (both with Fungi),fragment_based,0.0
num_rings,SA+CA,CA+EC,SA+CA_vs_CA+EC,S.aureus + C.albicans,C.albicans + E.coli,0.0002,0.37192888851915823,0.52450201066118,1.1875031342460256,3.3217993079584773,2.7972972972972974,3.3217993079584773,2.7972972972972974,289,148,1.0,1.0,higher,Gram+ vs Gram- (both with Fungi),fragment_based,0.0004744186046511628
num_aliphatic_rings,SA+CA,CA+EC,SA+CA_vs_CA+EC,S.aureus + C.albicans,C.albicans + E.coli,0.0001,0.39250650162277434,0.4078369026465912,1.486773077352383,1.245674740484429,0.8378378378378378,1.245674740484429,0.8378378378378378,289,148,1.0,1.0,higher,Gram+ vs Gram- (both with Fungi),fragment_based,0.00024285714285714289
num_aliphatic_rings,SA+EC,CA+EC,SA+EC_vs_CA+EC,S.aureus + E.coli,C.albicans + E.coli,0.0,0.4748668386078299,0.5189763214541975,1.6194233514130745,1.3568141592920353,0.8378378378378378,1.3568141592920353,0.8378378378378378,5650,148,1.0,1.0,higher,Gram+ vs Fungi (both with Gram-),fragment_based,0.0
num_saturated_rings,SA+CA,CA+EC,SA+CA_vs_CA+EC,S.aureus + C.albicans,C.albicans + E.coli,0.0,0.624565446506043,0.3896708126811933,5.436252328985892,0.47750865051903113,0.08783783783783784,0.47750865051903113,0.08783783783783784,289,148,1.0,1.0,higher,Gram+ vs Gram- (both with Fungi),fragment_based,0.0
num_saturated_rings,SA+EC,CA+EC,SA+EC_vs_CA+EC,S.aureus + E.coli,C.albicans + E.coli,0.0,0.6875822541316056,0.5426046400382684,7.177345132743362,0.6304424778761062,0.08783783783783784,0.6304424778761062,0.08783783783783784,5650,148,1.0,1.0,higher,Gram+ vs Fungi (both with Gram-),fragment_based,0.0
num_heteroatoms,SA+CA,SA+EC,SA+CA_vs_SA+EC,S.aureus + C.albicans,S.aureus + E.coli,0.0,0.7985684651294823,-1.5436237253881253,0.6200455672892347,2.519031141868512,4.062654867256637,2.519031141868512,4.062654867256637,289,5650,1.0,1.0,lower,Fungi vs Gram- (both with Gram+),fragment_based,0.0
num_heteroatoms,SA+CA,CA+EC,SA+CA_vs_CA+EC,S.aureus + C.albicans,C.albicans + E.coli,0.0,0.9803151236345222,-1.5620499392125686,0.6172460413849997,2.519031141868512,4.081081081081081,2.519031141868512,4.081081081081081,289,148,1.0,1.0,lower,Gram+ vs Gram- (both with Fungi),fragment_based,0.0
formal_charge,SA+CA,SA+EC,SA+CA_vs_SA+EC,S.aureus + C.albicans,S.aureus + E.coli,0.0,0.691359780566194,0.19911749395229203,3.5626738971080867,0.2768166089965398,0.07769911504424779,0.2768166089965398,0.07769911504424779,289,5650,1.0,1.0,higher,Fungi vs Gram- (both with Gram+),fragment_based,0.0
formal_charge,SA+CA,CA+EC,SA+CA_vs_CA+EC,S.aureus + C.albicans,C.albicans + E.coli,0.0,0.6414062493542961,0.24303282521275604,8.193771626297577,0.2768166089965398,0.033783783783783786,0.2768166089965398,0.033783783783783786,289,148,1.0,1.0,higher,Gram+ vs Gram- (both with Fungi),fragment_based,0.0
fraction_csp3,SA+CA,CA+EC,SA+CA_vs_CA+EC,S.aureus + C.albicans,C.albicans + E.coli,0.0,0.44069072487259664,0.10938534296164551,1.4519823230267432,0.35139777882226947,0.24201243586062396,0.35139777882226947,0.24201243586062396,289,148,1.0,1.0,higher,Gram+ vs Gram- (both with Fungi),fragment_based,0.0
fraction_csp3,SA+EC,CA+EC,SA+EC_vs_CA+EC,S.aureus + E.coli,C.albicans + E.coli,0.0,0.49487378466410464,0.12489932152459152,1.5160863782905833,0.3669117573852155,0.24201243586062396,0.3669117573852155,0.24201243586062396,5650,148,1.0,1.0,higher,Gram+ vs Fungi (both with Gram-),fragment_based,0.0
balaban_j,SA+CA,CA+EC,SA+CA_vs_CA+EC,S.aureus + C.albicans,C.albicans + E.coli,0.0,0.47473891510475924,-0.2822765192144501,0.8581969060746655,1.7083466146015216,1.9906231338159717,1.7083466146015216,1.9906231338159717,289,148,1.0,1.0,lower,Gram+ vs Gram- (both with Fungi),fragment_based,0.0
balaban_j,SA+EC,CA+EC,SA+EC_vs_CA+EC,S.aureus + E.coli,C.albicans + E.coli,0.0,0.45507840432243,-0.2468562356542119,0.8759904717971427,1.7437668981617598,1.9906231338159717,1.7437668981617598,1.9906231338159717,5650,148,1.0,1.0,lower,Gram+ vs Fungi (both with Gram-),fragment_based,0.0
carbon_count,SA+CA,SA+EC,SA+CA_vs_SA+EC,S.aureus + C.albicans,S.aureus + E.coli,0.0,0.6430532823298121,3.902560553633217,1.2527565125410114,19.342560553633216,15.44,19.342560553633216,15.44,289,5650,1.0,1.0,higher,Fungi vs Gram- (both with Gram+),fragment_based,0.0
carbon_count,SA+CA,CA+EC,SA+CA_vs_CA+EC,S.aureus + C.albicans,C.albicans + E.coli,0.0,0.6484523524428356,4.646614607687271,1.3161834307759614,19.342560553633216,14.695945945945946,19.342560553633216,14.695945945945946,289,148,1.0,1.0,higher,Gram+ vs Gram- (both with Fungi),fragment_based,0.0
nitrogen_count,SA+CA,SA+EC,SA+CA_vs_SA+EC,S.aureus + C.albicans,S.aureus + E.coli,0.0,0.7443425659849835,-1.2591083075604008,0.583125582319586,1.7612456747404843,3.020353982300885,1.7612456747404843,3.020353982300885,289,5650,1.0,1.0,lower,Fungi vs Gram- (both with Gram+),fragment_based,0.0
nitrogen_count,SA+CA,CA+EC,SA+CA_vs_CA+EC,S.aureus + C.albicans,C.albicans + E.coli,0.0,0.8756222989766673,-1.2590245955297859,0.5831417446568047,1.7612456747404843,3.02027027027027,1.7612456747404843,3.02027027027027,289,148,1.0,1.0,lower,Gram+ vs Gram- (both with Fungi),fragment_based,0.0
aromatic_carbocycles,SA+CA,SA+EC,SA+CA_vs_SA+EC,S.aureus + C.albicans,S.aureus + E.coli,0.0,0.45501036056936867,0.4413755090792173,1.4453163618388531,1.4325259515570934,0.9911504424778761,1.4325259515570934,0.9911504424778761,289,5650,1.0,1.0,higher,Fungi vs Gram- (both with Gram+),fragment_based,0.0
aromatic_carbocycles,SA+EC,CA+EC,SA+EC_vs_CA+EC,S.aureus + E.coli,C.albicans + E.coli,0.0,0.442205858201161,-0.42776847644104277,0.6985250737463127,0.9911504424778761,1.4189189189189189,0.9911504424778761,1.4189189189189189,5650,148,1.0,1.0,lower,Gram+ vs Fungi (both with Gram-),fragment_based,0.0
aromatic_heterocycles,SA+CA,CA+EC,SA+CA_vs_CA+EC,S.aureus + C.albicans,C.albicans + E.coli,0.0,0.7990499025361727,0.329374357056018,13.186851211072664,0.356401384083045,0.02702702702702703,0.356401384083045,0.02702702702702703,289,148,1.0,1.0,higher,Gram+ vs Gram- (both with Fungi),fragment_based,0.0
aromatic_heterocycles,SA+EC,CA+EC,SA+EC_vs_CA+EC,S.aureus + E.coli,C.albicans + E.coli,0.0,0.47132506225325843,0.2692561588136809,10.962477876106194,0.29628318584070795,0.02702702702702703,0.29628318584070795,0.02702702702702703,5650,148,1.0,1.0,higher,Gram+ vs Fungi (both with Gram-),fragment_based,0.0
ester,SA+EC,CA+EC,SA+EC_vs_CA+EC,S.aureus + E.coli,C.albicans + E.coli,0.0007,0.4542169776584233,-0.035584788328151165,0.12224188790560471,0.00495575221238938,0.04054054054054054,0.00495575221238938,0.04054054054054054,5650,148,1.0,1.0,lower,Gram+ vs Fungi (both with Gram-),fragment_based,0.0016227272727272726
amine,SA+CA,SA+EC,SA+CA_vs_SA+EC,S.aureus + C.albicans,S.aureus + E.coli,0.0,0.7443425659849835,-1.2591083075604008,0.583125582319586,1.7612456747404843,3.020353982300885,1.7612456747404843,3.020353982300885,289,5650,1.0,1.0,lower,Fungi vs Gram- (both with Gram+),fragment_based,0.0
amine,SA+CA,CA+EC,SA+CA_vs_CA+EC,S.aureus + C.albicans,C.albicans + E.coli,0.0,0.8756222989766673,-1.2590245955297859,0.5831417446568047,1.7612456747404843,3.02027027027027,1.7612456747404843,3.02027027027027,289,148,1.0,1.0,lower,Gram+ vs Gram- (both with Fungi),fragment_based,0.0
lipinski_violations,SA+CA,SA+EC,SA+CA_vs_SA+EC,S.aureus + C.albicans,S.aureus + E.coli,0.0,1.1193957236072187,0.35555256147227243,5.2381265238783525,0.43944636678200694,0.08389380530973452,0.43944636678200694,0.08389380530973452,289,5650,1.0,1.0,higher,Fungi vs Gram- (both with Gram+),fragment_based,0.0
lipinski_violations,SA+CA,CA+EC,SA+CA_vs_CA+EC,S.aureus + C.albicans,C.albicans + E.coli,0.0,0.58913370470258,0.3110679884036286,3.42305590967037,0.43944636678200694,0.12837837837837837,0.43944636678200694,0.12837837837837837,289,148,1.0,1.0,higher,Gram+ vs Gram- (both with Fungi),fragment_based,0.0
membrane_permeability_score,SA+CA,SA+EC,SA+CA_vs_SA+EC,S.aureus + C.albicans,S.aureus + E.coli,0.0,0.9455563999740938,3.047520204979026,-1.3319451658403647,1.7406626297577885,-1.306857575221238,1.7406626297577885,-1.306857575221238,289,5650,1.0,1.0,higher,Fungi vs Gram- (both with Gram+),fragment_based,0.0
membrane_permeability_score,SA+CA,CA+EC,SA+CA_vs_CA+EC,S.aureus + C.albicans,C.albicans + E.coli,0.0,1.0224474104278936,2.9499085757037333,-1.4394612077000906,1.7406626297577885,-1.209245945945945,1.7406626297577885,-1.209245945945945,289,148,1.0,1.0,higher,Gram+ vs Gram- (both with Fungi),fragment_based,0.0
