Comparison,Property,Triple_Mean,Triple_SD,Triple_N,Single_Mean,Single_SD,Single_N,Cohens_d,Effect_Size,Fold_Change,U_Statistic,p_value,p_corrected,Significant,Practically_Significant
TRIPLE vs SA_EC,HBD,0.7905815198002141,0.8897206917871828,2803,1.2129203539823008,1.028953894430181,5650,-0.42878198149177565,small,0.6518000272685261,6027358.5,4.3641165737504215e-79,1.6693315099826091e-127,True,True
TRIPLE vs SA_EC,HBA,2.6821262932572245,1.7859966164845567,2803,3.7295575221238937,1.8853096873102593,5650,-0.5652710818006748,medium,0.7191540222524354,5399147.5,6.955547958260872e-129,1.6693315099826091e-127,True,True
TRIPLE vs SA_EC,RotBonds,2.723510524438102,2.4573972187675315,2803,4.0615929203539824,2.7347661597682076,5650,-0.5056950964222732,medium,0.6705523123180789,5538566.5,4.560465761062915e-114,7.296745217700664e-113,True,True
TRIPLE vs SA_EC,Rings,2.450945415626115,1.467225210949627,2803,3.153451327433628,1.3945470581710535,5650,-0.4950513515570129,small,0.7772263343036173,5663515.0,7.45873569786962e-106,8.950482837443544e-105,True,True
TRIPLE vs SA_EC,Fsp3,0.2790506076059485,0.2903310145560935,2803,0.3669117573852155,0.2525646365644204,5650,-0.33070047124321583,small,0.7605387453228358,5770818.5,4.6989931070499e-92,4.5110333827679036e-91,True,True
TRIPLE vs SA_CA,MW,215.49990688547987,98.29492463364534,2803,295.8384809688582,111.01538345953317,289,-0.8070235400444715,large,0.7284377143221091,238498.5,9.860392026571928e-31,2.0471775255479187e-49,True,True
TRIPLE vs SA_CA,LogP,2.569364181234393,1.7561563013320753,2803,4.355579584775089,1.8447419456306833,289,-1.0122490239718618,large,0.5899017871733064,190306.5,5.970934449514763e-50,2.0471775255479187e-49,True,True
TRIPLE vs SA_CA,TPSA,31.627113806635748,21.58778118319538,2803,26.14916955017301,19.737789280890787,289,0.25571453879701717,small,1.2094882686791288,464312.5,4.051763465426427e-05,3.541740802288755e-22,True,False
TRIPLE vs SA_CA,HBD,0.7905815198002141,0.8897206917871828,2803,0.8685121107266436,1.3083644638117167,289,-0.08319868422319894,negligible,0.9102711522799277,425259.0,0.13045676328475025,3.541740802288755e-22,True,False
TRIPLE vs SA_CA,HBA,2.6821262932572245,1.7859966164845567,2803,2.1453287197231834,1.5984977689263726,289,0.30338502023544617,small,1.2502169334698998,472023.0,2.507809786606695e-06,3.541740802288755e-22,True,True
TRIPLE vs SA_CA,RotBonds,2.723510524438102,2.4573972187675315,2803,5.259515570934256,6.082059322124948,289,-0.8489408732910652,large,0.5178253562911918,298241.5,7.953832589021913e-14,3.541740802288755e-22,True,True
TRIPLE vs SA_CA,Rings,2.450945415626115,1.467225210949627,2803,3.3217993079584773,1.442259830237321,289,-0.5944734729063142,medium,0.7378366928291117,267151.0,1.8446566678587265e-22,3.541740802288755e-22,True,True
TRIPLE vs SA_CA,Fsp3,0.2790506076059485,0.2903310145560935,2803,0.35139777882226947,0.24960963886212353,289,-0.2522740492191925,small,0.7941160258360289,319238.5,2.572873356422393e-09,3.9511306551838203e-13,True,False
TRIPLE vs EC_CA,MW,215.49990688547987,98.29492463364534,2803,256.76439189189193,74.2407999232682,148,-0.42437061284816907,small,0.8392904689689759,148675.5,6.054310009048636e-09,3.9511306551838203e-13,True,True
TRIPLE vs EC_CA,LogP,2.569364181234393,1.7561563013320753,2803,2.867902702702704,1.678334974331632,148,-0.1703637948535186,negligible,0.8959035391308886,187645.5,0.050274544147658744,3.9511306551838203e-13,True,False
TRIPLE vs EC_CA,TPSA,31.627113806635748,21.58778118319538,2803,40.77148648648649,16.180814765728254,148,-0.428293627659093,small,0.7757164757070705,144549.5,4.772218888399927e-10,3.9511306551838203e-13,True,True
TRIPLE vs EC_CA,HBD,0.7905815198002141,0.8897206917871828,2803,0.9662162162162162,0.9215156144973651,148,-0.19704735015490896,negligible,0.818224230282739,184112.0,0.012874749069515561,3.9511306551838203e-13,True,False
TRIPLE vs EC_CA,HBA,2.6821262932572245,1.7859966164845567,2803,3.6486486486486487,1.427927782930029,148,-0.5460997328678963,medium,0.7351012803742023,134646.5,2.63408710345588e-13,3.9511306551838203e-13,True,True
TRIPLE vs EC_CA,RotBonds,2.723510524438102,2.4573972187675315,2803,3.810810810810811,2.7487816753350645,148,-0.4397156101090596,small,0.7146800666965232,156309.5,3.100697018767792e-07,4.022525862185244e-07,True,True
TRIPLE vs EC_CA,Rings,2.450945415626115,1.467225210949627,2803,2.7972972972972974,1.355058346307423,148,-0.23692907560297377,small,0.8761833852962922,172959.5,0.00048524398972266353,0.0005545645596830441,True,False
TRIPLE vs EC_CA,Fsp3,0.2790506076059485,0.2903310145560935,2803,0.24201243586062396,0.24715016328989334,148,0.12845679488315134,negligible,1.1530424319461625,217051.0,0.33890348132688064,0.3389034813268806,False,False
