feature,combo1,combo2,comparison,combo1_name,combo2_name,p_value,effect_size,mean_diff,fold_change,weighted_mean1,weighted_mean2,raw_mean1,raw_mean2,n1,n2,weight1,weight2,direction,biological_context,weighting_strategy,corrected_p_value
num_hbd,SA+CA,CA+EC,SA+CA_vs_CA+EC,S.aureus + C.albicans,C.albicans + E.coli,0.4247,0.0821522021136081,-0.09770410548957265,0.898879667045757,0.8685121107266436,0.9662162162162162,0.8685121107266436,0.9662162162162162,289,148,1.0,1.0,lower,Gram+ vs Gram- (both with Fungi),fragment_based,0.5157071428571429
num_hbd,SA+EC,CA+EC,SA+EC_vs_CA+EC,S.aureus + E.coli,C.albicans + E.coli,0.0039,0.2404036054961126,0.24670413776608457,1.2553301565690944,1.2129203539823008,0.9662162162162162,1.2129203539823008,0.9662162162162162,5650,148,1.0,1.0,higher,Gram+ vs Fungi (both with Gram-),fragment_based,0.0082875
num_hba,SA+CA,SA+EC,SA+CA_vs_SA+EC,S.aureus + C.albicans,S.aureus + E.coli,0.0,0.846214408976416,-1.5842288024007103,0.5752233896372431,2.1453287197231834,3.7295575221238937,2.1453287197231834,3.7295575221238937,289,5650,1.0,1.0,lower,Fungi vs Gram- (both with Gram+),fragment_based,0.0
num_hba,SA+CA,CA+EC,SA+CA_vs_CA+EC,S.aureus + C.albicans,C.albicans + E.coli,0.0,0.9764618040901765,-1.5033199289254653,0.5879789824426502,2.1453287197231834,3.6486486486486487,2.1453287197231834,3.6486486486486487,289,148,1.0,1.0,lower,Gram+ vs Gram- (both with Fungi),fragment_based,0.0
num_hba,SA+EC,CA+EC,SA+EC_vs_CA+EC,S.aureus + E.coli,C.albicans + E.coli,0.6204,0.043155262217549624,0.080908873475245,1.0221750245821042,3.7295575221238937,3.6486486486486487,3.7295575221238937,3.6486486486486487,5650,148,1.0,1.0,higher,Gram+ vs Fungi (both with Gram-),fragment_based,0.7358232558139535
num_rotatable_bonds,SA+CA,SA+EC,SA+CA_vs_SA+EC,S.aureus + C.albicans,S.aureus + E.coli,0.0,0.40147445759675743,1.1979226505802734,1.2949391221796471,5.259515570934256,4.0615929203539824,5.259515570934256,4.0615929203539824,289,5650,1.0,1.0,higher,Fungi vs Gram- (both with Gram+),fragment_based,0.0
num_rotatable_bonds,SA+CA,CA+EC,SA+CA_vs_CA+EC,S.aureus + C.albicans,C.albicans + E.coli,0.0061,0.2791020991369492,1.4487047601234448,1.3801565682593437,5.259515570934256,3.810810810810811,5.259515570934256,3.810810810810811,289,148,1.0,1.0,higher,Gram+ vs Gram- (both with Fungi),fragment_based,0.012444000000000002
num_rotatable_bonds,SA+EC,CA+EC,SA+EC_vs_CA+EC,S.aureus + E.coli,C.albicans + E.coli,0.273,0.09170537962980221,0.2507821095431715,1.0658080712985627,4.0615929203539824,3.810810810810811,4.0615929203539824,3.810810810810811,5650,148,1.0,1.0,higher,Gram+ vs Fungi (both with Gram-),fragment_based,0.3585692307692308
num_atoms,SA+CA,SA+EC,SA+CA_vs_SA+EC,S.aureus + C.albicans,S.aureus + E.coli,0.0,0.3496882697402699,2.358936828245092,1.120954651779515,21.86159169550173,19.502654867256638,21.86159169550173,19.502654867256638,289,5650,1.0,1.0,higher,Fungi vs Gram- (both with Gram+),fragment_based,0.0
num_atoms,SA+CA,CA+EC,SA+CA_vs_CA+EC,S.aureus + C.albicans,C.albicans + E.coli,0.0001,0.4097608718050294,3.0845646684747017,1.1642733252732118,21.86159169550173,18.777027027027028,21.86159169550173,18.777027027027028,289,148,1.0,1.0,higher,Gram+ vs Gram- (both with Fungi),fragment_based,0.00024285714285714289
num_atoms,SA+EC,CA+EC,SA+EC_vs_CA+EC,S.aureus + E.coli,C.albicans + E.coli,0.1899,0.10929742652804797,0.7256278402296097,1.0386444477704146,19.502654867256638,18.777027027027028,19.502654867256638,18.777027027027028,5650,148,1.0,1.0,higher,Gram+ vs Fungi (both with Gram-),fragment_based,0.2679945205479452
num_heavy_atoms,SA+CA,SA+EC,SA+CA_vs_SA+EC,S.aureus + C.albicans,S.aureus + E.coli,0.0,0.3496882697402699,2.358936828245092,1.120954651779515,21.86159169550173,19.502654867256638,21.86159169550173,19.502654867256638,289,5650,1.0,1.0,higher,Fungi vs Gram- (both with Gram+),fragment_based,0.0
num_heavy_atoms,SA+CA,CA+EC,SA+CA_vs_CA+EC,S.aureus + C.albicans,C.albicans + E.coli,0.0,0.4097608718050294,3.0845646684747017,1.1642733252732118,21.86159169550173,18.777027027027028,21.86159169550173,18.777027027027028,289,148,1.0,1.0,higher,Gram+ vs Gram- (both with Fungi),fragment_based,0.0
num_heavy_atoms,SA+EC,CA+EC,SA+EC_vs_CA+EC,S.aureus + E.coli,C.albicans + E.coli,0.1918,0.10929742652804797,0.7256278402296097,1.0386444477704146,19.502654867256638,18.777027027027028,19.502654867256638,18.777027027027028,5650,148,1.0,1.0,higher,Gram+ vs Fungi (both with Gram-),fragment_based,0.2679945205479452
num_rings,SA+CA,SA+EC,SA+CA_vs_SA+EC,S.aureus + C.albicans,S.aureus + E.coli,0.0479,0.120536384427168,0.16834798052484912,1.0533853112176796,3.3217993079584773,3.153451327433628,3.3217993079584773,3.153451327433628,289,5650,1.0,1.0,higher,Fungi vs Gram- (both with Gram+),fragment_based,0.0857157894736842
num_rings,SA+CA,CA+EC,SA+CA_vs_CA+EC,S.aureus + C.albicans,C.albicans + E.coli,0.0002,0.37192888851915823,0.52450201066118,1.1875031342460256,3.3217993079584773,2.7972972972972974,3.3217993079584773,2.7972972972972974,289,148,1.0,1.0,higher,Gram+ vs Gram- (both with Fungi),fragment_based,0.0004744186046511628
num_rings,SA+EC,CA+EC,SA+EC_vs_CA+EC,S.aureus + E.coli,C.albicans + E.coli,0.0027,0.25561427122009395,0.35615403013633085,1.1273207643965628,3.153451327433628,2.7972972972972974,3.153451327433628,2.7972972972972974,5650,148,1.0,1.0,higher,Gram+ vs Fungi (both with Gram-),fragment_based,0.005859574468085107
num_aromatic_rings,SA+CA,SA+EC,SA+CA_vs_SA+EC,S.aureus + C.albicans,S.aureus + E.coli,0.0001,0.22895708815431118,0.27948739933245537,1.1555614034310286,2.0761245674740483,1.796637168141593,2.0761245674740483,1.796637168141593,289,5650,1.0,1.0,higher,Fungi vs Gram- (both with Gram+),fragment_based,0.00024285714285714289
num_aromatic_rings,SA+CA,CA+EC,SA+CA_vs_CA+EC,S.aureus + C.albicans,C.albicans + E.coli,0.3458,0.09857528449665258,0.11666510801458885,1.0595394344350315,2.0761245674740483,1.9594594594594594,2.0761245674740483,1.9594594594594594,289,148,1.0,1.0,higher,Gram+ vs Gram- (both with Fungi),fragment_based,0.43545185185185187
num_aromatic_rings,SA+EC,CA+EC,SA+EC_vs_CA+EC,S.aureus + E.coli,C.albicans + E.coli,0.1177,0.13340304580273946,-0.16282229131786652,0.9169044858101922,1.796637168141593,1.9594594594594594,1.796637168141593,1.9594594594594594,5650,148,1.0,1.0,lower,Gram+ vs Fungi (both with Gram-),fragment_based,0.18189999999999998
num_aliphatic_rings,SA+CA,SA+EC,SA+CA_vs_SA+EC,S.aureus + C.albicans,S.aureus + E.coli,0.0947,0.10121901798147755,-0.11113941880760625,0.9180879577011511,1.245674740484429,1.3568141592920353,1.245674740484429,1.3568141592920353,289,5650,1.0,1.0,lower,Fungi vs Gram- (both with Gram+),fragment_based,0.15332380952380953
num_aliphatic_rings,SA+CA,CA+EC,SA+CA_vs_CA+EC,S.aureus + C.albicans,C.albicans + E.coli,0.0001,0.39250650162277434,0.4078369026465912,1.486773077352383,1.245674740484429,0.8378378378378378,1.245674740484429,0.8378378378378378,289,148,1.0,1.0,higher,Gram+ vs Gram- (both with Fungi),fragment_based,0.00024285714285714289
num_aliphatic_rings,SA+EC,CA+EC,SA+EC_vs_CA+EC,S.aureus + E.coli,C.albicans + E.coli,0.0,0.4748668386078299,0.5189763214541975,1.6194233514130745,1.3568141592920353,0.8378378378378378,1.3568141592920353,0.8378378378378378,5650,148,1.0,1.0,higher,Gram+ vs Fungi (both with Gram-),fragment_based,0.0
num_saturated_rings,SA+CA,SA+EC,SA+CA_vs_SA+EC,S.aureus + C.albicans,S.aureus + E.coli,0.0015,0.1923962943024403,-0.15293382735707506,0.757418269352197,0.47750865051903113,0.6304424778761062,0.47750865051903113,0.6304424778761062,289,5650,1.0,1.0,lower,Fungi vs Gram- (both with Gram+),fragment_based,0.0034000000000000002
num_saturated_rings,SA+CA,CA+EC,SA+CA_vs_CA+EC,S.aureus + C.albicans,C.albicans + E.coli,0.0,0.624565446506043,0.3896708126811933,5.436252328985892,0.47750865051903113,0.08783783783783784,0.47750865051903113,0.08783783783783784,289,148,1.0,1.0,higher,Gram+ vs Gram- (both with Fungi),fragment_based,0.0
num_saturated_rings,SA+EC,CA+EC,SA+EC_vs_CA+EC,S.aureus + E.coli,C.albicans + E.coli,0.0,0.6875822541316056,0.5426046400382684,7.177345132743362,0.6304424778761062,0.08783783783783784,0.6304424778761062,0.08783783783783784,5650,148,1.0,1.0,higher,Gram+ vs Fungi (both with Gram-),fragment_based,0.0
num_heteroatoms,SA+CA,SA+EC,SA+CA_vs_SA+EC,S.aureus + C.albicans,S.aureus + E.coli,0.0,0.7985684651294823,-1.5436237253881253,0.6200455672892347,2.519031141868512,4.062654867256637,2.519031141868512,4.062654867256637,289,5650,1.0,1.0,lower,Fungi vs Gram- (both with Gram+),fragment_based,0.0
num_heteroatoms,SA+CA,CA+EC,SA+CA_vs_CA+EC,S.aureus + C.albicans,C.albicans + E.coli,0.0,0.9803151236345222,-1.5620499392125686,0.6172460413849997,2.519031141868512,4.081081081081081,2.519031141868512,4.081081081081081,289,148,1.0,1.0,lower,Gram+ vs Gram- (both with Fungi),fragment_based,0.0
num_heteroatoms,SA+EC,CA+EC,SA+EC_vs_CA+EC,S.aureus + E.coli,C.albicans + E.coli,0.9123,0.009542898428601046,-0.018426213824443316,0.9954849674734808,4.062654867256637,4.081081081081081,4.062654867256637,4.081081081081081,5650,148,1.0,1.0,lower,Gram+ vs Fungi (both with Gram-),fragment_based,0.9786687500000001
formal_charge,SA+CA,SA+EC,SA+CA_vs_SA+EC,S.aureus + C.albicans,S.aureus + E.coli,0.0,0.691359780566194,0.19911749395229203,3.5626738971080867,0.2768166089965398,0.07769911504424779,0.2768166089965398,0.07769911504424779,289,5650,1.0,1.0,higher,Fungi vs Gram- (both with Gram+),fragment_based,0.0
formal_charge,SA+CA,CA+EC,SA+CA_vs_CA+EC,S.aureus + C.albicans,C.albicans + E.coli,0.0,0.6414062493542961,0.24303282521275604,8.193771626297577,0.2768166089965398,0.033783783783783786,0.2768166089965398,0.033783783783783786,289,148,1.0,1.0,higher,Gram+ vs Gram- (both with Fungi),fragment_based,0.0
formal_charge,SA+EC,CA+EC,SA+EC_vs_CA+EC,S.aureus + E.coli,C.albicans + E.coli,0.0679,0.15945781238066262,0.043915331260464,2.2998938053097344,0.07769911504424779,0.033783783783783786,0.07769911504424779,0.033783783783783786,5650,148,1.0,1.0,higher,Gram+ vs Fungi (both with Gram-),fragment_based,0.11543
fraction_csp3,SA+CA,SA+EC,SA+CA_vs_SA+EC,S.aureus + C.albicans,S.aureus + E.coli,0.2971,0.06147069056328757,-0.015513978562946007,0.9577174122914298,0.35139777882226947,0.3669117573852155,0.35139777882226947,0.3669117573852155,289,5650,1.0,1.0,lower,Fungi vs Gram- (both with Gram+),fragment_based,0.3835974683544303
fraction_csp3,SA+CA,CA+EC,SA+CA_vs_CA+EC,S.aureus + C.albicans,C.albicans + E.coli,0.0,0.44069072487259664,0.10938534296164551,1.4519823230267432,0.35139777882226947,0.24201243586062396,0.35139777882226947,0.24201243586062396,289,148,1.0,1.0,higher,Gram+ vs Gram- (both with Fungi),fragment_based,0.0
fraction_csp3,SA+EC,CA+EC,SA+EC_vs_CA+EC,S.aureus + E.coli,C.albicans + E.coli,0.0,0.49487378466410464,0.12489932152459152,1.5160863782905833,0.3669117573852155,0.24201243586062396,0.3669117573852155,0.24201243586062396,5650,148,1.0,1.0,higher,Gram+ vs Fungi (both with Gram-),fragment_based,0.0
bertz_complexity,SA+CA,SA+EC,SA+CA_vs_SA+EC,S.aureus + C.albicans,S.aureus + E.coli,0.0,0.26844649916974184,81.61206914685965,1.143568315425272,650.0666679565744,568.4545988097148,650.0666679565744,568.4545988097148,289,5650,1.0,1.0,higher,Fungi vs Gram- (both with Gram+),fragment_based,0.0
bertz_complexity,SA+CA,CA+EC,SA+CA_vs_CA+EC,S.aureus + C.albicans,C.albicans + E.coli,0.0228,0.2296695524553488,71.72371247886349,1.1240158833085807,650.0666679565744,578.3429554777109,650.0666679565744,578.3429554777109,289,148,1.0,1.0,higher,Gram+ vs Gram- (both with Fungi),fragment_based,0.0444566037735849
bertz_complexity,SA+EC,CA+EC,SA+EC_vs_CA+EC,S.aureus + E.coli,C.albicans + E.coli,0.695,0.032652596914738076,-9.888356667996163,0.9829022614102243,568.4545988097148,578.3429554777109,568.4545988097148,578.3429554777109,5650,148,1.0,1.0,lower,Gram+ vs Fungi (both with Gram-),fragment_based,0.8148275862068965
balaban_j,SA+CA,SA+EC,SA+CA_vs_SA+EC,S.aureus + C.albicans,S.aureus + E.coli,0.2742,0.06557053799631042,-0.035420283560238186,0.9796874894244308,1.7083466146015216,1.7437668981617598,1.7083466146015216,1.7437668981617598,289,5650,1.0,1.0,lower,Fungi vs Gram- (both with Gram+),fragment_based,0.3585692307692308
balaban_j,SA+CA,CA+EC,SA+CA_vs_CA+EC,S.aureus + C.albicans,C.albicans + E.coli,0.0,0.47473891510475924,-0.2822765192144501,0.8581969060746655,1.7083466146015216,1.9906231338159717,1.7083466146015216,1.9906231338159717,289,148,1.0,1.0,lower,Gram+ vs Gram- (both with Fungi),fragment_based,0.0
balaban_j,SA+EC,CA+EC,SA+EC_vs_CA+EC,S.aureus + E.coli,C.albicans + E.coli,0.0,0.45507840432243,-0.2468562356542119,0.8759904717971427,1.7437668981617598,1.9906231338159717,1.7437668981617598,1.9906231338159717,5650,148,1.0,1.0,lower,Gram+ vs Fungi (both with Gram-),fragment_based,0.0
carbon_count,SA+CA,SA+EC,SA+CA_vs_SA+EC,S.aureus + C.albicans,S.aureus + E.coli,0.0,0.6430532823298121,3.902560553633217,1.2527565125410114,19.342560553633216,15.44,19.342560553633216,15.44,289,5650,1.0,1.0,higher,Fungi vs Gram- (both with Gram+),fragment_based,0.0
carbon_count,SA+CA,CA+EC,SA+CA_vs_CA+EC,S.aureus + C.albicans,C.albicans + E.coli,0.0,0.6484523524428356,4.646614607687271,1.3161834307759614,19.342560553633216,14.695945945945946,19.342560553633216,14.695945945945946,289,148,1.0,1.0,higher,Gram+ vs Gram- (both with Fungi),fragment_based,0.0
carbon_count,SA+EC,CA+EC,SA+EC_vs_CA+EC,S.aureus + E.coli,C.albicans + E.coli,0.1383,0.12468140996978168,0.7440540540540539,1.0506298850574713,15.44,14.695945945945946,15.44,14.695945945945946,5650,148,1.0,1.0,higher,Gram+ vs Fungi (both with Gram-),fragment_based,0.20444347826086956
nitrogen_count,SA+CA,SA+EC,SA+CA_vs_SA+EC,S.aureus + C.albicans,S.aureus + E.coli,0.0,0.7443425659849835,-1.2591083075604008,0.583125582319586,1.7612456747404843,3.020353982300885,1.7612456747404843,3.020353982300885,289,5650,1.0,1.0,lower,Fungi vs Gram- (both with Gram+),fragment_based,0.0
nitrogen_count,SA+CA,CA+EC,SA+CA_vs_CA+EC,S.aureus + C.albicans,C.albicans + E.coli,0.0,0.8756222989766673,-1.2590245955297859,0.5831417446568047,1.7612456747404843,3.02027027027027,1.7612456747404843,3.02027027027027,289,148,1.0,1.0,lower,Gram+ vs Gram- (both with Fungi),fragment_based,0.0
nitrogen_count,SA+EC,CA+EC,SA+EC_vs_CA+EC,S.aureus + E.coli,C.albicans + E.coli,1.0,4.933049087219524e-05,8.371203061496857e-05,1.0000277167349687,3.020353982300885,3.02027027027027,3.020353982300885,3.02027027027027,5650,148,1.0,1.0,higher,Gram+ vs Fungi (both with Gram-),fragment_based,1.0
oxygen_count,SA+CA,SA+EC,SA+CA_vs_SA+EC,S.aureus + C.albicans,S.aureus + E.coli,0.0231,0.1373204582595614,-0.13388063814802337,0.7846781652330396,0.48788927335640137,0.6217699115044247,0.48788927335640137,0.6217699115044247,289,5650,1.0,1.0,lower,Fungi vs Gram- (both with Gram+),fragment_based,0.0444566037735849
oxygen_count,SA+CA,CA+EC,SA+CA_vs_CA+EC,S.aureus + C.albicans,C.albicans + E.coli,0.0253,0.23017896159607448,-0.22832694285981486,0.6812038911013906,0.48788927335640137,0.7162162162162162,0.48788927335640137,0.7162162162162162,289,148,1.0,1.0,lower,Gram+ vs Gram- (both with Fungi),fragment_based,0.04778888888888889
oxygen_count,SA+EC,CA+EC,SA+EC_vs_CA+EC,S.aureus + E.coli,C.albicans + E.coli,0.259,0.09540368540772079,-0.0944463047117915,0.8681315745533478,0.6217699115044247,0.7162162162162162,0.6217699115044247,0.7162162162162162,5650,148,1.0,1.0,lower,Gram+ vs Fungi (both with Gram-),fragment_based,0.34760526315789475
sulfur_count,SA+CA,SA+EC,SA+CA_vs_SA+EC,S.aureus + C.albicans,S.aureus + E.coli,0.0067,0.1644342139629137,-0.10018372783782958,0.7044187664314688,0.23875432525951557,0.33893805309734515,0.23875432525951557,0.33893805309734515,289,5650,1.0,1.0,lower,Fungi vs Gram- (both with Gram+),fragment_based,0.0134
sulfur_count,SA+CA,CA+EC,SA+CA_vs_CA+EC,S.aureus + C.albicans,C.albicans + E.coli,0.1573,0.146477572799531,0.06983540634059665,1.4134256055363321,0.23875432525951557,0.16891891891891891,0.23875432525951557,0.16891891891891891,289,148,1.0,1.0,higher,Gram+ vs Gram- (both with Fungi),fragment_based,0.22920857142857143
sulfur_count,SA+EC,CA+EC,SA+EC_vs_CA+EC,S.aureus + E.coli,C.albicans + E.coli,0.0016,0.2788832163798668,0.17001913417842623,2.0065132743362835,0.33893805309734515,0.16891891891891891,0.33893805309734515,0.16891891891891891,5650,148,1.0,1.0,higher,Gram+ vs Fungi (both with Gram-),fragment_based,0.003547826086956522
halogen_count,SA+CA,SA+EC,SA+CA_vs_SA+EC,S.aureus + C.albicans,S.aureus + E.coli,0.029,0.13608037732493708,-0.05196435679946106,0.3475586312956555,0.02768166089965398,0.07964601769911504,0.02768166089965398,0.07964601769911504,289,5650,1.0,1.0,lower,Fungi vs Gram- (both with Gram+),fragment_based,0.05282142857142857
halogen_count,SA+CA,CA+EC,SA+CA_vs_CA+EC,S.aureus + C.albicans,C.albicans + E.coli,0.0544,0.20119472725468138,-0.053399420181427106,0.3414071510957324,0.02768166089965398,0.08108108108108109,0.02768166089965398,0.08108108108108109,289,148,1.0,1.0,lower,Gram+ vs Gram- (both with Fungi),fragment_based,0.09404745762711864
halogen_count,SA+EC,CA+EC,SA+EC_vs_CA+EC,S.aureus + E.coli,C.albicans + E.coli,1.0,0.0037063400520010495,-0.0014350633819660424,0.9823008849557522,0.07964601769911504,0.08108108108108109,0.07964601769911504,0.08108108108108109,5650,148,1.0,1.0,lower,Gram+ vs Fungi (both with Gram-),fragment_based,1.0
aromatic_carbocycles,SA+CA,SA+EC,SA+CA_vs_SA+EC,S.aureus + C.albicans,S.aureus + E.coli,0.0,0.45501036056936867,0.4413755090792173,1.4453163618388531,1.4325259515570934,0.9911504424778761,1.4325259515570934,0.9911504424778761,289,5650,1.0,1.0,higher,Fungi vs Gram- (both with Gram+),fragment_based,0.0
aromatic_carbocycles,SA+CA,CA+EC,SA+CA_vs_CA+EC,S.aureus + C.albicans,C.albicans + E.coli,0.9211,0.013576055694880908,0.013607032638174532,1.0095897182402374,1.4325259515570934,1.4189189189189189,1.4325259515570934,1.4189189189189189,289,148,1.0,1.0,higher,Gram+ vs Gram- (both with Fungi),fragment_based,0.9786687500000001
aromatic_carbocycles,SA+EC,CA+EC,SA+EC_vs_CA+EC,S.aureus + E.coli,C.albicans + E.coli,0.0,0.442205858201161,-0.42776847644104277,0.6985250737463127,0.9911504424778761,1.4189189189189189,0.9911504424778761,1.4189189189189189,5650,148,1.0,1.0,lower,Gram+ vs Fungi (both with Gram-),fragment_based,0.0
aromatic_heterocycles,SA+CA,SA+EC,SA+CA_vs_SA+EC,S.aureus + C.albicans,S.aureus + E.coli,0.0846,0.1046917606488206,0.06011819824233705,1.2029078972934315,0.356401384083045,0.29628318584070795,0.356401384083045,0.29628318584070795,289,5650,1.0,1.0,higher,Fungi vs Gram- (both with Gram+),fragment_based,0.1414622950819672
aromatic_heterocycles,SA+CA,CA+EC,SA+CA_vs_CA+EC,S.aureus + C.albicans,C.albicans + E.coli,0.0,0.7990499025361727,0.329374357056018,13.186851211072664,0.356401384083045,0.02702702702702703,0.356401384083045,0.02702702702702703,289,148,1.0,1.0,higher,Gram+ vs Gram- (both with Fungi),fragment_based,0.0
aromatic_heterocycles,SA+EC,CA+EC,SA+EC_vs_CA+EC,S.aureus + E.coli,C.albicans + E.coli,0.0,0.47132506225325843,0.2692561588136809,10.962477876106194,0.29628318584070795,0.02702702702702703,0.29628318584070795,0.02702702702702703,5650,148,1.0,1.0,higher,Gram+ vs Fungi (both with Gram-),fragment_based,0.0
aliphatic_hydroxyl,SA+CA,SA+EC,SA+CA_vs_SA+EC,S.aureus + C.albicans,S.aureus + E.coli,0.2586,0.07337173428035908,-0.015734452031723675,0.3054714532871972,0.006920415224913495,0.02265486725663717,0.006920415224913495,0.02265486725663717,289,5650,1.0,1.0,lower,Fungi vs Gram- (both with Gram+),fragment_based,0.34760526315789475
aliphatic_hydroxyl,SA+CA,CA+EC,SA+CA_vs_CA+EC,S.aureus + C.albicans,C.albicans + E.coli,0.6072,0.06928594068760364,-0.006593098288600019,0.5121107266435986,0.006920415224913495,0.013513513513513514,0.006920415224913495,0.013513513513513514,289,148,1.0,1.0,lower,Gram+ vs Gram- (both with Fungi),fragment_based,0.72864
aliphatic_hydroxyl,SA+EC,CA+EC,SA+EC_vs_CA+EC,S.aureus + E.coli,C.albicans + E.coli,0.7202,0.04211957352750137,0.009141353743123654,1.6764601769911505,0.02265486725663717,0.013513513513513514,0.02265486725663717,0.013513513513513514,5650,148,1.0,1.0,higher,Gram+ vs Fungi (both with Gram-),fragment_based,0.8162266666666667
aromatic_hydroxyl,SA+CA,SA+EC,SA+CA_vs_SA+EC,S.aureus + C.albicans,S.aureus + E.coli,0.3739,0.050668499755642124,0.005522246379030531,1.6638445115217553,0.01384083044982699,0.00831858407079646,0.01384083044982699,0.00831858407079646,289,5650,1.0,1.0,higher,Fungi vs Gram- (both with Gram+),fragment_based,0.45949156626506027
aromatic_hydroxyl,SA+CA,CA+EC,SA+CA_vs_CA+EC,S.aureus + C.albicans,C.albicans + E.coli,0.7444,0.056204339427931474,0.007084073693070233,2.0484429065743943,0.01384083044982699,0.006756756756756757,0.01384083044982699,0.006756756756756757,289,148,1.0,1.0,higher,Gram+ vs Gram- (both with Fungi),fragment_based,0.8330739130434782
aromatic_hydroxyl,SA+EC,CA+EC,SA+EC_vs_CA+EC,S.aureus + E.coli,C.albicans + E.coli,1.0,0.014682426750381634,0.0015618273140397022,1.2311504424778759,0.00831858407079646,0.006756756756756757,0.00831858407079646,0.006756756756756757,5650,148,1.0,1.0,higher,Gram+ vs Fungi (both with Gram-),fragment_based,1.0
carboxyl,SA+CA,SA+EC,SA+CA_vs_SA+EC,S.aureus + C.albicans,S.aureus + E.coli,1.0,0.00688826500109612,-0.0009290504332914833,0.9490375247757584,0.01730103806228374,0.01823008849557522,0.01730103806228374,0.01823008849557522,289,5650,1.0,1.0,lower,Fungi vs Gram- (both with Gram+),fragment_based,1.0
carboxyl,SA+CA,CA+EC,SA+CA_vs_CA+EC,S.aureus + C.albicans,C.albicans + E.coli,0.1726,0.1630700546483158,0.01730103806228374,inf,0.01730103806228374,0.0,0.01730103806228374,0.0,289,148,1.0,1.0,higher,Gram+ vs Gram- (both with Fungi),fragment_based,0.24796056338028172
carboxyl,SA+EC,CA+EC,SA+EC_vs_CA+EC,S.aureus + E.coli,C.albicans + E.coli,0.1236,0.1366831895216449,0.01823008849557522,inf,0.01823008849557522,0.0,0.01823008849557522,0.0,5650,148,1.0,1.0,higher,Gram+ vs Fungi (both with Gram-),fragment_based,0.18816716417910448
