"rank","fragment_id","fragment_smiles","total_compounds","tp_count","tn_count","fp_count","fn_count","avg_attribution","max_attribution","activity_rate_percent","positive_appearances","total_appearances","positive_consistency_percent","min_attribution_ever","max_attribution_ever","highest_attribution_example","lowest_attribution_example","inactive_positive_attribution_example","active_negative_attribution_example"
11,206417,C1=CC=C(C=C1)C1=CC(C2=CN=CC=C2)=CN=C1,34,34,0,0,0,0.5978,0.7430,100.00,34,34,100.0,0.134,0.743,HIGHEST ATTR (ACTIVE): CHEMBL4761261 | SMILES: CCNC1=CC(F)=CC2=C1NC1=NC=C(C3=CN=CC(C#N)=C3)C(N3N=C(C(F)(F)F)C=C3C)=C12 | Attribution: 0.743 | Prediction: 0.964 | MW: 479.4 | LogP: 5.73,LOWEST ATTR (ACTIVE): CHEMBL4764767 | SMILES: CCNC1=CC(F)=CC2=C1NC1=NC=C(C3=CN=C4C(=C3)C(=O)C(C(=O)O)=CN4C)C(N3C=CC(C(F)(F)F)=N3)=C12 | Attribution: 0.134 | Prediction: 0.882 | MW: 565.5 | LogP: 5.10,,
12,206420,C1=CC=C(C=C1)C1=C(N2C=CC=N2)C(C2=CN=CC=C2)=CN=C1,33,33,0,0,0,0.6884,0.7616,100.00,33,33,100.0,0.351,0.762,HIGHEST ATTR (ACTIVE): CHEMBL4743624 | SMILES: CCNC1=CC(F)=CC2=C1NC1=NC=C(C3=CN=CC(C#N)=C3)C(N3C=C(CN)C(C(F)(F)F)=N3)=C12 | Attribution: 0.762 | Prediction: 0.952 | MW: 494.5 | LogP: 4.88,LOWEST ATTR (ACTIVE): CHEMBL4764767 | SMILES: CCNC1=CC(F)=CC2=C1NC1=NC=C(C3=CN=C4C(=C3)C(=O)C(C(=O)O)=CN4C)C(N3C=CC(C(F)(F)F)=N3)=C12 | Attribution: 0.351 | Prediction: 0.882 | MW: 565.5 | LogP: 5.10,,
13,206421,C1=CC(C2=CN=C3NC4=C(C=CC=C4)C3=C2N2C=CC=N2)=CN=C1,33,33,0,0,0,0.6864,0.7616,100.00,33,33,100.0,0.343,0.762,HIGHEST ATTR (ACTIVE): CHEMBL4756445 | SMILES: CCNC1=CC(F)=CC2=C1NC1=NC=C(C3=CN=CC(C#N)=C3)C(N3C=CC(CN)=N3)=C12 | Attribution: 0.762 | Prediction: 0.974 | MW: 426.5 | LogP: 3.87,LOWEST ATTR (ACTIVE): CHEMBL4764767 | SMILES: CCNC1=CC(F)=CC2=C1NC1=NC=C(C3=CN=C4C(=C3)C(=O)C(C(=O)O)=CN4C)C(N3C=CC(C(F)(F)F)=N3)=C12 | Attribution: 0.343 | Prediction: 0.882 | MW: 565.5 | LogP: 5.10,,
14,208951,C(CSC1=CC=[N+]C=C1)O[C@@H]1CCCC[C@]23CCC[C@H]2C1CCC3,29,29,0,0,0,0.5483,0.7255,100.00,29,29,100.0,0.365,0.726,HIGHEST ATTR (ACTIVE): CHEMBL5433906 | SMILES: C=C[C@]1(C)C[C@@H](OC(=O)CSC2=CC=[N+](CCO)C=C2)[C@]2(C)[C@H](C)CC[C@]3(CCC(=O)[C@H]32)[C@@H](C)[C@@H]1O | Attribution: 0.726 | Prediction: 0.940 | MW: 516.7 | LogP: 3.97,LOWEST ATTR (ACTIVE): CHEMBL5428449 | SMILES: C=C[C@]1(C)C[C@@H](OC(=O)CSC2=CC=[N+](CC3=CC=C(C4=CC=CC=C4C#N)C=C3)C=C2)[C@]2(C)[C@H](C)CC[C@]3(CCC(=O)[C@H]32)[C@@H](C)[C@@H]1O | Attribution: 0.365 | Prediction: 0.864 | MW: 663.9 | LogP: 7.56,,
15,208946,C(CSC1=CC=[N+]C=C1)OCC1CCCCC1,28,28,0,0,0,0.7577,0.7616,100.00,28,28,100.0,0.718,0.762,HIGHEST ATTR (ACTIVE): CHEMBL5433258 | SMILES: C=C[C@]1(C)C[C@@H](OC(=O)CSC2=CC=[N+](CC#CC)C=C2)[C@]2(C)[C@H](C)CC[C@]3(CCC(=O)[C@H]32)[C@@H](C)[C@@H]1O | Attribution: 0.762 | Prediction: 0.929 | MW: 524.7 | LogP: 5.00,LOWEST ATTR (ACTIVE): CHEMBL5409571 | SMILES: C=C[C@]1(C)C[C@@H](OC(=O)CSC2=CC=[N+](CC3=CC=CC(NC(=O)OC(C)(C)C)=C3)C=C2)[C@]2(C)[C@H](C)CC[C@]3(CCC(=O)[C@H]32)[C@@H](C)[C@@H]1O | Attribution: 0.718 | Prediction: 0.894 | MW: 677.9 | LogP: 7.37,,
16,206029,C1=CN(C2=C3C=CNC3=NC=C2C2=CN=CN=C2)N=C1,28,28,0,0,0,0.7317,0.7616,100.00,28,28,100.0,0.621,0.762,HIGHEST ATTR (ACTIVE): CHEMBL4788174 | SMILES: CCNC1=CC(F)=CC2=C1NC1=NC=C(C3=CN=C(C(N)=O)N=C3)C(N3C=CC(C(F)(F)F)=N3)=C12 | Attribution: 0.762 | Prediction: 0.937 | MW: 484.4 | LogP: 4.05,LOWEST ATTR (ACTIVE): CHEMBL4749587 | SMILES: CCNC1=CC(F)=CC2=C1NC1=NC=C(C3=CN=C(NC4CCNCC4)N=C3)C(N3C=CC(C(F)(F)F)=N3)=C12 | Attribution: 0.621 | Prediction: 0.980 | MW: 539.5 | LogP: 5.11,,
17,206027,C1=CC=C(C=C1)C1=C(N2C=CC=N2)C(C2=CN=CN=C2)=CN=C1,28,28,0,0,0,0.7238,0.7616,100.00,28,28,100.0,0.627,0.762,HIGHEST ATTR (ACTIVE): CHEMBL4791211 | SMILES: CCNC1=CC(F)=CC2=C1NC1=NC=C(C3=CN=C(NCC4(C(=O)O)CC4)N=C3)C(N3C=CC(C(F)(F)F)=N3)=C12 | Attribution: 0.762 | Prediction: 0.985 | MW: 554.5 | LogP: 5.23,LOWEST ATTR (ACTIVE): CHEMBL4757986 | SMILES: CCNC1=CC(F)=CC2=C1NC1=NC=C(C3=CN=C(N4CCNCC4)N=C3)C(N3C=CC(C(F)(F)F)=N3)=C12 | Attribution: 0.627 | Prediction: 0.983 | MW: 525.5 | LogP: 4.36,,
18,206026,C1=CC2=C(C=C1)C1=C(N3C=CC=N3)C(C3=CN=CN=C3)=CN=C1N2,28,28,0,0,0,0.7206,0.7616,100.00,28,28,100.0,0.623,0.762,HIGHEST ATTR (ACTIVE): CHEMBL4741860 | SMILES: CCNC1=CC(F)=CC2=C1NC1=NC=C(C3=CN=C(C4(C(=O)O)CC4)N=C3)C(N3C=CC(C(F)(F)F)=N3)=C12 | Attribution: 0.762 | Prediction: 0.986 | MW: 525.5 | LogP: 5.06,LOWEST ATTR (ACTIVE): CHEMBL4757986 | SMILES: CCNC1=CC(F)=CC2=C1NC1=NC=C(C3=CN=C(N4CCNCC4)N=C3)C(N3C=CC(C(F)(F)F)=N3)=C12 | Attribution: 0.623 | Prediction: 0.983 | MW: 525.5 | LogP: 4.36,,
19,208950,C(CSC1=CC=[N+]C=C1)OCC1CCCC2CCC[C@H]21,28,28,0,0,0,0.7143,0.7402,100.00,28,28,100.0,0.680,0.740,HIGHEST ATTR (ACTIVE): CHEMBL5404849 | SMILES: C=C[C@]1(C)C[C@@H](OC(=O)CSC2=CC=[N+](CCCCCCCCCCCC)C=C2)[C@]2(C)[C@H](C)CC[C@]3(CCC(=O)[C@H]32)[C@@H](C)[C@@H]1O | Attribution: 0.740 | Prediction: 0.755 | MW: 641.0 | LogP: 8.89,LOWEST ATTR (ACTIVE): CHEMBL5409571 | SMILES: C=C[C@]1(C)C[C@@H](OC(=O)CSC2=CC=[N+](CC3=CC=CC(NC(=O)OC(C)(C)C)=C3)C=C2)[C@]2(C)[C@H](C)CC[C@]3(CCC(=O)[C@H]32)[C@@H](C)[C@@H]1O | Attribution: 0.680 | Prediction: 0.894 | MW: 677.9 | LogP: 7.37,,
20,208947,C(CSC1=CC=[N+]C=C1)OCC[C@@H]1CCCC1,28,28,0,0,0,0.6861,0.7360,100.00,28,28,100.0,0.611,0.736,HIGHEST ATTR (ACTIVE): CHEMBL5404849 | SMILES: C=C[C@]1(C)C[C@@H](OC(=O)CSC2=CC=[N+](CCCCCCCCCCCC)C=C2)[C@]2(C)[C@H](C)CC[C@]3(CCC(=O)[C@H]32)[C@@H](C)[C@@H]1O | Attribution: 0.736 | Prediction: 0.755 | MW: 641.0 | LogP: 8.89,LOWEST ATTR (ACTIVE): CHEMBL5433906 | SMILES: C=C[C@]1(C)C[C@@H](OC(=O)CSC2=CC=[N+](CCO)C=C2)[C@]2(C)[C@H](C)CC[C@]3(CCC(=O)[C@H]32)[C@@H](C)[C@@H]1O | Attribution: 0.611 | Prediction: 0.940 | MW: 516.7 | LogP: 3.97,,
21,206032,C1=CC=C(C=C1)C1=CC(C2=CN=CN=C2)=CN=C1,28,28,0,0,0,0.6255,0.7174,100.00,28,28,100.0,0.421,0.717,HIGHEST ATTR (ACTIVE): CHEMBL4764599 | SMILES: CCNC1=CC(F)=CC2=C1NC1=NC=C(C3=CN=C(OC)N=C3)C(N3N=C(C(F)(F)F)C4=C3CNC4)=C12 | Attribution: 0.717 | Prediction: 0.978 | MW: 512.5 | LogP: 4.56,LOWEST ATTR (ACTIVE): CHEMBL4749587 | SMILES: CCNC1=CC(F)=CC2=C1NC1=NC=C(C3=CN=C(NC4CCNCC4)N=C3)C(N3C=CC(C(F)(F)F)=N3)=C12 | Attribution: 0.421 | Prediction: 0.980 | MW: 539.5 | LogP: 5.11,,
22,206031,C1=CC2=C(C=C1)C1=CC(C3=CN=CN=C3)=CN=C1N2,28,28,0,0,0,0.6255,0.7219,100.00,28,28,100.0,0.421,0.722,HIGHEST ATTR (ACTIVE): CHEMBL4764599 | SMILES: CCNC1=CC(F)=CC2=C1NC1=NC=C(C3=CN=C(OC)N=C3)C(N3N=C(C(F)(F)F)C4=C3CNC4)=C12 | Attribution: 0.722 | Prediction: 0.978 | MW: 512.5 | LogP: 4.56,LOWEST ATTR (ACTIVE): CHEMBL4749587 | SMILES: CCNC1=CC(F)=CC2=C1NC1=NC=C(C3=CN=C(NC4CCNCC4)N=C3)C(N3C=CC(C(F)(F)F)=N3)=C12 | Attribution: 0.421 | Prediction: 0.980 | MW: 539.5 | LogP: 5.11,,
23,208948,C(CSC1=CC=[N+]C=C1)O[C@@H]1CCCCC2CCCC1C2,28,28,0,0,0,0.5937,0.7616,100.00,28,28,100.0,0.462,0.762,HIGHEST ATTR (ACTIVE): CHEMBL5433906 | SMILES: C=C[C@]1(C)C[C@@H](OC(=O)CSC2=CC=[N+](CCO)C=C2)[C@]2(C)[C@H](C)CC[C@]3(CCC(=O)[C@H]32)[C@@H](C)[C@@H]1O | Attribution: 0.762 | Prediction: 0.940 | MW: 516.7 | LogP: 3.97,LOWEST ATTR (ACTIVE): CHEMBL5429311 | SMILES: C=C[C@]1(C)C[C@@H](OC(=O)CSC2=CC=[N+](CCCCCCCCCC)C=C2)[C@]2(C)[C@H](C)CC[C@]3(CCC(=O)[C@H]32)[C@@H](C)[C@@H]1O | Attribution: 0.462 | Prediction: 0.844 | MW: 612.9 | LogP: 8.11,,
24,208945,C(CSC1=CC=[N+]C=C1)O[C@@H]1CCCCCCC1,28,28,0,0,0,0.5780,0.7416,100.00,28,28,100.0,0.451,0.742,HIGHEST ATTR (ACTIVE): CHEMBL5433906 | SMILES: C=C[C@]1(C)C[C@@H](OC(=O)CSC2=CC=[N+](CCO)C=C2)[C@]2(C)[C@H](C)CC[C@]3(CCC(=O)[C@H]32)[C@@H](C)[C@@H]1O | Attribution: 0.742 | Prediction: 0.940 | MW: 516.7 | LogP: 3.97,LOWEST ATTR (ACTIVE): CHEMBL5429311 | SMILES: C=C[C@]1(C)C[C@@H](OC(=O)CSC2=CC=[N+](CCCCCCCCCC)C=C2)[C@]2(C)[C@H](C)CC[C@]3(CCC(=O)[C@H]32)[C@@H](C)[C@@H]1O | Attribution: 0.451 | Prediction: 0.844 | MW: 612.9 | LogP: 8.11,,
25,208949,C(CSC1=CC=[N+]C=C1)O[C@@H]1CCCCC2CCC[C@H]2C1,28,28,0,0,0,0.5356,0.7042,100.00,28,28,100.0,0.380,0.704,HIGHEST ATTR (ACTIVE): CHEMBL5433906 | SMILES: C=C[C@]1(C)C[C@@H](OC(=O)CSC2=CC=[N+](CCO)C=C2)[C@]2(C)[C@H](C)CC[C@]3(CCC(=O)[C@H]32)[C@@H](C)[C@@H]1O | Attribution: 0.704 | Prediction: 0.940 | MW: 516.7 | LogP: 3.97,LOWEST ATTR (ACTIVE): CHEMBL5429311 | SMILES: C=C[C@]1(C)C[C@@H](OC(=O)CSC2=CC=[N+](CCCCCCCCCC)C=C2)[C@]2(C)[C@H](C)CC[C@]3(CCC(=O)[C@H]32)[C@@H](C)[C@@H]1O | Attribution: 0.380 | Prediction: 0.844 | MW: 612.9 | LogP: 8.11,,
26,206972,C(CSC1=CC=CC=C1)C1=NC=CS1,25,25,0,0,0,0.7508,0.7616,100.00,25,25,100.0,0.695,0.762,HIGHEST ATTR (ACTIVE): CHEMBL5402618 | SMILES: CC(=O)NC1=CC=C(S(=O)(=O)C/C(=N/OCC2=CC=C(Cl)C=C2Cl)C2=NC=CS2)C=C1 | Attribution: 0.762 | Prediction: 0.970 | MW: 498.4 | LogP: 4.80,LOWEST ATTR (ACTIVE): CHEMBL5436730 | SMILES: CC(=O)NC1=CC=C(S(=O)(=O)C/C(=N/NC(=O)C2=CC=CC=C2)C2=NC=CS2)C=C1 | Attribution: 0.695 | Prediction: 0.658 | MW: 442.5 | LogP: 2.71,,
27,207049,C1=CN(C2=CC=NC=C2C2=CN=CN=C2)N=C1,22,22,0,0,0,0.6517,0.6926,100.00,22,22,100.0,0.521,0.693,HIGHEST ATTR (ACTIVE): CHEMBL4761668 | SMILES: CCNC1=CC(F)=CC2=C1NC1=NC=C(C3=CN=C(C(C)(C)O)N=C3)C(N3C=CC(C(F)(F)F)=N3)=C12 | Attribution: 0.693 | Prediction: 0.984 | MW: 499.5 | LogP: 5.18,LOWEST ATTR (ACTIVE): CHEMBL4757046 | SMILES: CCNC1=CC(F)=CC2=C1NC1=NC=C(C3=CN=C(OC)N=C3)C(N3N=CC4=C3CNC4)=C12 | Attribution: 0.521 | Prediction: 0.967 | MW: 444.5 | LogP: 3.54,,
28,206658,C1=CN(CC2=NOC=C2)C=N1,22,22,0,0,0,0.6410,0.7616,100.00,22,22,100.0,0.312,0.762,HIGHEST ATTR (ACTIVE): CHEMBL4798122 | SMILES: C[C@H](O)C1=NC=CN1CC1=NOC(C2=CC=C(C#C[C@@H]3[C@H]4CN(CCCC(=O)O)C[C@@H]34)C=C2)=C1 | Attribution: 0.762 | Prediction: 0.948 | MW: 460.5 | LogP: 3.03,LOWEST ATTR (ACTIVE): CHEMBL4786779 | SMILES: C[C@H](O)C1=NC=CN1[C@H](CN)C1=NOC(C2=CC=C(C#C[C@@H]3[C@H]4CN(C=O)C[C@@H]34)C=C2)=C1 | Attribution: 0.312 | Prediction: 0.965 | MW: 431.5 | LogP: 1.83,,
29,207411,C(C#CC1CC1)#CC1=CC=CC=C1,21,21,0,0,0,0.7324,0.7616,100.00,21,21,100.0,0.652,0.762,HIGHEST ATTR (ACTIVE): CHEMBL4207362 | SMILES: CC(C)(N)[C@H](NC(=O)C1=CC=C(C#CC#CC2CC2)C=C1O)C(=O)NO | Attribution: 0.762 | Prediction: 0.989 | MW: 355.4 | LogP: 0.50,LOWEST ATTR (ACTIVE): CHEMBL3827035 | SMILES: NC1=CC(N2C[C@@H](C(=O)NO)OC2=O)=CC=C1C#CC#CC1CC1 | Attribution: 0.652 | Prediction: 0.959 | MW: 325.3 | LogP: 0.86,,
30,208100,C1N[C@@H]2CCN[C@H]12,21,21,0,0,0,0.6739,0.7616,100.00,21,21,100.0,0.490,0.762,HIGHEST ATTR (ACTIVE): CHEMBL340423 | SMILES: O=C(OCC1=CC=CC=C1)N1CC[C@@H]2[C@H]1C(=O)N2S(=O)(=O)[O-] | Attribution: 0.762 | Prediction: 0.989 | MW: 325.3 | LogP: 0.07,LOWEST ATTR (ACTIVE): CHEMBL129226 | SMILES: CN1C=CN=C1SCC(=O)N1CC[C@@H]2[C@H]1C(=O)N2S(=O)(=O)[O-] | Attribution: 0.490 | Prediction: 0.996 | MW: 345.4 | LogP: -1.22,,
31,205637,C1COC2=CC=C(N3COCC3)N=C2N1,21,21,0,0,0,0.6437,0.7616,100.00,21,21,100.0,0.258,0.762,HIGHEST ATTR (ACTIVE): CHEMBL5423121 | SMILES: O=C1COC2=CC=C(N3CC(CCCNC4CC5=CC=CC(Cl)=C5C4)OC3=O)N=C2N1 | Attribution: 0.762 | Prediction: 0.960 | MW: 442.9 | LogP: 2.93,LOWEST ATTR (ACTIVE): CHEMBL5403121 | SMILES: CC(C)(N)COC1=CC(C#N)=C2CC(CNCCC3CN(C4=CC=C5OCC(=O)NC5=N4)C(=O)O3)CC2=C1 | Attribution: 0.258 | Prediction: 0.972 | MW: 520.6 | LogP: 2.12,,
32,208910,C1=CC=C(C2=CC3=CN=CN=C3N=C2)C=C1,21,21,0,0,0,0.6300,0.7571,100.00,21,21,100.0,0.453,0.757,HIGHEST ATTR (ACTIVE): CHEMBL4551132 | SMILES: NC1=NC=C2C=C(C3=CC=CC=C3C3=CC=CN=C3)C(N)=NC2=N1 | Attribution: 0.757 | Prediction: 0.624 | MW: 314.4 | LogP: 2.92,LOWEST ATTR (ACTIVE): CHEMBL4518489 | SMILES: NC1=NC=C2C=C(C3=C(Cl)C=CC=C3Cl)C(N3C[C@@H]4[C@@H](N)[C@@H]4C3)=NC2=N1 | Attribution: 0.453 | Prediction: 0.971 | MW: 387.3 | LogP: 2.97,,
33,207818,C1=C(OCCC1)C1=CC(OCC2=CC=CC=C2)=CC=C1,20,20,0,0,0,0.6087,0.6775,100.00,20,20,100.0,0.431,0.677,HIGHEST ATTR (ACTIVE): CHEMBL4752288 | SMILES: CC1(C)CCC2=C(C3=NN=CO3)C=C3C(OCC4=CC=C(F)C=C4)=CC=CC3=C2O1 | Attribution: 0.677 | Prediction: 0.938 | MW: 404.4 | LogP: 5.71,LOWEST ATTR (ACTIVE): CHEMBL4740685 | SMILES: CC1CN(C(=O)C2=CC3=C(OCC4=C(Cl)C=CC=C4Cl)C=CC=C3C3=C2CCC(C)(C)O3)CC(C)O1 | Attribution: 0.431 | Prediction: 0.959 | MW: 528.5 | LogP: 7.08,,
34,207820,C(OCC1=CC=CC=C1)C1=CC=C2CCCOC2=C1,18,18,0,0,0,0.6763,0.7426,100.00,18,18,100.0,0.551,0.743,HIGHEST ATTR (ACTIVE): CHEMBL4752288 | SMILES: CC1(C)CCC2=C(C3=NN=CO3)C=C3C(OCC4=CC=C(F)C=C4)=CC=CC3=C2O1 | Attribution: 0.743 | Prediction: 0.938 | MW: 404.4 | LogP: 5.71,LOWEST ATTR (ACTIVE): CHEMBL4743452 | SMILES: CC1(C)CCC2=C(CN3C=NN=N3)C=C3C(OCC4=CC=CC=C4)=CC=CC3=C2O1 | Attribution: 0.551 | Prediction: 0.905 | MW: 400.5 | LogP: 4.56,,
