rank,fragment_id,fragment_smiles,total_compounds,tp_count,tn_count,fp_count,fn_count,avg_attribution,max_attribution,activity_rate_percent,positive_appearances,total_appearances,positive_consistency_percent,min_attribution_ever,max_attribution_ever,highest_attribution_example,lowest_attribution_example,inactive_positive_attribution_example,active_negative_attribution_example,mol,pathogen,pathogen_class,fragment_type,reliability_score,importance_tier
12,4202,C1OCCN1C1=CC=C(C=C1)C1=CC=NN1,55,55,0,0,0,0.6888,0.7616,100.0,55,55,100.0,0.567,0.762,HIGHEST ATTR (ACTIVE): CHEMBL400333 | SMILES: O=C(NC[C@H]1CN(C2=CC=C3C(=C2)CCCC2=C3NN=C2C2=CC=NO2)C(=O)O1)C1=CC=CN=C1 | Attribution: 0.762 | Prediction: 0.977 | MW: 470.5 | LogP: 3.37,LOWEST ATTR (ACTIVE): CHEMBL247940 | SMILES: CCCC1=NNC2=C1CCCC1=CC(N3C[C@H](CNC(C)=O)OC3=O)=CC=C12 | Attribution: 0.567 | Prediction: 0.989 | MW: 382.5 | LogP: 2.98,,,<rdkit.Chem.rdchem.Mol object at 0x0000021688333A70>,SA,Gram+,scaffold,4.02535169073515,High_Impact
13,4197,C1OCCN1C1=CC=C2C(=C1)CCCC1=C2NN=C1,55,55,0,0,0,0.6716,0.7616,100.0,55,55,100.0,0.554,0.762,HIGHEST ATTR (ACTIVE): CHEMBL401265 | SMILES: O=C(NC[C@H]1CN(C2=CC=C3C(=C2)CCCC2=C3NN=C2C2=CC=NO2)C(=O)O1)C(F)F | Attribution: 0.762 | Prediction: 0.997 | MW: 443.4 | LogP: 2.93,LOWEST ATTR (ACTIVE): CHEMBL400479 | SMILES: CC(=O)NC[C@H]1CN(C2=CC=C3C(=C2)CCCC2=C3NN=C2NC(=O)CO)C(=O)O1 | Attribution: 0.554 | Prediction: 0.988 | MW: 413.4 | LogP: 0.96,,,<rdkit.Chem.rdchem.Mol object at 0x0000021688333AE0>,SA,Gram+,scaffold,4.02535169073515,High_Impact
14,6037,C1=CN=CC(C2=CC=C(NCCCN3C=CN=N3)C=C2)=C1,54,54,0,0,0,0.7261,0.7616,100.0,54,54,100.0,0.503,0.762,HIGHEST ATTR (ACTIVE): CHEMBL522128 | SMILES: CN1C[C@@H]2[C@H](C1)[C@@]2(C#N)C1=CC=C(C2=CC=C(N3C[C@H](CN4C=CN=N4)OC3=O)C=C2F)C=N1 | Attribution: 0.762 | Prediction: 0.999 | MW: 459.5 | LogP: 2.46,LOWEST ATTR (ACTIVE): CHEMBL388012 | SMILES: CC1=NC=CN1CC(=O)C1=CC=C(C2=CC=C(N3C[C@H](CN4C=CN=N4)OC3=O)C=C2F)C=N1 | Attribution: 0.503 | Prediction: 0.991 | MW: 461.5 | LogP: 2.89,,,<rdkit.Chem.rdchem.Mol object at 0x0000021688333B50>,SA,Gram+,scaffold,4.007333185232471,High_Impact
15,3186,C1=NC=NC(C2=CN=CS2)=C1,62,51,11,0,0,0.2629,0.7616,82.26,45,62,72.6,-0.725,0.762,HIGHEST ATTR (ACTIVE): CHEMBL3585481 | SMILES: CC1=C(C2=CC(C3=CC=CC=C3)=NC(N)=N2)SC(C2=CC=CC=C2)=N1 | Attribution: 0.762 | Prediction: 0.589 | MW: 344.4 | LogP: 4.82,LOWEST ATTR (INACTIVE): CHEMBL3827106 | SMILES: CCCCC1=CC=C(C2=NC(C)=C(C3=CC=NC(N=C(N(C)C)N(C)C)=N3)S2)C=C1 | Attribution: -0.725 | Prediction: 0.199 | MW: 422.6 | LogP: 5.03,INACTIVE w/ POS ATTR: CHEMBL4208113 | SMILES: CC1=C(C2=CC=NC(C3=CC=CN=C3)=N2)SC(C2=CC=C(C3=CC=CC=C3)C=C2)=N1 | Attribution: 0.045 | Prediction: 0.137 | MW: 406.5,ACTIVE w/ NEG ATTR: CHEMBL4168229 | SMILES: CCCCCCCCOC1=CC=C(C2=NC(C)=C(C3=CC=NC(NC(=N)N)=N3)S2)C=C1 | Attribution: -0.609 | Prediction: 0.924 | MW: 438.6,<rdkit.Chem.rdchem.Mol object at 0x0000021688333BC0>,SA,Gram+,scaffold,3.0079158113602524,High_Impact
16,3189,C1=CC=C(C2=NC=C(C3=CC=NC=N3)S2)C=C1,61,50,11,0,0,0.5294,0.7616,81.97,54,61,88.5,-0.762,0.762,HIGHEST ATTR (ACTIVE): CHEMBL3828574 | SMILES: CC1=C(C2=CC=NC(N)=N2)SC(C2=CC=C(C3=CCCC3)C=C2)=N1 | Attribution: 0.762 | Prediction: 0.955 | MW: 334.4 | LogP: 4.73,LOWEST ATTR (INACTIVE): CHEMBL4161829 | SMILES: CCCCCCCCOC1=CC=C(C2=NC(C)=C(C3=CC=NC(NC)=N3)S2)C=C1 | Attribution: -0.762 | Prediction: 0.213 | MW: 410.6 | LogP: 6.36,INACTIVE w/ POS ATTR: CHEMBL4208113 | SMILES: CC1=C(C2=CC=NC(C3=CC=CN=C3)=N2)SC(C2=CC=C(C3=CC=CC=C3)C=C2)=N1 | Attribution: 0.629 | Prediction: 0.137 | MW: 406.5,,<rdkit.Chem.rdchem.Mol object at 0x0000021688333C30>,SA,Gram+,scaffold,3.6525139307649064,High_Impact
17,3411,C1=NC=CC(CCC[C@@H]2CCN(C3CCC3)CC2)=C1,49,49,0,0,0,0.7334,0.7616,100.0,49,49,100.0,0.663,0.762,HIGHEST ATTR (ACTIVE): CHEMBL2382385 | SMILES: COC1=CC=C2N=CC=C([C@@H](O)CC[C@@H]3CCN(C4CC(C5=CC=CC(SC)=C5)C4)C[C@@H]3C(=O)O)C2=C1 | Attribution: 0.762 | Prediction: 0.973 | MW: 520.7 | LogP: 5.75,LOWEST ATTR (ACTIVE): CHEMBL4102476 | SMILES: COC1=CC=C2N=CC(F)=C([C@@H](O)CC[C@@H]3CCN(C4CC(C5=CC=C(F)S5)C4)C[C@@H]3C(=O)O)C2=C1 | Attribution: 0.663 | Prediction: 0.993 | MW: 516.6 | LogP: 5.37,,,<rdkit.Chem.rdchem.Mol object at 0x0000021688333CA0>,SA,Gram+,scaffold,3.912023005428146,High_Impact
18,3401,C1=NC=CC(CCCCCCNC2CCC2)=C1,49,49,0,0,0,0.5742,0.6452,100.0,49,49,100.0,0.443,0.645,HIGHEST ATTR (ACTIVE): CHEMBL2382342 | SMILES: COC1=CC=C2N=CC=C([C@@H](O)CC[C@@H]3CCN(C4CC(C5=CC=CC(F)=C5)C4)C[C@@H]3C(=O)O)C2=C1 | Attribution: 0.645 | Prediction: 0.957 | MW: 492.6 | LogP: 5.17,LOWEST ATTR (ACTIVE): CHEMBL2382366 | SMILES: COC1=CC=C2N=CC=C([C@@H](O)CC[C@@H]3CCN(C4CC(C5=CC=CC(C#N)=C5)C4)C[C@@H]3C(=O)O)C2=C1 | Attribution: 0.443 | Prediction: 0.658 | MW: 499.6 | LogP: 4.90,,,<rdkit.Chem.rdchem.Mol object at 0x0000021688333D10>,SA,Gram+,scaffold,3.912023005428146,High_Impact
19,1873,C1=C(OCO1)C1=CC=C(C2=CC=CC=C2)C2=[N+]CCC=C12,49,49,0,0,0,0.5442,0.7048,100.0,49,49,100.0,0.115,0.705,HIGHEST ATTR (ACTIVE): CHEMBL4545530 | SMILES: CCC1=CC2=C3C=CC(OC)=C(OC)C3=C(CC(C)C)[N+]3=C2C2=C(C=C4OCOC4=C12)CC3 | Attribution: 0.705 | Prediction: 0.979 | MW: 444.6 | LogP: 5.50,LOWEST ATTR (ACTIVE): CHEMBL4288526 | SMILES: COC1=CC=C2C(=C1OC)C=[N+]1CCC3=C4C(=C5OCOC5=C3)C(CC3=CC=CC=C3[N+](=O)[O-])=CC2=C41 | Attribution: 0.115 | Prediction: 0.818 | MW: 495.5 | LogP: 5.23,,,<rdkit.Chem.rdchem.Mol object at 0x0000021688333D80>,SA,Gram+,scaffold,3.912023005428146,High_Impact
20,3403,C1CC(N2CCCCC2)C1,49,49,0,0,0,0.5117,0.7191,100.0,49,49,100.0,0.21,0.719,HIGHEST ATTR (ACTIVE): CHEMBL2382340 | SMILES: COC1=CC=C2N=CC=C([C@H](O)CC[C@@H]3CCN(C4CC(C5=CC=CC=C5)C4)C[C@@H]3C(=O)O)C2=C1 | Attribution: 0.719 | Prediction: 0.797 | MW: 474.6 | LogP: 5.03,LOWEST ATTR (ACTIVE): CHEMBL4078201 | SMILES: COC1=CC=C2N=CC(F)=C([C@@H](O)CC[C@@H]3CCN(C4CC(C5=CC(F)=CC=C5F)C4)C[C@@H]3C(=O)O)C2=N1 | Attribution: 0.210 | Prediction: 0.993 | MW: 529.6 | LogP: 4.84,,,<rdkit.Chem.rdchem.Mol object at 0x0000021688333DF0>,SA,Gram+,scaffold,3.912023005428146,High_Impact
21,8851,C1=CC2=C(C=NN2)CCC1,49,49,0,0,0,0.2837,0.5508,100.0,49,49,100.0,0.101,0.551,HIGHEST ATTR (ACTIVE): CHEMBL1929496 | SMILES: ClC1=CC=C2NC3=C(CCCC4=C3N(C3=CC=CC=C3)N=C4)C2=C1 | Attribution: 0.551 | Prediction: 0.911 | MW: 333.8 | LogP: 5.16,LOWEST ATTR (ACTIVE): CHEMBL392018 | SMILES: CC(=O)NC[C@H]1CN(C2=CC=C3C(=C2)CCCC2=C3NN=C2C2=NN(C)C(C)=C2)C(=O)O1 | Attribution: 0.101 | Prediction: 0.867 | MW: 434.5 | LogP: 2.74,,,<rdkit.Chem.rdchem.Mol object at 0x0000021688333E60>,SA,Gram+,scaffold,3.912023005428146,High_Impact
22,3415,C1=CC=C2C(CCC[C@@H]3CCN(C4CCC4)CC3)=CC=NC2=C1,48,48,0,0,0,0.7404,0.7616,100.0,48,48,100.0,0.692,0.762,HIGHEST ATTR (ACTIVE): CHEMBL4079869 | SMILES: COC1=CC=C2N=CC(F)=C([C@@H](O)CC[C@@H]3CCN(C4CC(C5=CC=CC(F)=C5F)C4)C[C@@H]3C(=O)O)C2=C1 | Attribution: 0.762 | Prediction: 0.987 | MW: 528.6 | LogP: 5.44,LOWEST ATTR (ACTIVE): CHEMBL4102476 | SMILES: COC1=CC=C2N=CC(F)=C([C@@H](O)CC[C@@H]3CCN(C4CC(C5=CC=C(F)S5)C4)C[C@@H]3C(=O)O)C2=C1 | Attribution: 0.692 | Prediction: 0.993 | MW: 516.6 | LogP: 5.37,,,<rdkit.Chem.rdchem.Mol object at 0x0000021688333ED0>,SA,Gram+,scaffold,3.8918202981106265,High_Impact
23,3408,C(CCC[C@@H]1CCN(C2CCC2)CC1)C1=CC=CC=C1,48,48,0,0,0,0.6702,0.7616,100.0,48,48,100.0,0.504,0.762,HIGHEST ATTR (ACTIVE): CHEMBL4099086 | SMILES: COC1=CC=C2N=CC(F)=C([C@@H](O)CC[C@@H]3CCN(C4CC(C5=CN=CC(F)=C5)C4)C[C@@H]3C(=O)O)C2=C1 | Attribution: 0.762 | Prediction: 0.977 | MW: 511.6 | LogP: 4.70,LOWEST ATTR (ACTIVE): CHEMBL2382366 | SMILES: COC1=CC=C2N=CC=C([C@@H](O)CC[C@@H]3CCN(C4CC(C5=CC=CC(C#N)=C5)C4)C[C@@H]3C(=O)O)C2=C1 | Attribution: 0.504 | Prediction: 0.658 | MW: 499.6 | LogP: 4.90,,,<rdkit.Chem.rdchem.Mol object at 0x0000021688333F40>,SA,Gram+,scaffold,3.8918202981106265,High_Impact
24,3406,C1=CC=C2C(CCCCCCNC3CCC3)=CC=NC2=C1,48,48,0,0,0,0.5887,0.6553,100.0,48,48,100.0,0.429,0.655,HIGHEST ATTR (ACTIVE): CHEMBL2382385 | SMILES: COC1=CC=C2N=CC=C([C@@H](O)CC[C@@H]3CCN(C4CC(C5=CC=CC(SC)=C5)C4)C[C@@H]3C(=O)O)C2=C1 | Attribution: 0.655 | Prediction: 0.973 | MW: 520.7 | LogP: 5.75,LOWEST ATTR (ACTIVE): CHEMBL2382366 | SMILES: COC1=CC=C2N=CC=C([C@@H](O)CC[C@@H]3CCN(C4CC(C5=CC=CC(C#N)=C5)C4)C[C@@H]3C(=O)O)C2=C1 | Attribution: 0.429 | Prediction: 0.658 | MW: 499.6 | LogP: 4.90,,,<rdkit.Chem.rdchem.Mol object at 0x00000216887E8040>,SA,Gram+,scaffold,3.8918202981106265,High_Impact
25,3399,C(CCCCCCNC1CCC1)C1=CC=CC=C1,48,48,0,0,0,0.5013,0.6673,100.0,48,48,100.0,0.18,0.667,HIGHEST ATTR (ACTIVE): CHEMBL4060724 | SMILES: COC1=CC=C2N=CC(F)=C([C@@H](O)CC[C@@H]3CCN(C4CC(C5=CC=CC=N5)C4)C[C@@H]3C(=O)O)C2=C1 | Attribution: 0.667 | Prediction: 0.958 | MW: 493.6 | LogP: 4.56,LOWEST ATTR (ACTIVE): CHEMBL2382366 | SMILES: COC1=CC=C2N=CC=C([C@@H](O)CC[C@@H]3CCN(C4CC(C5=CC=CC(C#N)=C5)C4)C[C@@H]3C(=O)O)C2=C1 | Attribution: 0.180 | Prediction: 0.658 | MW: 499.6 | LogP: 4.90,,,<rdkit.Chem.rdchem.Mol object at 0x00000216887E80B0>,SA,Gram+,scaffold,3.8918202981106265,High_Impact
26,8855,C1=CC=C2C(=C1)CCCC1=C2NN=C1,48,48,0,0,0,0.294,0.4962,100.0,46,48,95.8,0.071,0.496,HIGHEST ATTR (ACTIVE): CHEMBL251535 | SMILES: NC[C@H]1CN(C2=CC=C3C(=C2)CCCC2=C3NN=C2C2=CC=NO2)C(=O)O1 | Attribution: 0.496 | Prediction: 0.950 | MW: 365.4 | LogP: 2.50,LOWEST ATTR (ACTIVE): CHEMBL250515 | SMILES: CC(=O)NC[C@H]1CN(C2=CC(F)=C3C(=C2)CCCC2=C3NN=C2C2=NN(C)C(C)=C2)C(=O)O1 | Attribution: 0.071 | Prediction: 0.890 | MW: 452.5 | LogP: 2.87,,,<rdkit.Chem.rdchem.Mol object at 0x00000216887E8120>,SA,Gram+,scaffold,3.72836384558998,High_Impact
27,4830,C1=CC=C(C2=C3SC=NC3=CC=C2)N=C1,47,47,0,0,0,0.7173,0.7616,100.0,47,47,100.0,0.577,0.762,HIGHEST ATTR (ACTIVE): CHEMBL3321955 | SMILES: CCNC(=O)NC1=NC2=CC(C3=CN=C(C(O)CC)N=C3)=CC(C3=CC=CC=N3)=C2S1 | Attribution: 0.762 | Prediction: 0.987 | MW: 434.5 | LogP: 4.40,LOWEST ATTR (ACTIVE): CHEMBL3322024 | SMILES: CCNC(=O)NC1=NC2=CC(C3=CN=C(C(C)(C)O)N=C3)=CC(C3=CC(CN4CC[C@H](F)C4)=CC=N3)=C2S1 | Attribution: 0.577 | Prediction: 0.996 | MW: 535.6 | LogP: 4.73,,,<rdkit.Chem.rdchem.Mol object at 0x00000216887E8190>,SA,Gram+,scaffold,3.871201010907891,High_Impact
28,4825,C(C1=CC=CC=N1)C1=CN=CS1,47,47,0,0,0,0.5588,0.6712,100.0,47,47,100.0,0.38,0.671,HIGHEST ATTR (ACTIVE): CHEMBL3094360 | SMILES: CCNC(=O)NC1=NC2=CC(C3=NC(N4CCC(C)(C(=O)O)CC4)=NS3)=CC(C3=CC=CC=N3)=C2S1 | Attribution: 0.671 | Prediction: 0.973 | MW: 523.6 | LogP: 4.71,LOWEST ATTR (ACTIVE): CHEMBL3322023 | SMILES: CCNC(=O)NC1=NC2=CC(C3=CN=C(C(C)(C)O)N=C3)=CC(C3=CC(CN4CC[C@@H](F)C4)=CC=N3)=C2S1 | Attribution: 0.380 | Prediction: 0.994 | MW: 535.6 | LogP: 4.73,,,<rdkit.Chem.rdchem.Mol object at 0x00000216887E8200>,SA,Gram+,scaffold,3.871201010907891,High_Impact
