"rank","fragment_id","fragment_smiles","total_compounds","tp_count","tn_count","fp_count","fn_count","avg_attribution","max_attribution","activity_rate_percent","positive_appearances","total_appearances","positive_consistency_percent","min_attribution_ever","max_attribution_ever","highest_attribution_example","lowest_attribution_example","inactive_positive_attribution_example","active_negative_attribution_example"
11,227073,C1C[C@H]2CCC(CO[C@H]3CCCCO3)C[C@@H]2C1,53,53,0,0,0,0.4071,0.6606,100.00,53,53,100.0,0.233,0.661,HIGHEST ATTR (ACTIVE): CHEMBL1234422 | SMILES: CO[C@@H]1[C@@H](C)O[C@@H](OC[C@@]23C[C@@H]4[C@H](C)CC[C@H]4[C@@]4(C=O)C[C@@H]2C=C(C(C)C)[C@@]34C(=O)O)[C@@H](O)[C@@]12OC(=O)[C@H](CCCCCCCC(=O)O)O2 | Attribution: 0.661 | Prediction: 0.986 | MW: 690.8 | LogP: 4.50,LOWEST ATTR (ACTIVE): CHEMBL283188 | SMILES: COC[C@H]1O[C@@H](OCC23C[C@@H]4[C@H](C)CC[C@H]4C4(C=O)CC2C=C(C(C)C)C34C(=O)O)[C@H]2O[C@H]2[C@@H]1OC | Attribution: 0.233 | Prediction: 0.952 | MW: 504.6 | LogP: 3.08,,
12,227802,C1=CC=C(C(C2=CNC=C2)N2C=CN=C2)C=C1,52,52,0,0,0,0.4578,0.7616,100.00,48,52,92.3,-0.003,0.762,HIGHEST ATTR (ACTIVE): CHEMBL365572 | SMILES: C=CCN1C=C(C2=CC=C(Cl)C=C2)C(C(C2=CC=C(Cl)C=C2Cl)N2C=CN=C2)=C1 | Attribution: 0.762 | Prediction: 0.984 | MW: 442.8 | LogP: 7.14,LOWEST ATTR (ACTIVE): CHEMBL135425 | SMILES: ClC1=CC=C(C2=CNC=C2C(C2=CC=C(Cl)C(Cl)=C2)N2C=CN=C2)C(Cl)=C1 | Attribution: -0.003 | Prediction: 0.866 | MW: 437.2 | LogP: 7.13,,ACTIVE w/ NEG ATTR: CHEMBL135425 | SMILES: ClC1=CC=C(C2=CNC=C2C(C2=CC=C(Cl)C(Cl)=C2)N2C=CN=C2)C(Cl)=C1 | Attribution: -0.003 | Prediction: 0.866 | MW: 437.2
13,227803,C1=CC=C(C2=CNC=C2C(C2=CC=CC=C2)N2C=CN=C2)C=C1,52,52,0,0,0,0.3652,0.7616,100.00,42,52,80.8,-0.106,0.762,HIGHEST ATTR (ACTIVE): CHEMBL370741 | SMILES: C=CCN1C=C(C2=CC=C(Cl)C=C2Cl)C(C(C2=CC=C(Cl)C=C2Cl)N2C=CN=C2)=C1 | Attribution: 0.762 | Prediction: 0.980 | MW: 477.2 | LogP: 7.79,LOWEST ATTR (ACTIVE): CHEMBL134822 | SMILES: ClC1=CC=C(C2=CNC=C2C(C2=CC=C(Cl)C(Cl)=C2)N2C=CN=C2)C=C1Cl | Attribution: -0.106 | Prediction: 0.801 | MW: 437.2 | LogP: 7.13,,ACTIVE w/ NEG ATTR: CHEMBL134822 | SMILES: ClC1=CC=C(C2=CNC=C2C(C2=CC=C(Cl)C(Cl)=C2)N2C=CN=C2)C=C1Cl | Attribution: -0.106 | Prediction: 0.801 | MW: 437.2
14,227604,C1=CCN(CCC2=CC=CC=C2)CC1,50,50,0,0,0,0.6407,0.7616,100.00,50,50,100.0,0.498,0.762,HIGHEST ATTR (ACTIVE): CHEMBL3261622 | SMILES: C[C@@H](N1CCC2=C(C1)SC(Br)=N2)[C@](O)(CN1C=NC=N1)C1=CC=C(F)C=C1F | Attribution: 0.762 | Prediction: 0.994 | MW: 470.3 | LogP: 3.11,LOWEST ATTR (ACTIVE): CHEMBL3261670 | SMILES: C[C@@H](N1CCC2=C(C1)SC(C1=CC=C(C#N)N=C1)=C2)[C@](O)(CN1C=NC=N1)C1=CC=C(F)C=C1F | Attribution: 0.498 | Prediction: 0.997 | MW: 492.6 | LogP: 3.89,,
15,227603,C1=CCN(CCCN2C=NC=N2)CC1,50,50,0,0,0,0.5837,0.7392,100.00,50,50,100.0,0.433,0.739,HIGHEST ATTR (ACTIVE): CHEMBL3261662 | SMILES: C[C@@H](N1CCC2=C(C=C(C3=CN=CN=C3)S2)C1)[C@](O)(CN1C=NC=N1)C1=CC=C(F)C=C1F | Attribution: 0.739 | Prediction: 0.994 | MW: 468.5 | LogP: 3.41,LOWEST ATTR (ACTIVE): CHEMBL3261640 | SMILES: C[C@@H](N1CCC2=C(C1)SC(C1=CC=NC=C1)=N2)[C@](O)(CN1C=NC=N1)C1=CC=C(F)C=C1F | Attribution: 0.433 | Prediction: 0.993 | MW: 468.5 | LogP: 3.41,,
16,227610,C1=CCN(CC(CN2C=NC=N2)C2=CC=CC=C2)CC1,50,50,0,0,0,0.5679,0.7512,100.00,50,50,100.0,0.460,0.751,HIGHEST ATTR (ACTIVE): CHEMBL3261662 | SMILES: C[C@@H](N1CCC2=C(C=C(C3=CN=CN=C3)S2)C1)[C@](O)(CN1C=NC=N1)C1=CC=C(F)C=C1F | Attribution: 0.751 | Prediction: 0.994 | MW: 468.5 | LogP: 3.41,LOWEST ATTR (ACTIVE): CHEMBL3261638 | SMILES: C[C@@H](N1CCC2=C(C1)SC(C1=CC=CS1)=N2)[C@](O)(CN1C=NC=N1)C1=CC=C(F)C=C1F | Attribution: 0.460 | Prediction: 0.994 | MW: 473.6 | LogP: 4.08,,
17,227056,C1=CC2C[C@@H]3CCC[C@H]3CC2(CO[C@H]2CCCCO2)C1,48,48,0,0,0,0.7226,0.7616,100.00,48,48,100.0,0.616,0.762,HIGHEST ATTR (ACTIVE): CHEMBL416545 | SMILES: CCCCCCCC(=O)O[C@H]1C(O)[C@H](OCC23C[C@@H]4[C@H](C)CC[C@H]4C4(C=O)CC2C=C(C(C)C)C34C(=O)O)O[C@H](C)[C@H]1OC | Attribution: 0.762 | Prediction: 0.975 | MW: 618.8 | LogP: 5.32,LOWEST ATTR (ACTIVE): CHEMBL29909 | SMILES: CO[C@H]1[C@@H]2S[C@@H]2[C@H](OCC23C[C@@H]4[C@H](C)CC[C@H]4C4(C=O)CC2C=C(C(C)C)C34C(=O)O)O[C@@H]1C | Attribution: 0.616 | Prediction: 0.980 | MW: 490.7 | LogP: 4.17,,
18,227052,C1=CC2C3CC1C2(CO[C@H]1CCCCO1)C[C@@H]1CCC[C@@H]31,48,48,0,0,0,0.7178,0.7616,100.00,48,48,100.0,0.591,0.762,HIGHEST ATTR (ACTIVE): CHEMBL18757 | SMILES: CO[C@@H]1[C@@H](C)O[C@@H](OCC23C[C@@H]4[C@H](C)CC[C@H]4C4(C=O)CC2C=C(C(C)C)C34C(=O)O)C(O)[C@@H]1OC(=O)CCCCCl | Attribution: 0.762 | Prediction: 0.966 | MW: 611.2 | LogP: 4.37,LOWEST ATTR (ACTIVE): CHEMBL29909 | SMILES: CO[C@H]1[C@@H]2S[C@@H]2[C@H](OCC23C[C@@H]4[C@H](C)CC[C@H]4C4(C=O)CC2C=C(C(C)C)C34C(=O)O)O[C@@H]1C | Attribution: 0.591 | Prediction: 0.980 | MW: 490.7 | LogP: 4.17,,
19,227071,C1=CC2CCCCC2(CO[C@H]2CCCCO2)C1,48,48,0,0,0,0.6897,0.7503,100.00,48,48,100.0,0.591,0.750,HIGHEST ATTR (ACTIVE): CHEMBL21592 | SMILES: CC(C)C1=CC2CC3(C=O)[C@@H]4CC[C@@H](C)[C@H]4CC2(CO[C@@H]2O[C@H](C)[C@H]4OC(=S)O[C@H]4[C@@H]2O)C13C(=O)O | Attribution: 0.750 | Prediction: 0.965 | MW: 520.6 | LogP: 3.10,LOWEST ATTR (ACTIVE): CHEMBL295883 | SMILES: CC[C@H]1CO[C@H]2[C@@H]1C[C@H](OCC13C[C@@H]4[C@H](C)CC[C@H]4C4(C=O)CC1C=C(C(C)C)C34C(=O)O)O[C@@H]2C | Attribution: 0.591 | Prediction: 0.975 | MW: 500.7 | LogP: 5.10,,
20,227069,C1=CC2C3CC1C2(CO[C@H]1CCCCO1)CCC3,48,48,0,0,0,0.6894,0.7497,100.00,48,48,100.0,0.574,0.750,HIGHEST ATTR (ACTIVE): CHEMBL437455 | SMILES: CO[C@@H]1[C@@H](C)O[C@@H](OCC23C[C@@H]4[C@H](C)CC[C@H]4C4(C=O)CC2C=C(C(C)C)C34C(=O)O)C(O)[C@@H]1OC(=O)OCC1=CC=CC=C1 | Attribution: 0.750 | Prediction: 0.966 | MW: 626.7 | LogP: 4.77,LOWEST ATTR (ACTIVE): CHEMBL29909 | SMILES: CO[C@H]1[C@@H]2S[C@@H]2[C@H](OCC23C[C@@H]4[C@H](C)CC[C@H]4C4(C=O)CC2C=C(C(C)C)C34C(=O)O)O[C@@H]1C | Attribution: 0.574 | Prediction: 0.980 | MW: 490.7 | LogP: 4.17,,
21,227063,C1C[C@H]2C3CCC(CO[C@H]4CCCCO4)(C3)C[C@@H]2C1,48,48,0,0,0,0.6882,0.7616,100.00,48,48,100.0,0.543,0.762,HIGHEST ATTR (ACTIVE): CHEMBL19217 | SMILES: CCCCCC(=O)O[C@H]1[C@H](OC(=O)CCCCC)[C@H](OCC23C[C@@H]4[C@H](C)CC[C@H]4C4(C=O)CC2C=C(C(C)C)C34C(=O)O)O[C@H](C)[C@H]1OC | Attribution: 0.762 | Prediction: 0.972 | MW: 688.9 | LogP: 6.67,LOWEST ATTR (ACTIVE): CHEMBL29909 | SMILES: CO[C@H]1[C@@H]2S[C@@H]2[C@H](OCC23C[C@@H]4[C@H](C)CC[C@H]4C4(C=O)CC2C=C(C(C)C)C34C(=O)O)O[C@@H]1C | Attribution: 0.543 | Prediction: 0.980 | MW: 490.7 | LogP: 4.17,,
22,227078,C1CC2(CO[C@H]3CCCCO3)CCCC1C2,48,48,0,0,0,0.6507,0.7616,100.00,48,48,100.0,0.509,0.762,HIGHEST ATTR (ACTIVE): CHEMBL278459 | SMILES: CCCCCCCCCC(=O)O[C@H]1C(O)[C@H](OCC23C[C@@H]4[C@H](C)CC[C@H]4C4(C=O)CC2C=C(C(C)C)C34C(=O)O)O[C@H](C)[C@H]1OC | Attribution: 0.762 | Prediction: 0.979 | MW: 646.9 | LogP: 6.10,LOWEST ATTR (ACTIVE): CHEMBL29909 | SMILES: CO[C@H]1[C@@H]2S[C@@H]2[C@H](OCC23C[C@@H]4[C@H](C)CC[C@H]4C4(C=O)CC2C=C(C(C)C)C34C(=O)O)O[C@@H]1C | Attribution: 0.509 | Prediction: 0.980 | MW: 490.7 | LogP: 4.17,,
23,227082,C1=CC2CCC1C2CO[C@H]1CCCCO1,48,48,0,0,0,0.6355,0.7260,100.00,48,48,100.0,0.536,0.726,HIGHEST ATTR (ACTIVE): CHEMBL21592 | SMILES: CC(C)C1=CC2CC3(C=O)[C@@H]4CC[C@@H](C)[C@H]4CC2(CO[C@@H]2O[C@H](C)[C@H]4OC(=S)O[C@H]4[C@@H]2O)C13C(=O)O | Attribution: 0.726 | Prediction: 0.965 | MW: 520.6 | LogP: 3.10,LOWEST ATTR (ACTIVE): CHEMBL295883 | SMILES: CC[C@H]1CO[C@H]2[C@@H]1C[C@H](OCC13C[C@@H]4[C@H](C)CC[C@H]4C4(C=O)CC1C=C(C(C)C)C34C(=O)O)O[C@@H]2C | Attribution: 0.536 | Prediction: 0.975 | MW: 500.7 | LogP: 5.10,,
24,227080,C(CO[C@H]1CCCCO1)C[C@H]1CCCC1,47,47,0,0,0,0.3704,0.5541,100.00,47,47,100.0,0.234,0.554,HIGHEST ATTR (ACTIVE): CHEMBL278459 | SMILES: CCCCCCCCCC(=O)O[C@H]1C(O)[C@H](OCC23C[C@@H]4[C@H](C)CC[C@H]4C4(C=O)CC2C=C(C(C)C)C34C(=O)O)O[C@H](C)[C@H]1OC | Attribution: 0.554 | Prediction: 0.979 | MW: 646.9 | LogP: 6.10,LOWEST ATTR (ACTIVE): CHEMBL283188 | SMILES: COC[C@H]1O[C@@H](OCC23C[C@@H]4[C@H](C)CC[C@H]4C4(C=O)CC2C=C(C(C)C)C34C(=O)O)[C@H]2O[C@H]2[C@@H]1OC | Attribution: 0.234 | Prediction: 0.952 | MW: 504.6 | LogP: 3.08,,
25,227159,C1=NN(CCCNCC2=CNN=N2)C=N1,46,46,0,0,0,0.7139,0.7616,100.00,46,46,100.0,0.599,0.762,HIGHEST ATTR (ACTIVE): CHEMBL1254966 | SMILES: OC(CN(CC1=CN(CC2=C(Cl)C=CC=C2Cl)N=N1)C1CC1)(CN1C=NC=N1)C1=CC=C(F)C=C1F | Attribution: 0.762 | Prediction: 0.997 | MW: 534.4 | LogP: 4.06,LOWEST ATTR (ACTIVE): CHEMBL1253787 | SMILES: OC(CN(CC1=CN(C2CCCCC2)N=N1)C1CC1)(CN1C=NC=N1)C1=CC=C(F)C=C1F | Attribution: 0.599 | Prediction: 0.997 | MW: 457.5 | LogP: 3.21,,
26,227168,C1=CC=C(C(CNCC2=CNN=N2)CN2C=NC=N2)C=C1,46,46,0,0,0,0.7116,0.7616,100.00,46,46,100.0,0.556,0.762,HIGHEST ATTR (ACTIVE): CHEMBL1254045 | SMILES: CC(C)N(CC1=CN(CC2=CC=CC=C2)N=N1)CC(O)(CN1C=NC=N1)C1=CC=C(F)C=C1F | Attribution: 0.762 | Prediction: 0.996 | MW: 467.5 | LogP: 2.99,LOWEST ATTR (ACTIVE): CHEMBL1253787 | SMILES: OC(CN(CC1=CN(C2CCCCC2)N=N1)C1CC1)(CN1C=NC=N1)C1=CC=C(F)C=C1F | Attribution: 0.556 | Prediction: 0.997 | MW: 457.5 | LogP: 3.21,,
27,227160,C1=CC=C(CCNCC2=CNN=N2)C=C1,46,46,0,0,0,0.7026,0.7616,100.00,46,46,100.0,0.516,0.762,HIGHEST ATTR (ACTIVE): CHEMBL4475747 | SMILES: CCN(CC1=CN(CC2=CC=C(Cl)C=C2)N=N1)CC(O)(CN1C=NC=N1)C1=CC=C(F)C=C1F | Attribution: 0.762 | Prediction: 0.997 | MW: 487.9 | LogP: 3.26,LOWEST ATTR (ACTIVE): CHEMBL1253787 | SMILES: OC(CN(CC1=CN(C2CCCCC2)N=N1)C1CC1)(CN1C=NC=N1)C1=CC=C(F)C=C1F | Attribution: 0.516 | Prediction: 0.997 | MW: 457.5 | LogP: 3.21,,
28,228038,C(C1=CC=CC=C1OCC1=CC=CC=C1)N1C=CN=C1,48,44,4,0,0,0.5196,0.7616,91.67,44,48,91.7,-0.762,0.762,HIGHEST ATTR (ACTIVE): CHEMBL26859 | SMILES: C=C(C1=CC=CC=C1OC(CC)C1=CC=CC=C1)N1C=CN=C1 | Attribution: 0.762 | Prediction: 0.827 | MW: 304.4 | LogP: 4.93,LOWEST ATTR (INACTIVE): CHEMBL3349423 | SMILES: CN(C)C/C=C(\C1=CC=CC=C1OCC1=CC=C(Cl)C=C1)N1C=CN=C1 | Attribution: -0.762 | Prediction: 0.016 | MW: 367.9 | LogP: 4.57,,
29,228269,C1=NN(CCCC2=CNN=N2)C=N1,43,43,0,0,0,0.7144,0.7616,100.00,43,43,100.0,0.636,0.762,HIGHEST ATTR (ACTIVE): CHEMBL5185093 | SMILES: C[C@@H](C1=CN(C2=CC=C(S(C)(=O)=O)C=C2)N=N1)[C@](O)(CN1C=NC=N1)C1=CC=C(F)C=C1F | Attribution: 0.762 | Prediction: 0.984 | MW: 474.5 | LogP: 2.23,LOWEST ATTR (ACTIVE): CHEMBL5199215 | SMILES: C[C@@H](C1=CN(C2=CC=C(C#N)C=C2)N=N1)[C@](O)(CN1C=NC=N1)C1=CC=C(F)C=C1F | Attribution: 0.636 | Prediction: 0.983 | MW: 421.4 | LogP: 2.70,,
30,227819,C1=C[S+]NS1,42,42,0,0,0,0.7530,0.7616,100.00,42,42,100.0,0.485,0.762,HIGHEST ATTR (ACTIVE): CHEMBL157107 | SMILES: COC1=CC(CN2SC3=CC=CC=C3[S+]2[O-])=CC(OC)=C1OC | Attribution: 0.762 | Prediction: 0.967 | MW: 351.4 | LogP: 3.26,LOWEST ATTR (ACTIVE): CHEMBL345667 | SMILES: [O-][S+]1C2=CC=CC=C2SN1C1CCCCCCC1 | Attribution: 0.485 | Prediction: 0.847 | MW: 281.4 | LogP: 4.14,,
31,229528,C1=CC=C(C(CN2C=NC=N2)CN2C=NN=N2)C=C1,42,42,0,0,0,0.7446,0.7616,100.00,42,42,100.0,0.496,0.762,HIGHEST ATTR (ACTIVE): CHEMBL4454598 | SMILES: C[C@H](N1N=NN=C1CCN1CCN(C2=CC=C(Cl)C=C2)CC1)[C@](O)(CN1C=NC=N1)C1=CC=C(F)C=C1F | Attribution: 0.762 | Prediction: 0.994 | MW: 544.0 | LogP: 2.71,LOWEST ATTR (ACTIVE): CHEMBL4437568 | SMILES: C[C@@H](N1C=NN=N1)[C@](O)(CN1C=NC=N1)C1=CC=C(Cl)C=C1 | Attribution: 0.496 | Prediction: 0.763 | MW: 319.8 | LogP: 1.07,,
32,227015,C1=CC=C(CNCC(CN2C=NC=N2)C2=CC=CC=C2)C=C1,42,42,0,0,0,0.7262,0.7616,100.00,42,42,100.0,0.523,0.762,HIGHEST ATTR (ACTIVE): CHEMBL4456388 | SMILES: C#CCN(CC1=CC=CC(Cl)=C1)CC(O)(CN1C=NC=N1)C1=CC=C(F)C=C1F | Attribution: 0.762 | Prediction: 0.994 | MW: 416.9 | LogP: 3.23,LOWEST ATTR (ACTIVE): CHEMBL4204090 | SMILES: O=C1N=C(N(CC2=CC=C(Cl)C(Cl)=C2)CC(O)(CN2C=NC=N2)C2=CC=C(F)C=C2F)C(F)=CN1 | Attribution: 0.523 | Prediction: 0.996 | MW: 525.3 | LogP: 3.68,,
