"query_type","rank","fragment_id","fragment_smiles","pathogen_combination","pathogen_count","total_compounds_both_pathogens","total_tp_count","total_tn_count","overall_avg_attribution","overall_max_attribution","avg_activity_rate_percent","pathogen_breakdown"
POSITIVE SCAFFOLDS,1,355,C1=CC2=C(N=C1)NC=CC2,S. aureus + E. coli (NOT C. albicans),2,622,609,13,0.6759,0.7616,97.60,"e_coli: 270 compounds (257 TP, 13 TN) | Avg Attr: 0.658 | Activity: 95.19% || s_aureus: 352 compounds (352 TP, 0 TN) | Avg Attr: 0.694 | Activity: 100.00%"
POSITIVE SCAFFOLDS,27,72,C1CCN1C=CC[N+]1=CC=CC=C1,S. aureus + E. coli (NOT C. albicans),2,226,226,0,0.5102,0.7616,100.00,"e_coli: 112 compounds (112 TP, 0 TN) | Avg Attr: 0.320 | Activity: 100.00% || s_aureus: 114 compounds (114 TP, 0 TN) | Avg Attr: 0.700 | Activity: 100.00%"
POSITIVE SCAFFOLDS,28,77,C1C[C@H]2SCC(C[N+]3=CC=CC=C3)=CN12,S. aureus + E. coli (NOT C. albicans),2,221,221,0,0.5216,0.7616,100.00,"e_coli: 109 compounds (109 TP, 0 TN) | Avg Attr: 0.319 | Activity: 100.00% || s_aureus: 112 compounds (112 TP, 0 TN) | Avg Attr: 0.724 | Activity: 100.00%"
POSITIVE SCAFFOLDS,29,74,C1=C(C[N+]2=CC=CC=C2)CSCN1,S. aureus + E. coli (NOT C. albicans),2,220,220,0,0.4637,0.7616,100.00,"e_coli: 108 compounds (108 TP, 0 TN) | Avg Attr: 0.248 | Activity: 100.00% || s_aureus: 112 compounds (112 TP, 0 TN) | Avg Attr: 0.679 | Activity: 100.00%"
POSITIVE SCAFFOLDS,30,2225,C1COC2=CC=C(CNCCCCCCC3=CC=NC4=CC=CN=C34)N=C2N1,S. aureus + E. coli (NOT C. albicans),2,218,218,0,0.6917,0.7616,100.00,"e_coli: 109 compounds (109 TP, 0 TN) | Avg Attr: 0.676 | Activity: 100.00% || s_aureus: 109 compounds (109 TP, 0 TN) | Avg Attr: 0.708 | Activity: 100.00%"
POSITIVE SCAFFOLDS,31,2234,C1COC2=CC=C(CNCCCCCCCC3=NC=CC=C3)N=C2N1,S. aureus + E. coli (NOT C. albicans),2,216,216,0,0.7191,0.7616,100.00,"e_coli: 108 compounds (108 TP, 0 TN) | Avg Attr: 0.717 | Activity: 100.00% || s_aureus: 108 compounds (108 TP, 0 TN) | Avg Attr: 0.721 | Activity: 100.00%"
POSITIVE SCAFFOLDS,32,6378,C1=CC=C(N2C=CCC3=C2C=CC=C3)C=C1,S. aureus + E. coli (NOT C. albicans),2,212,212,0,0.7185,0.7616,100.00,"e_coli: 103 compounds (103 TP, 0 TN) | Avg Attr: 0.712 | Activity: 100.00% || s_aureus: 109 compounds (109 TP, 0 TN) | Avg Attr: 0.725 | Activity: 100.00%"
POSITIVE SCAFFOLDS,33,76,C(CNCCC1=CSC=N1)NC=CC[N+]1=CC=CC=C1,S. aureus + E. coli (NOT C. albicans),2,211,211,0,0.6986,0.7616,100.00,"e_coli: 107 compounds (107 TP, 0 TN) | Avg Attr: 0.714 | Activity: 100.00% || s_aureus: 104 compounds (104 TP, 0 TN) | Avg Attr: 0.683 | Activity: 100.00%"
POSITIVE SCAFFOLDS,34,2228,C1COC2=CC=C(CNC3CCC(CCCC4=NC=CC=C4)CC3)N=C2N1,S. aureus + E. coli (NOT C. albicans),2,210,210,0,0.7203,0.7616,100.00,"e_coli: 105 compounds (105 TP, 0 TN) | Avg Attr: 0.721 | Activity: 100.00% || s_aureus: 105 compounds (105 TP, 0 TN) | Avg Attr: 0.720 | Activity: 100.00%"
POSITIVE SCAFFOLDS,35,5210,C1=CN(C2CC2)C2=C(C1)CNS2,S. aureus + E. coli (NOT C. albicans),2,210,210,0,0.6647,0.7616,100.00,"e_coli: 102 compounds (102 TP, 0 TN) | Avg Attr: 0.668 | Activity: 100.00% || s_aureus: 108 compounds (108 TP, 0 TN) | Avg Attr: 0.661 | Activity: 100.00%"
POSITIVE SCAFFOLDS,36,5205,C1=CNC2=C(C1)CNS2,S. aureus + E. coli (NOT C. albicans),2,210,210,0,0.6601,0.7616,100.00,"e_coli: 102 compounds (102 TP, 0 TN) | Avg Attr: 0.683 | Activity: 100.00% || s_aureus: 108 compounds (108 TP, 0 TN) | Avg Attr: 0.637 | Activity: 100.00%"
POSITIVE SCAFFOLDS,37,2245,C1=CN=C2C(CCC34CCC(CC3)CO4)=CC=NC2=C1,S. aureus + E. coli (NOT C. albicans),2,210,210,0,0.6180,0.7616,100.00,"e_coli: 105 compounds (105 TP, 0 TN) | Avg Attr: 0.497 | Activity: 100.00% || s_aureus: 105 compounds (105 TP, 0 TN) | Avg Attr: 0.739 | Activity: 100.00%"
POSITIVE SCAFFOLDS,38,5207,C1C=C(NC2CC2)SN1,S. aureus + E. coli (NOT C. albicans),2,210,210,0,0.5727,0.7177,100.00,"e_coli: 102 compounds (102 TP, 0 TN) | Avg Attr: 0.601 | Activity: 100.00% || s_aureus: 108 compounds (108 TP, 0 TN) | Avg Attr: 0.544 | Activity: 100.00%"
POSITIVE SCAFFOLDS,39,79,C(CC1=CSC=N1)N[C@@H]1CN(C=CC[N+]2=CC=CC=C2)C1,S. aureus + E. coli (NOT C. albicans),2,209,209,0,0.7170,0.7615,100.00,"e_coli: 106 compounds (106 TP, 0 TN) | Avg Attr: 0.705 | Activity: 100.00% || s_aureus: 103 compounds (103 TP, 0 TN) | Avg Attr: 0.729 | Activity: 100.00%"
POSITIVE SCAFFOLDS,40,2229,C1COC2=CC=C(CNC3CCC(CCCC4=NC=CC=C4)OC3)N=C2N1,S. aureus + E. coli (NOT C. albicans),2,208,208,0,0.7170,0.7616,100.00,"e_coli: 104 compounds (104 TP, 0 TN) | Avg Attr: 0.722 | Activity: 100.00% || s_aureus: 104 compounds (104 TP, 0 TN) | Avg Attr: 0.712 | Activity: 100.00%"
POSITIVE SCAFFOLDS,41,2101,C1=CC(C2CC2)=CNC1,S. aureus + E. coli (NOT C. albicans),2,208,208,0,0.6430,0.7616,100.00,"e_coli: 106 compounds (106 TP, 0 TN) | Avg Attr: 0.694 | Activity: 100.00% || s_aureus: 102 compounds (102 TP, 0 TN) | Avg Attr: 0.593 | Activity: 100.00%"
POSITIVE SCAFFOLDS,42,81,C(CC1=CSC=N1)N[C@@H]1CN2C=C(C[N+]3=CC=CC=C3)CS[C@H]12,S. aureus + E. coli (NOT C. albicans),2,207,207,0,0.7260,0.7616,100.00,"e_coli: 105 compounds (105 TP, 0 TN) | Avg Attr: 0.712 | Activity: 100.00% || s_aureus: 102 compounds (102 TP, 0 TN) | Avg Attr: 0.740 | Activity: 100.00%"
POSITIVE SCAFFOLDS,43,2104,C1=CC2=C(C3CC3)C=CCN2C=C1,S. aureus + E. coli (NOT C. albicans),2,202,202,0,0.7179,0.7616,100.00,"e_coli: 102 compounds (102 TP, 0 TN) | Avg Attr: 0.691 | Activity: 100.00% || s_aureus: 100 compounds (100 TP, 0 TN) | Avg Attr: 0.745 | Activity: 100.00%"
POSITIVE SCAFFOLDS,44,2226,C1=CC=C(CNC23CCC(CCC4=CC=NC5=CC=CN=C45)(CC2)OC3)N=C1,S. aureus + E. coli (NOT C. albicans),2,196,196,0,0.6884,0.7616,100.00,"e_coli: 98 compounds (98 TP, 0 TN) | Avg Attr: 0.709 | Activity: 100.00% || s_aureus: 98 compounds (98 TP, 0 TN) | Avg Attr: 0.668 | Activity: 100.00%"
POSITIVE SCAFFOLDS,45,2240,C(CCC1CCC(NCC2=CC=CC=N2)CO1)C1=NC=CC=C1,S. aureus + E. coli (NOT C. albicans),2,196,196,0,0.6730,0.7597,100.00,"e_coli: 98 compounds (98 TP, 0 TN) | Avg Attr: 0.659 | Activity: 100.00% || s_aureus: 98 compounds (98 TP, 0 TN) | Avg Attr: 0.687 | Activity: 100.00%"
POSITIVE SCAFFOLDS,46,2231,C1=CC=C(CNC2CCC(CCC3=CC=NC4=CC=CN=C34)OC2)N=C1,S. aureus + E. coli (NOT C. albicans),2,194,194,0,0.6896,0.7616,100.00,"e_coli: 97 compounds (97 TP, 0 TN) | Avg Attr: 0.707 | Activity: 100.00% || s_aureus: 97 compounds (97 TP, 0 TN) | Avg Attr: 0.672 | Activity: 100.00%"
POSITIVE SCAFFOLDS,47,2239,C(CCC1CCC(NCC2=CC=CC=N2)CC1)C1=NC=CC=C1,S. aureus + E. coli (NOT C. albicans),2,194,194,0,0.6721,0.7616,100.00,"e_coli: 97 compounds (97 TP, 0 TN) | Avg Attr: 0.659 | Activity: 100.00% || s_aureus: 97 compounds (97 TP, 0 TN) | Avg Attr: 0.685 | Activity: 100.00%"
POSITIVE SCAFFOLDS,48,2235,C(CCC12CCC(NCC3=CC=CC=N3)(CC1)CO2)C1=NC=CC=C1,S. aureus + E. coli (NOT C. albicans),2,194,194,0,0.6711,0.7616,100.00,"e_coli: 97 compounds (97 TP, 0 TN) | Avg Attr: 0.663 | Activity: 100.00% || s_aureus: 97 compounds (97 TP, 0 TN) | Avg Attr: 0.680 | Activity: 100.00%"
POSITIVE SCAFFOLDS,49,2230,C1=CC=C(CNC2CCC(CCC3=CC=NC4=CC=CN=C34)CC2)N=C1,S. aureus + E. coli (NOT C. albicans),2,192,192,0,0.6863,0.7616,100.00,"e_coli: 96 compounds (96 TP, 0 TN) | Avg Attr: 0.704 | Activity: 100.00% || s_aureus: 96 compounds (96 TP, 0 TN) | Avg Attr: 0.668 | Activity: 100.00%"
POSITIVE SCAFFOLDS,50,2102,C1=CCN2C=CC(N3CCCC3)=CC2=C1,S. aureus + E. coli (NOT C. albicans),2,187,187,0,0.7304,0.7616,100.00,"e_coli: 95 compounds (95 TP, 0 TN) | Avg Attr: 0.735 | Activity: 100.00% || s_aureus: 92 compounds (92 TP, 0 TN) | Avg Attr: 0.726 | Activity: 100.00%"
POSITIVE SCAFFOLDS,51,96,C1C[C@@H](CC=C1)C[C@@H]1CCC=CC1,S. aureus + E. coli (NOT C. albicans),2,184,179,5,0.6649,0.7616,96.27,"e_coli: 67 compounds (62 TP, 5 TN) | Avg Attr: 0.587 | Activity: 92.54% || s_aureus: 117 compounds (117 TP, 0 TN) | Avg Attr: 0.743 | Activity: 100.00%"
POSITIVE SCAFFOLDS,52,5514,C1=CC2=C(C=C1)N(C1CC1)C1=C(CNS1)C2,S. aureus + E. coli (NOT C. albicans),2,174,174,0,0.7146,0.7616,100.00,"e_coli: 79 compounds (79 TP, 0 TN) | Avg Attr: 0.687 | Activity: 100.00% || s_aureus: 95 compounds (95 TP, 0 TN) | Avg Attr: 0.742 | Activity: 100.00%"
POSITIVE SCAFFOLDS,53,48,C1C[C@H]2CCC=CN12,S. aureus + E. coli (NOT C. albicans),2,172,172,0,0.5151,0.7616,100.00,"e_coli: 86 compounds (86 TP, 0 TN) | Avg Attr: 0.416 | Activity: 100.00% || s_aureus: 86 compounds (86 TP, 0 TN) | Avg Attr: 0.615 | Activity: 100.00%"
POSITIVE SCAFFOLDS,54,2106,C1=CC(C2CC2)=C2C=C(N3CCCC3)C=CN2C1,S. aureus + E. coli (NOT C. albicans),2,165,165,0,0.7254,0.7616,100.00,"e_coli: 82 compounds (82 TP, 0 TN) | Avg Attr: 0.715 | Activity: 100.00% || s_aureus: 83 compounds (83 TP, 0 TN) | Avg Attr: 0.736 | Activity: 100.00%"
POSITIVE SCAFFOLDS,55,2248,C1=CN=C2C(CCC3CCCCO3)=CC=NC2=C1,S. aureus + E. coli (NOT C. albicans),2,164,164,0,0.6070,0.7616,100.00,"e_coli: 82 compounds (82 TP, 0 TN) | Avg Attr: 0.503 | Activity: 100.00% || s_aureus: 82 compounds (82 TP, 0 TN) | Avg Attr: 0.711 | Activity: 100.00%"
POSITIVE SCAFFOLDS,56,1623,C1C[C@@H](CCS[C@H]2CCNC2)N1,S. aureus + E. coli (NOT C. albicans),2,163,163,0,0.7211,0.7616,100.00,"e_coli: 84 compounds (84 TP, 0 TN) | Avg Attr: 0.695 | Activity: 100.00% || s_aureus: 79 compounds (79 TP, 0 TN) | Avg Attr: 0.747 | Activity: 100.00%"
POSITIVE SCAFFOLDS,57,2247,C1=CN=C2C(CCC3CCCCC3)=CC=NC2=C1,S. aureus + E. coli (NOT C. albicans),2,158,158,0,0.6153,0.7561,100.00,"e_coli: 79 compounds (79 TP, 0 TN) | Avg Attr: 0.509 | Activity: 100.00% || s_aureus: 79 compounds (79 TP, 0 TN) | Avg Attr: 0.721 | Activity: 100.00%"
POSITIVE SCAFFOLDS,58,1198,C1=CN(CCCNC2=CC=C(N3CCNCC3)C=C2)N=N1,S. aureus + E. coli (NOT C. albicans),2,177,158,19,0.6124,0.7616,85.17,"e_coli: 59 compounds (43 TP, 16 TN) | Avg Attr: 0.598 | Activity: 72.88% || s_aureus: 118 compounds (115 TP, 3 TN) | Avg Attr: 0.626 | Activity: 97.46%"
POSITIVE SCAFFOLDS,59,80,C(CC1=CSC=N1)NC[C@@H]1NC=C(C[N+]2=CC=CC=C2)CS1,S. aureus + E. coli (NOT C. albicans),2,157,157,0,0.7305,0.7616,100.00,"e_coli: 79 compounds (79 TP, 0 TN) | Avg Attr: 0.725 | Activity: 100.00% || s_aureus: 78 compounds (78 TP, 0 TN) | Avg Attr: 0.736 | Activity: 100.00%"
POSITIVE SCAFFOLDS,60,1203,C1O[C@@H](CN2C=CN=N2)CN1C1=CC=C(N2CCNCC2)C=C1,S. aureus + E. coli (NOT C. albicans),2,171,157,14,0.6013,0.7573,88.23,"e_coli: 55 compounds (43 TP, 12 TN) | Avg Attr: 0.591 | Activity: 78.18% || s_aureus: 116 compounds (114 TP, 2 TN) | Avg Attr: 0.611 | Activity: 98.28%"
POSITIVE SCAFFOLDS,61,834,C1CCN(C2=CC=CC=C2)CC1,S. aureus + E. coli (NOT C. albicans),2,147,147,0,0.3659,0.6348,100.00,"e_coli: 43 compounds (43 TP, 0 TN) | Avg Attr: 0.280 | Activity: 100.00% || s_aureus: 104 compounds (104 TP, 0 TN) | Avg Attr: 0.452 | Activity: 100.00%"
POSITIVE SCAFFOLDS,62,5515,C1=CC2=C(C=C1)NC1=C(CNS1)C2,S. aureus + E. coli (NOT C. albicans),2,142,142,0,0.7166,0.7616,100.00,"e_coli: 69 compounds (69 TP, 0 TN) | Avg Attr: 0.704 | Activity: 100.00% || s_aureus: 73 compounds (73 TP, 0 TN) | Avg Attr: 0.730 | Activity: 100.00%"
POSITIVE SCAFFOLDS,63,6359,C(CSC1=NC=CC=N1)OCC1CCCC2CCC[C@H]21,S. aureus + E. coli (NOT C. albicans),2,142,135,7,0.5633,0.7599,92.71,"e_coli: 48 compounds (41 TP, 7 TN) | Avg Attr: 0.487 | Activity: 85.42% || s_aureus: 94 compounds (94 TP, 0 TN) | Avg Attr: 0.639 | Activity: 100.00%"
POSITIVE SCAFFOLDS,64,6357,C(CSC1=NC=CC=N1)O[C@@H]1CCCCC2CCCC1C2,S. aureus + E. coli (NOT C. albicans),2,136,134,2,0.6831,0.7616,97.62,"e_coli: 42 compounds (40 TP, 2 TN) | Avg Attr: 0.625 | Activity: 95.24% || s_aureus: 94 compounds (94 TP, 0 TN) | Avg Attr: 0.741 | Activity: 100.00%"
POSITIVE SCAFFOLDS,65,6360,C(CSC1=NC=CC=N1)O[C@@H]1CCCC[C@]23CCC[C@H]2C1CCC3,S. aureus + E. coli (NOT C. albicans),2,136,134,2,0.6583,0.7616,97.62,"e_coli: 42 compounds (40 TP, 2 TN) | Avg Attr: 0.585 | Activity: 95.24% || s_aureus: 94 compounds (94 TP, 0 TN) | Avg Attr: 0.731 | Activity: 100.00%"
POSITIVE SCAFFOLDS,66,6358,C(CSC1=NC=CC=N1)O[C@@H]1CCCCC2CCC[C@H]2C1,S. aureus + E. coli (NOT C. albicans),2,136,134,2,0.6100,0.7481,97.62,"e_coli: 42 compounds (40 TP, 2 TN) | Avg Attr: 0.564 | Activity: 95.24% || s_aureus: 94 compounds (94 TP, 0 TN) | Avg Attr: 0.656 | Activity: 100.00%"
POSITIVE SCAFFOLDS,67,2292,C1=CC=C(N2C=CCC3=C2N=CC=C3)C=C1,S. aureus + E. coli (NOT C. albicans),2,136,133,3,0.7007,0.7616,97.73,"e_coli: 66 compounds (63 TP, 3 TN) | Avg Attr: 0.684 | Activity: 95.45% || s_aureus: 70 compounds (70 TP, 0 TN) | Avg Attr: 0.717 | Activity: 100.00%"
POSITIVE SCAFFOLDS,68,9956,C1C[C@H]2SC=CN12,S. aureus + E. coli (NOT C. albicans),2,127,127,0,0.7252,0.7616,100.00,"e_coli: 65 compounds (65 TP, 0 TN) | Avg Attr: 0.749 | Activity: 100.00% || s_aureus: 62 compounds (62 TP, 0 TN) | Avg Attr: 0.701 | Activity: 100.00%"
POSITIVE SCAFFOLDS,69,14612,C1=CN(C2CC2)C2=CC(N3CCC3)=CC=C2C1,S. aureus + E. coli (NOT C. albicans),2,124,124,0,0.7233,0.7616,100.00,"e_coli: 61 compounds (61 TP, 0 TN) | Avg Attr: 0.719 | Activity: 100.00% || s_aureus: 63 compounds (63 TP, 0 TN) | Avg Attr: 0.728 | Activity: 100.00%"
