"query_type","rank","fragment_id","fragment_smiles","pathogen_combination","pathogen_count","total_compounds_both_pathogens","total_tp_count","total_tn_count","overall_avg_attribution","overall_max_attribution","avg_activity_rate_percent","pathogen_breakdown"
POSITIVE SUBSTITUENTS,1,2250,N-C-CF,S. aureus + E. coli (NOT C. albicans),2,469,469,0,0.3570,0.3808,100.00,"e_coli: 182 compounds (182 TP, 0 TN) | Avg Attr: 0.350 | Activity: 100.00% || s_aureus: 287 compounds (287 TP, 0 TN) | Avg Attr: 0.364 | Activity: 100.00%"
POSITIVE SUBSTITUENTS,33,29908,CC1=C(Cl)C(Cl)=C(C(=O)NC(-N)-S)N1,S. aureus + E. coli (NOT C. albicans),2,62,61,1,0.2371,0.3761,98.72,"e_coli: 39 compounds (38 TP, 1 TN) | Avg Attr: 0.306 | Activity: 97.44% || s_aureus: 23 compounds (23 TP, 0 TN) | Avg Attr: 0.168 | Activity: 100.00%"
POSITIVE SUBSTITUENTS,34,8060,CCC(-N)-CCl,S. aureus + E. coli (NOT C. albicans),2,60,60,0,0.3152,0.3808,100.00,"e_coli: 32 compounds (32 TP, 0 TN) | Avg Attr: 0.299 | Activity: 100.00% || s_aureus: 28 compounds (28 TP, 0 TN) | Avg Attr: 0.331 | Activity: 100.00%"
POSITIVE SUBSTITUENTS,35,30560,NCC[C@@H](N)CO,S. aureus + E. coli (NOT C. albicans),2,59,59,0,0.2648,0.3808,100.00,"e_coli: 20 compounds (20 TP, 0 TN) | Avg Attr: 0.268 | Activity: 100.00% || s_aureus: 39 compounds (39 TP, 0 TN) | Avg Attr: 0.262 | Activity: 100.00%"
POSITIVE SUBSTITUENTS,36,28422,CC[C@](C)(C(=O)NO)S(C)(=O)=O,S. aureus + E. coli (NOT C. albicans),2,60,58,2,0.2608,0.3808,83.34,"e_coli: 54 compounds (54 TP, 0 TN) | Avg Attr: 0.189 | Activity: 100.00% || s_aureus: 6 compounds (4 TP, 2 TN) | Avg Attr: 0.333 | Activity: 66.67%"
POSITIVE SUBSTITUENTS,37,18175,CN1N=NN=C1SCC(=CC(=O)[O-])CS,S. aureus + E. coli (NOT C. albicans),2,58,58,0,0.2255,0.3497,100.00,"e_coli: 22 compounds (22 TP, 0 TN) | Avg Attr: 0.141 | Activity: 100.00% || s_aureus: 36 compounds (36 TP, 0 TN) | Avg Attr: 0.310 | Activity: 100.00%"
POSITIVE SUBSTITUENTS,38,14799,CCC(=O)C1=CC=C(O)C=C1,S. aureus + E. coli (NOT C. albicans),2,58,58,0,0.2103,0.3178,100.00,"e_coli: 26 compounds (26 TP, 0 TN) | Avg Attr: 0.268 | Activity: 100.00% || s_aureus: 32 compounds (32 TP, 0 TN) | Avg Attr: 0.152 | Activity: 100.00%"
POSITIVE SUBSTITUENTS,39,543,CNC1=CC(F)=CC=C1N,S. aureus + E. coli (NOT C. albicans),2,58,58,0,0.2012,0.3475,100.00,"e_coli: 23 compounds (23 TP, 0 TN) | Avg Attr: 0.179 | Activity: 100.00% || s_aureus: 35 compounds (35 TP, 0 TN) | Avg Attr: 0.224 | Activity: 100.00%"
POSITIVE SUBSTITUENTS,40,15621,COC(=O)[C@]1(C)CCC[C@]2(C)C3=CC=C(C(C)C)C(NC(C)=O)=C3CC[C@@H]12,S. aureus + E. coli (NOT C. albicans),2,56,56,0,0.1875,0.3776,100.00,"e_coli: 25 compounds (25 TP, 0 TN) | Avg Attr: 0.178 | Activity: 100.00% || s_aureus: 31 compounds (31 TP, 0 TN) | Avg Attr: 0.197 | Activity: 100.00%"
POSITIVE SUBSTITUENTS,41,32,NCC[C@H](O)C(N)=O,S. aureus + E. coli (NOT C. albicans),2,57,56,1,0.1734,0.3808,98.53,"e_coli: 23 compounds (23 TP, 0 TN) | Avg Attr: 0.168 | Activity: 100.00% || s_aureus: 34 compounds (33 TP, 1 TN) | Avg Attr: 0.179 | Activity: 97.06%"
POSITIVE SUBSTITUENTS,42,29532,CC1(N)CNC1,S. aureus + E. coli (NOT C. albicans),2,55,55,0,0.1725,0.2692,100.00,"e_coli: 25 compounds (25 TP, 0 TN) | Avg Attr: 0.142 | Activity: 100.00% || s_aureus: 30 compounds (30 TP, 0 TN) | Avg Attr: 0.203 | Activity: 100.00%"
POSITIVE SUBSTITUENTS,43,4036,CCC1=CC=C(C)C(O)=C1CO,S. aureus + E. coli (NOT C. albicans),2,55,55,0,0.1638,0.3101,100.00,"e_coli: 29 compounds (29 TP, 0 TN) | Avg Attr: 0.155 | Activity: 100.00% || s_aureus: 26 compounds (26 TP, 0 TN) | Avg Attr: 0.172 | Activity: 100.00%"
POSITIVE SUBSTITUENTS,44,4010,C[C@H](ON)C(=O)O,S. aureus + E. coli (NOT C. albicans),2,53,53,0,0.3143,0.3728,100.00,"e_coli: 28 compounds (28 TP, 0 TN) | Avg Attr: 0.319 | Activity: 100.00% || s_aureus: 25 compounds (25 TP, 0 TN) | Avg Attr: 0.310 | Activity: 100.00%"
POSITIVE SUBSTITUENTS,45,8919,NCC1CCNC1,S. aureus + E. coli (NOT C. albicans),2,53,53,0,0.2093,0.3799,100.00,"e_coli: 23 compounds (23 TP, 0 TN) | Avg Attr: 0.172 | Activity: 100.00% || s_aureus: 30 compounds (30 TP, 0 TN) | Avg Attr: 0.247 | Activity: 100.00%"
POSITIVE SUBSTITUENTS,46,11876,C[C@@H]1CNC[C@H](C)O1,S. aureus + E. coli (NOT C. albicans),2,51,51,0,0.2582,0.3196,100.00,"e_coli: 15 compounds (15 TP, 0 TN) | Avg Attr: 0.247 | Activity: 100.00% || s_aureus: 36 compounds (36 TP, 0 TN) | Avg Attr: 0.270 | Activity: 100.00%"
POSITIVE SUBSTITUENTS,47,4879,FC(F)(F)C1=NNC=C1,S. aureus + E. coli (NOT C. albicans),2,53,51,2,0.2311,0.3440,92.31,"e_coli: 40 compounds (40 TP, 0 TN) | Avg Attr: 0.231 | Activity: 100.00% || s_aureus: 13 compounds (11 TP, 2 TN) | Avg Attr: 0.232 | Activity: 84.62%"
POSITIVE SUBSTITUENTS,48,4034,CC1=CC=C2C(C)=C(C)C(=C(O)C2=C1O)C=O,S. aureus + E. coli (NOT C. albicans),2,51,51,0,0.1664,0.3209,100.00,"e_coli: 34 compounds (34 TP, 0 TN) | Avg Attr: 0.211 | Activity: 100.00% || s_aureus: 17 compounds (17 TP, 0 TN) | Avg Attr: 0.122 | Activity: 100.00%"
POSITIVE SUBSTITUENTS,49,9749,CC1=NC=C(OC(-N)-N)C=N1,S. aureus + E. coli (NOT C. albicans),2,49,49,0,0.2717,0.3405,100.00,"e_coli: 26 compounds (26 TP, 0 TN) | Avg Attr: 0.247 | Activity: 100.00% || s_aureus: 23 compounds (23 TP, 0 TN) | Avg Attr: 0.297 | Activity: 100.00%"
POSITIVE SUBSTITUENTS,50,16938,C-C-C-CC(=O)N(C(CO)CO)C=O,S. aureus + E. coli (NOT C. albicans),2,49,49,0,0.2093,0.3658,100.00,"e_coli: 5 compounds (5 TP, 0 TN) | Avg Attr: 0.154 | Activity: 100.00% || s_aureus: 44 compounds (44 TP, 0 TN) | Avg Attr: 0.265 | Activity: 100.00%"
POSITIVE SUBSTITUENTS,51,9451,O=CC1=NC=CS1,S. aureus + E. coli (NOT C. albicans),2,47,47,0,0.3615,0.3808,100.00,"e_coli: 19 compounds (19 TP, 0 TN) | Avg Attr: 0.375 | Activity: 100.00% || s_aureus: 28 compounds (28 TP, 0 TN) | Avg Attr: 0.348 | Activity: 100.00%"
POSITIVE SUBSTITUENTS,52,5441,C[C@@H]1NC[C@H]1N,S. aureus + E. coli (NOT C. albicans),2,44,44,0,0.1580,0.2405,100.00,"e_coli: 19 compounds (19 TP, 0 TN) | Avg Attr: 0.139 | Activity: 100.00% || s_aureus: 25 compounds (25 TP, 0 TN) | Avg Attr: 0.177 | Activity: 100.00%"
POSITIVE SUBSTITUENTS,53,2109,CC1=CC(F)=CN2C(=O)C(C(=O)O)=CC(C3CC3)=C12,S. aureus + E. coli (NOT C. albicans),2,43,43,0,0.1210,0.1894,100.00,"e_coli: 10 compounds (10 TP, 0 TN) | Avg Attr: 0.119 | Activity: 100.00% || s_aureus: 33 compounds (33 TP, 0 TN) | Avg Attr: 0.123 | Activity: 100.00%"
POSITIVE SUBSTITUENTS,54,39,NCC[C@H](O)C(=O)NCCCN,S. aureus + E. coli (NOT C. albicans),2,41,41,0,0.3589,0.3808,100.00,"e_coli: 21 compounds (21 TP, 0 TN) | Avg Attr: 0.375 | Activity: 100.00% || s_aureus: 20 compounds (20 TP, 0 TN) | Avg Attr: 0.343 | Activity: 100.00%"
POSITIVE SUBSTITUENTS,55,4041,CC[C@@H](N)CO,S. aureus + E. coli (NOT C. albicans),2,40,40,0,0.3312,0.3808,100.00,"e_coli: 20 compounds (20 TP, 0 TN) | Avg Attr: 0.362 | Activity: 100.00% || s_aureus: 20 compounds (20 TP, 0 TN) | Avg Attr: 0.301 | Activity: 100.00%"
POSITIVE SUBSTITUENTS,56,349,O=CCNC(=O)CC1=CC=CS1,S. aureus + E. coli (NOT C. albicans),2,40,40,0,0.2976,0.3792,100.00,"e_coli: 14 compounds (14 TP, 0 TN) | Avg Attr: 0.258 | Activity: 100.00% || s_aureus: 26 compounds (26 TP, 0 TN) | Avg Attr: 0.337 | Activity: 100.00%"
POSITIVE SUBSTITUENTS,57,15442,CC(C(=O)O)C=O,S. aureus + E. coli (NOT C. albicans),2,40,40,0,0.2734,0.3808,100.00,"e_coli: 19 compounds (19 TP, 0 TN) | Avg Attr: 0.199 | Activity: 100.00% || s_aureus: 21 compounds (21 TP, 0 TN) | Avg Attr: 0.348 | Activity: 100.00%"
POSITIVE SUBSTITUENTS,58,5779,O=C([O-])C=CS,S. aureus + E. coli (NOT C. albicans),2,40,40,0,0.2518,0.3345,100.00,"e_coli: 25 compounds (25 TP, 0 TN) | Avg Attr: 0.215 | Activity: 100.00% || s_aureus: 15 compounds (15 TP, 0 TN) | Avg Attr: 0.289 | Activity: 100.00%"
POSITIVE SUBSTITUENTS,59,12039,NC(=O)C1=CC(C2=CC=C(Cl)C=C2)=NN1,S. aureus + E. coli (NOT C. albicans),2,39,39,0,0.2411,0.3241,100.00,"e_coli: 20 compounds (20 TP, 0 TN) | Avg Attr: 0.304 | Activity: 100.00% || s_aureus: 19 compounds (19 TP, 0 TN) | Avg Attr: 0.178 | Activity: 100.00%"
POSITIVE SUBSTITUENTS,60,4005,C[C@H](O/N=C(\C(=O)NCC=O)C1=C(Cl)SC(N)=N1)C(=O)O,S. aureus + E. coli (NOT C. albicans),2,39,39,0,0.2197,0.3485,100.00,"e_coli: 19 compounds (19 TP, 0 TN) | Avg Attr: 0.130 | Activity: 100.00% || s_aureus: 20 compounds (20 TP, 0 TN) | Avg Attr: 0.309 | Activity: 100.00%"
POSITIVE SUBSTITUENTS,61,7354,CC(CO)N-C-C(C(=O)O)-C=O,S. aureus + E. coli (NOT C. albicans),2,39,39,0,0.1827,0.2669,100.00,"e_coli: 15 compounds (15 TP, 0 TN) | Avg Attr: 0.135 | Activity: 100.00% || s_aureus: 24 compounds (24 TP, 0 TN) | Avg Attr: 0.230 | Activity: 100.00%"
POSITIVE SUBSTITUENTS,62,17798,CCO/N=C(\C(=O)NCC=O)C1=CSC(N)=N1,S. aureus + E. coli (NOT C. albicans),2,39,39,0,0.1528,0.3746,100.00,"e_coli: 8 compounds (8 TP, 0 TN) | Avg Attr: 0.124 | Activity: 100.00% || s_aureus: 31 compounds (31 TP, 0 TN) | Avg Attr: 0.181 | Activity: 100.00%"
POSITIVE SUBSTITUENTS,63,2882,CC1=CC=CC=C1OCC1=CC=CC=C1,S. aureus + E. coli (NOT C. albicans),2,38,38,0,0.3310,0.3808,100.00,"e_coli: 20 compounds (20 TP, 0 TN) | Avg Attr: 0.331 | Activity: 100.00% || s_aureus: 18 compounds (18 TP, 0 TN) | Avg Attr: 0.332 | Activity: 100.00%"
POSITIVE SUBSTITUENTS,64,44189,NOC1CCCC1,S. aureus + E. coli (NOT C. albicans),2,38,38,0,0.2982,0.3559,100.00,"e_coli: 19 compounds (19 TP, 0 TN) | Avg Attr: 0.336 | Activity: 100.00% || s_aureus: 19 compounds (19 TP, 0 TN) | Avg Attr: 0.260 | Activity: 100.00%"
POSITIVE SUBSTITUENTS,65,8117,CCOC(=O)C1=C(C)NC(=O)NC1,S. aureus + E. coli (NOT C. albicans),2,38,38,0,0.2821,0.3519,100.00,"e_coli: 18 compounds (18 TP, 0 TN) | Avg Attr: 0.298 | Activity: 100.00% || s_aureus: 20 compounds (20 TP, 0 TN) | Avg Attr: 0.266 | Activity: 100.00%"
POSITIVE SUBSTITUENTS,66,13588,CC1=NC=C([N+](=O)[O-])N1CCOC=O,S. aureus + E. coli (NOT C. albicans),2,38,38,0,0.1870,0.3785,100.00,"e_coli: 17 compounds (17 TP, 0 TN) | Avg Attr: 0.221 | Activity: 100.00% || s_aureus: 21 compounds (21 TP, 0 TN) | Avg Attr: 0.153 | Activity: 100.00%"
POSITIVE SUBSTITUENTS,67,7047,NCCNC=O,S. aureus + E. coli (NOT C. albicans),2,37,37,0,0.3271,0.3808,100.00,"e_coli: 14 compounds (14 TP, 0 TN) | Avg Attr: 0.363 | Activity: 100.00% || s_aureus: 23 compounds (23 TP, 0 TN) | Avg Attr: 0.291 | Activity: 100.00%"
POSITIVE SUBSTITUENTS,68,14765,OCCCF,S. aureus + E. coli (NOT C. albicans),2,37,37,0,0.3228,0.3808,100.00,"e_coli: 9 compounds (9 TP, 0 TN) | Avg Attr: 0.308 | Activity: 100.00% || s_aureus: 28 compounds (28 TP, 0 TN) | Avg Attr: 0.338 | Activity: 100.00%"
POSITIVE SUBSTITUENTS,69,13512,C-C(F)-C(N1CCC(CNCC)C1)-CF,S. aureus + E. coli (NOT C. albicans),2,37,37,0,0.2888,0.3572,100.00,"e_coli: 18 compounds (18 TP, 0 TN) | Avg Attr: 0.344 | Activity: 100.00% || s_aureus: 19 compounds (19 TP, 0 TN) | Avg Attr: 0.234 | Activity: 100.00%"
POSITIVE SUBSTITUENTS,70,18868,CC1=NC(=CO1)C=O,S. aureus + E. coli (NOT C. albicans),2,37,37,0,0.2773,0.3361,100.00,"e_coli: 18 compounds (18 TP, 0 TN) | Avg Attr: 0.277 | Activity: 100.00% || s_aureus: 19 compounds (19 TP, 0 TN) | Avg Attr: 0.277 | Activity: 100.00%"
POSITIVE SUBSTITUENTS,71,3551,CC(=O)OCC(=CC(=O)[O-])CS,S. aureus + E. coli (NOT C. albicans),2,37,37,0,0.2579,0.3808,100.00,"e_coli: 14 compounds (14 TP, 0 TN) | Avg Attr: 0.194 | Activity: 100.00% || s_aureus: 23 compounds (23 TP, 0 TN) | Avg Attr: 0.322 | Activity: 100.00%"
POSITIVE SUBSTITUENTS,72,6789,CCC1=CC=C(O)C(O)=C1,S. aureus + E. coli (NOT C. albicans),2,37,37,0,0.2518,0.3750,100.00,"e_coli: 18 compounds (18 TP, 0 TN) | Avg Attr: 0.226 | Activity: 100.00% || s_aureus: 19 compounds (19 TP, 0 TN) | Avg Attr: 0.277 | Activity: 100.00%"
POSITIVE SUBSTITUENTS,73,8061,N[C@@H]1[C@H]2CNC[C@@H]12,S. aureus + E. coli (NOT C. albicans),2,37,37,0,0.2459,0.3274,100.00,"e_coli: 19 compounds (19 TP, 0 TN) | Avg Attr: 0.259 | Activity: 100.00% || s_aureus: 18 compounds (18 TP, 0 TN) | Avg Attr: 0.233 | Activity: 100.00%"
POSITIVE SUBSTITUENTS,74,27751,O=C-C-C(C1=CC=C2OCCOC2=C1)-O,S. aureus + E. coli (NOT C. albicans),2,37,37,0,0.2015,0.3092,100.00,"e_coli: 19 compounds (19 TP, 0 TN) | Avg Attr: 0.230 | Activity: 100.00% || s_aureus: 18 compounds (18 TP, 0 TN) | Avg Attr: 0.173 | Activity: 100.00%"
